Prog,Lit,Intervalo,Metric,Time,Mass
1,a_15,"[0,0033-0,9989]",0.0044,60.61,0.0044
3,~d_57,"[0,2114-1,0000]",0.2323,34.05,0.2177
3,a_15,"[0,1496-0,9319]",0.2286,44.62,0.2177
4,d_35,"[0,3244-1,0000]",0.3437,33.50,0.3417
4,~a_11,"[0,2679-1,0000]",0.3027,33.74,0.3417
6,a_14,"[1,1544-0,9971]",1.2236,37.23,1.1819
6,a_17,"[1,1812-0,9993]",1.1819,44.67,1.1819
7,a_16,"[0,1504-0,9992]",0.1591,34.96,0.1512
7,~a_16,"[0,0008-0,8496]",0.1591,34.76,0.1512
9,~d_25,"[0,0190-1,0000]",0.0204,33.29,0.0197
10,a_18,"[0,1902-1,0000]",0.2071,35.87,0.2047
11,a_17,"[0,0133-0,9975]",0.0168,41.30,0.0166
11,a_14,"[0,0108-1,0000]",0.0122,42.19,0.0166
13,d_27,"[0,0946-1,0000]",0.1081,35.18,0.1137
14,a_18,"[0,1225-0,9986]",0.1368,38.92,0.1319
15,a_9,"[0,0959-1,0000]",0.1018,34.42,0.1139
15,~a_11,"[0,0959-1,0000]",0.1107,34.22,0.1139
15,~a_17,"[0,0082-0,8942]",0.1139,48.89,0.1139
16,d_25,"[0,0226-1,0000]",0.0296,34.08,0.1241
16,a_16,"[0,0845-0,9660]",0.1251,48.16,0.1241
16,a_14,"[0,0241-0,8999]",0.1335,39.87,0.1241
18,a_16,"[0,0000-1,0000]",0.0000,41.36,0.0000
19,d_52,"[0,0065-1,0000]",0.0072,33.57,0.0103
19,~a_16,"[0,0001-0,9934]",0.0070,40.82,0.0103
20,~d_54,"[0,0179-1,0000]",0.0215,34.29,0.0372
20,~a_15,"[0,0309-0,9965]",0.0359,47.87,0.0372
24,d_54,"[0,0148-1,0000]",0.0148,34.34,0.0148
24,a_14,"[0,0082-0,9983]",0.0102,35.46,0.0148
26,~d_37,"[0,0003-1,0000]",0.0004,16.46,0.0037
27,d_32,"[0,0023-1,0000]",0.0027,33.23,0.0053
28,d_34,"[0,1144-1,0000]",0.1144,35.41,0.1144
29,d_19,"[0,1119-1,0000]",0.1166,34.65,0.1125
30,~d_42,"[0,0038-1,0000]",0.0038,35.02,0.0038
30,~a_15,"[0,0035-0,9997]",0.0038,37.77,0.0038
31,a_13,"[1,2715-1,0000]",1.3244,33.89,1.3091
32,a_15,"[0,0063-0,9677]",0.0480,40.48,0.0419
33,~d_43,"[0,0116-1,0000]",0.0116,33.59,0.0116
33,~a_16,"[0,0000-0,9895]",0.0123,37.16,0.0116
35,d_59,"[0,1489-1,0000]",0.1489,33.27,0.1489
36,a_18,"[0,9427-0,9069]",1.2042,40.23,1.0512
37,d_67,"[0,0728-1,0000]",0.0758,35.22,0.0728
38,d_23,"[0,0190-1,0000]",0.0190,34.48,0.0190
39,~d_41,"[0,0472-1,0000]",0.0472,33.23,0.0472
39,a_16,"[0,0064-1,0000]",0.0076,54.99,0.0472
40,d_60,"[0,0197-1,0000]",0.0203,33.84,0.0211
41,d_51,"[0,0119-1,0000]",0.0137,34.30,0.0215
42,d_52,"[0,0734-1,0000]",0.0750,36.50,0.0790
43,a_12,"[0,2707-1,0000]",0.3003,34.26,0.2707
43,a_17,"[0,2691-0,9984]",0.2707,34.58,0.2707
44,~d_61,"[0,0122-1,0000]",0.0139,35.29,0.0240
44,a_14,"[0,0227-1,0000]",0.0240,34.86,0.0240
45,a_10,"[0,1747-1,0000]",0.1878,8.97,0.2278
45,~a_16,"[0,1747-1,0000]",0.1820,9.19,0.2278
46,~d_54,"[0,1485-1,0000]",0.1602,34.63,0.1490
47,~d_22,"[0,0864-1,0000]",0.1002,35.42,0.0969
48,d_50,"[0,0220-1,0000]",0.0224,17.35,0.0221
