Prog,Lit,Exact,Time
63,a_8,"[0,9999-1,0000]",21.97
64,~d_9,"[1,0000-1,0000]",6.38
64,a_6,"[1,0000-1,0000]",6.43
64,a_7,"[0,7739-0,7739]",7.08
65,a_5,"[0,9915-1,0000]",16.44
65,a_7,"[0,0930-0,0930]",17.34
66,a_4,"[1,0000-1,0000]",30.99
66,a_7,"[0,9938-1,0000]",31.10
67,~a_5,"[1,0000-1,0000]",8.83
68,a_2,"[1,0000-1,0000]",5.48
68,a_8,"[1,0000-1,0000]",5.69
69,~d_12,"[0,9315-1,0000]",23.44
69,a_8,"[0,0977-0,1011]",23.63
70,a_0,"[0,9103-1,0000]",15.25
70,a_7,"[0,5978-0,6875]",16.04
70,a_8,"[0,0411-0,3560]",16.03
71,a_4,"[1,0000-1,0000]",20.74
72,a_2,"[1,0000-1,0000]",23.56
72,a_7,"[0,1854-0,1854]",24.26
72,~a_8,"[0,9931-0,9932]",24.03
73,~a_3,"[1,0000-1,0000]",11.09
73,~a_6,"[0,9230-1,0000]",11.16
73,a_8,"[0,9229-0,9999]",11.70
74,a_2,"[1,0000-1,0000]",48.57
74,~a_5,"[0,9988-1,0000]",48.13
74,a_8,"[0,1688-0,1688]",49.57
76,a_7,"[0,9976-0,9976]",42.03
76,a_8,"[1,0000-1,0000]",42.17
77,a_1,"[0,8786-1,0000]",25.17
77,a_6,"[0,9928-1,0000]",24.99
77,~a_9,"[0,0442-0,1742]",28.35
78,~d_14,"[1,0000-1,0000]",16.71
78,~a_7,"[0,9148-1,0000]",16.33
78,~a_8,"[0,7980-0,8185]",16.59
79,a_6,"[0,8999-1,0000]",17.38
79,~a_8,"[0,0070-0,0070]",18.66
80,a_7,"[0,5828-0,8012]",39.72
81,~d_16,"[0,8042-1,0000]",18.45
82,~a_1,"[1,0000-1,0000]",9.23
82,a_5,"[0,9802-1,0000]",9.53
82,~a_7,"[0,0190-0,0220]",10.02
83,a_7,"[0,1339-0,1347]",11.41
84,a_3,"[1,0000-1,0000]",21.91
84,~a_7,"[0,0684-0,0895]",23.44
85,d_17,"[1,0000-1,0000]",74.60
85,a_8,"[0,0190-0,2261]",77.51
86,d_10,"[0,9494-1,0000]",40.40
86,~a_7,"[1,0000-1,0000]",41.49
86,a_7,"[0,0000-0,0000]",41.60
87,a_7,"[0,9903-1,0000]",18.55
87,~a_7,"[0,0000-0,0097]",18.20
88,~a_1,"[1,0000-1,0000]",30.89
88,a_5,"[0,9992-1,0000]",30.93
88,~a_7,"[0,0000-0,0008]",31.48
89,d_10,"[0,9930-1,0000]",14.80
89,a_6,"[0,7490-1,0000]",14.71
89,a_8,"[0,0020-0,2530]",15.38
90,~a_8,"[0,9200-0,9206]",13.60
91,a_9,"[0,8698-0,9969]",49.40
91,a_7,"[0,9241-0,9241]",51.58
92,a_0,"[1,0000-1,0000]",8.81
92,~a_8,"[0,7400-1,0000]",8.70
93,a_0,"[1,0000-1,0000]",23.64
93,~a_8,"[0,0000-0,0101]",24.64
94,a_3,"[1,0000-1,0000]",25.80
95,d_13,"[0,9118-1,0000]",11.53
96,~d_17,"[1,0000-1,0000]",14.10
96,~a_5,"[1,0000-1,0000]",14.22
96,a_8,"[0,0030-0,0030]",14.49
97,a_4,"[1,0000-1,0000]",4.57
98,d_17,"[1,0000-1,0000]",6.22
98,a_7,"[0,9145-1,0000]",6.89
98,a_8,"[0,9058-0,9913]",6.22
99,~a_7,"[0,9026-0,9736]",16.21
99,a_8,"[0,8973-0,8973]",16.02
100,d_14,"[1,0000-1,0000]",19.92
101,a_7,"[0,9990-1,0000]",4.65
101,~a_8,"[0,0000-0,0000]",5.01
102,~a_2,"[1,0000-1,0000]",22.52
103,a_1,"[0,8151-1,0000]",11.44
104,d_17,"[1,0000-1,0000]",22.75
105,~d_15,"[1,0000-1,0000]",95.96
105,~a_6,"[0,9961-1,0000]",95.16
106,~a_8,"[0,9998-0,9998]",10.58
106,~a_7,"[0,1513-0,1515]",11.29
107,a_4,"[1,0000-1,0000]",15.38
107,~a_8,"[0,9483-1,0000]",15.63
107,a_8,"[0,0000-0,0517]",15.53
108,a_3,"[0,9575-1,0000]",42.53
110,~a_4,"[0,8581-1,0000]",28.60
110,~a_7,"[0,8581-1,0000]",29.30
111,d_16,"[0,9349-1,0000]",17.10
112,a_2,"[1,0000-1,0000]",3.37
112,~a_6,"[1,0000-1,0000]",3.30
112,~a_8,"[0,1255-0,1473]",3.37
113,~a_8,"[0,9993-0,9993]",17.01
113,a_7,"[0,9806-0,9806]",17.20
114,a_7,"[0,8259-0,8339]",14.49
115,a_5,"[1,0000-1,0000]",10.05
116,d_9,"[1,0000-1,0000]",11.91
116,a_5,"[1,0000-1,0000]",12.25
116,a_8,"[0,0000-0,0031]",11.87
117,~a_7,"[1,0000-1,0000]",12.87
117,a_9,"[0,8308-1,0000]",12.59
118,~d_13,"[1,0000-1,0000]",7.37
118,~a_8,"[0,2005-0,2359]",7.50
119,~d_17,"[1,0000-1,0000]",13.59
119,a_6,"[1,0000-1,0000]",13.43
119,a_7,"[0,9946-1,0000]",13.67
120,a_4,"[1,0000-1,0000]",25.85
120,a_7,"[0,8137-0,8750]",25.96
121,~d_16,"[0,9951-1,0000]",25.62
121,a_5,"[1,0000-1,0000]",25.03
121,~a_7,"[0,0862-0,1137]",26.25
122,d_12,"[1,0000-1,0000]",18.96
122,a_7,"[0,8745-1,0000]",19.76
122,~a_7,"[0,0000-0,1255]",19.64
123,a_4,"[1,0000-1,0000]",42.98
123,~a_7,"[1,0000-1,0000]",42.44
123,a_7,"[0,0000-0,0000]",42.94
124,d_15,"[1,0000-1,0000]",51.05
124,~a_7,"[0,7989-1,0000]",52.16
125,~d_18,"[0,7550-1,0000]",26.11
126,~a_0,"[0,9968-1,0000]",4.90
126,~a_6,"[0,9833-1,0000]",4.83
126,a_8,"[1,0000-1,0000]",4.84
128,d_13,"[0,7962-1,0000]",7.60
128,~a_5,"[1,0000-1,0000]",7.54
128,~a_8,"[0,8947-0,8947]",8.04
129,d_11,"[1,0000-1,0000]",10.86
129,a_7,"[0,9152-0,9748]",10.90
129,~a_7,"[0,0252-0,0848]",10.79
130,a_3,"[1,0000-1,0000]",2.14
130,a_6,"[1,0000-1,0000]",2.01
130,~a_8,"[0,9595-0,9595]",2.11
131,a_2,"[0,9523-1,0000]",2.61
131,a_9,"[0,6399-0,7888]",2.61
131,~a_9,"[0,2112-0,3601]",2.61
132,d_16,"[1,0000-1,0000]",28.63
132,~a_8,"[0,6869-0,7305]",29.28
132,~a_7,"[0,0521-0,0784]",29.21
133,~d_12,"[1,0000-1,0000]",12.30
134,a_4,"[0,9258-1,0000]",116.89
134,a_6,"[0,9258-1,0000]",120.61
134,~a_7,"[0,9236-1,0000]",121.99
136,a_0,"[1,0000-1,0000]",20.93
136,~a_7,"[1,0000-1,0000]",21.47
136,a_7,"[0,0000-0,0000]",21.88
137,d_17,"[1,0000-1,0000]",39.10
138,d_15,"[1,0000-1,0000]",6.83
138,a_8,"[0,9424-0,9424]",7.15
139,~a_6,"[0,9154-1,0000]",32.56
140,d_17,"[0,8507-1,0000]",32.75
141,d_10,"[1,0000-1,0000]",4.10
141,~a_7,"[0,0306-0,1745]",3.90
142,d_19,"[1,0000-1,0000]",13.87
143,d_17,"[1,0000-1,0000]",40.43
143,~a_9,"[0,0999-0,0999]",41.74
144,d_15,"[1,0000-1,0000]",18.81
145,d_14,"[1,0000-1,0000]",17.65
145,a_7,"[0,0137-0,1538]",18.13
146,d_10,"[1,0000-1,0000]",30.98
146,a_8,"[0,0644-0,0644]",31.45
147,d_18,"[0,9379-1,0000]",6.91
148,a_7,"[1,0000-1,0000]",36.11
149,~d_12,"[1,0000-1,0000]",13.78
