Prog,Lit,Intervalo,Metric,Time,Mass
0,d_67,"[0,8028-1,0000]",0.9479,1.99,0.9225
0,~a_13,"[0,8669-1,0000]",0.9256,1.99,0.9225
2,d_39,"[0,8227-1,0000]",0.9353,2.17,0.9231
2,~a_19,"[0,6715-1,0000]",0.9577,2.23,0.9231
2,a_15,"[0,6756-0,9954]",0.9368,2.23,0.9231
3,d_75,"[0,8795-1,0000]",0.9536,0.97,0.9487
4,d_59,"[0,9701-1,0000]",0.9708,1.43,0.9701
5,d_33,"[0,8434-1,0000]",0.9676,1.09,0.9497
6,~d_42,"[0,9378-1,0000]",0.9662,1.16,0.9573
8,a_17,"[0,7927-0,9982]",0.9595,1.65,0.9435
9,d_21,"[0,9313-1,0000]",0.9560,1.12,0.9534
11,a_20,"[0,7627-0,9954]",0.9717,1.54,0.9473
12,a_7,"[0,9682-1,0000]",0.9700,1.05,0.9684
12,a_19,"[0,0785-0,1103]",0.9703,1.18,0.9684
13,~d_22,"[0,9449-1,0000]",0.9543,1.29,0.9511
14,~a_18,"[0,0048-0,1295]",0.9312,1.92,0.9119
16,d_30,"[0,9077-1,0000]",0.9535,1.67,0.9427
17,d_68,"[0,9059-1,0000]",0.9532,1.28,0.9430
17,a_18,"[0,6490-0,9722]",0.9667,1.25,0.9430
19,d_63,"[0,8994-1,0000]",0.9463,1.26,0.9409
19,a_16,"[0,0050-0,1867]",0.9630,1.30,0.9409
19,~a_16,"[0,8133-0,9950]",0.9630,1.36,0.9409
20,~d_30,"[0,9408-1,0000]",0.9473,1.35,0.9460
20,a_18,"[0,0004-0,1759]",0.9532,1.43,0.9460
22,d_44,"[0,7133-1,0000]",0.9332,1.78,0.9266
23,~d_45,"[0,8708-1,0000]",0.9576,1.64,0.9445
25,d_59,"[0,8923-1,0000]",0.9578,1.83,0.9458
26,~d_54,"[0,9153-1,0000]",0.9601,1.59,0.9449
29,a_20,"[0,6359-0,9988]",0.9738,1.84,0.9464
30,a_14,"[0,8374-1,0000]",0.9408,1.47,0.9296
31,d_50,"[0,9552-1,0000]",0.9648,1.01,0.9615
32,d_59,"[0,9555-1,0000]",0.9635,1.10,0.9616
34,d_69,"[0,7521-1,0000]",0.9537,1.63,0.9421
35,d_37,"[0,8832-1,0000]",0.9544,1.33,0.9464
36,~d_44,"[0,9626-1,0000]",0.9655,1.22,0.9629
37,d_44,"[0,9316-1,0000]",0.9480,1.44,0.9443
39,d_68,"[0,9262-1,0000]",0.9370,1.55,0.9319
40,d_55,"[0,9227-1,0000]",0.9678,0.90,0.9664
40,a_10,"[0,8214-1,0000]",0.9788,0.90,0.9664
40,a_18,"[0,7121-0,9956]",0.9866,1.01,0.9664
41,~a_1,"[0,9307-1,0000]",0.9648,1.07,0.9580
41,a_17,"[0,1139-0,1890]",0.9659,1.15,0.9580
42,a_11,"[0,9094-1,0000]",0.9312,1.79,0.9229
42,~a_19,"[0,8066-0,8963]",0.9276,1.86,0.9229
43,a_6,"[0,8639-1,0000]",0.9758,0.90,0.9524
43,a_18,"[0,0507-0,2535]",0.9781,1.00,0.9524
44,d_58,"[0,8784-1,0000]",0.9432,1.30,0.9369
44,a_19,"[0,6020-0,7944]",0.9466,1.38,0.9369
44,~a_17,"[0,7008-0,7866]",0.9540,1.31,0.9369
47,d_42,"[0,8046-1,0000]",0.9503,1.65,0.9334
47,a_15,"[0,6991-0,9960]",0.9671,3.09,0.9334
49,a_15,"[0,9167-0,9980]",0.9291,1.66,0.9253
50,a_8,"[0,9480-1,0000]",0.9481,0.95,0.9480
50,a_11,"[0,8622-1,0000]",0.9601,0.96,0.9480
50,a_18,"[0,0930-0,1783]",0.9656,1.09,0.9480
52,a_15,"[0,7361-0,9908]",0.9524,1.99,0.9334
57,d_39,"[0,9150-1,0000]",0.9228,1.76,0.9210
60,a_6,"[0,9466-1,0000]",0.9488,1.23,0.9481
61,d_32,"[0,8385-1,0000]",0.9667,1.33,0.9441
63,~d_66,"[0,9463-1,0000]",0.9463,1.36,0.9463
63,~a_16,"[0,0100-0,2551]",0.9830,1.70,0.9463
64,d_36,"[0,9368-1,0000]",0.9462,0.95,0.9423
64,~a_19,"[0,8338-1,0000]",0.9700,1.00,0.9423
65,d_43,"[0,7814-1,0000]",0.9620,1.28,0.9362
65,~a_18,"[0,1195-0,2186]",0.9429,1.53,0.9362
66,a_13,"[0,9263-1,0000]",0.9722,1.29,0.9558
66,a_15,"[0,8446-1,0000]",0.9683,1.34,0.9558
68,a_19,"[0,1165-0,3100]",0.9837,1.15,0.9579
69,a_8,"[0,8809-1,0000]",0.9636,1.20,0.9475
71,d_37,"[0,8744-1,0000]",0.9647,1.16,0.9494
71,a_14,"[0,7240-1,0000]",0.9791,1.15,0.9494
72,d_29,"[0,9303-1,0000]",0.9329,1.90,0.9320
72,a_19,"[0,7579-0,9347]",0.9441,1.94,0.9320
73,d_25,"[0,9364-1,0000]",0.9468,1.47,0.9428
73,~a_11,"[0,8370-1,0000]",0.9659,1.45,0.9428
73,a_15,"[0,8362-0,9434]",0.9560,1.46,0.9428
74,d_68,"[0,9470-1,0000]",0.9582,0.97,0.9563
74,a_19,"[0,9272-0,9958]",0.9707,1.00,0.9563
74,~a_19,"[0,0042-0,0728]",0.9707,1.02,0.9563
75,d_41,"[0,9613-1,0000]",0.9710,1.03,0.9685
75,a_15,"[0,8140-0,9787]",0.9852,1.09,0.9685
75,~a_17,"[0,0807-0,2137]",0.9900,1.15,0.9685
77,d_39,"[0,8872-1,0000]",0.9419,1.57,0.9342
78,~d_58,"[0,8433-1,0000]",0.9913,1.13,0.9661
78,~a_17,"[0,7918-0,9408]",0.9773,1.20,0.9661
81,d_57,"[0,9485-1,0000]",0.9539,1.37,0.9525
82,a_7,"[0,9279-1,0000]",0.9643,1.14,0.9615
83,~d_63,"[0,7634-1,0000]",0.9631,1.98,0.9248
86,a_4,"[0,8781-1,0000]",0.9505,1.50,0.9470
87,~a_23,"[0,9412-1,0000]",0.9452,1.47,0.9413
88,~a_15,"[0,5785-0,8456]",0.9541,1.73,0.9393
91,d_31,"[0,9061-1,0000]",0.9589,1.28,0.9527
92,~d_52,"[0,9330-1,0000]",0.9442,1.07,0.9425
92,a_20,"[0,8786-0,9999]",0.9567,1.09,0.9425
93,d_73,"[0,9052-1,0000]",0.9611,1.17,0.9535
95,~d_24,"[0,9567-1,0000]",0.9657,0.93,0.9650
96,a_17,"[0,0676-0,1639]",0.9669,1.35,0.9476
98,d_77,"[0,9319-1,0000]",0.9422,1.48,0.9397
100,~a_11,"[0,9059-1,0000]",0.9682,1.37,0.9569
100,a_17,"[0,0002-0,3666]",0.9894,1.72,0.9569
101,d_50,"[0,8707-1,0000]",0.9694,1.48,0.9539
101,a_15,"[0,0063-0,0544]",0.9563,1.59,0.9539
102,a_16,"[0,5780-1,0000]",0.9794,1.86,0.9284
102,a_17,"[0,7539-0,9743]",0.9390,1.97,0.9284
103,d_67,"[0,9509-1,0000]",0.9552,1.26,0.9509
103,a_13,"[0,6598-1,0000]",0.9947,1.19,0.9509
103,a_16,"[0,8425-1,0000]",0.9702,1.46,0.9509
104,~d_21,"[0,9248-1,0000]",0.9255,1.84,0.9248
104,~a_19,"[0,0000-0,3041]",0.9717,1.89,0.9248
105,d_28,"[0,8109-1,0000]",0.9553,1.20,0.9294
105,a_10,"[0,6801-1,0000]",0.9834,1.29,0.9294
105,~a_17,"[0,6801-1,0000]",0.9802,1.26,0.9294
107,d_41,"[0,8545-1,0000]",0.9335,1.53,0.9232
107,a_19,"[0,0295-0,2383]",0.9417,1.62,0.9232
108,~d_46,"[0,7133-1,0000]",0.9706,1.69,0.9324
108,a_13,"[0,5350-1,0000]",0.9859,1.73,0.9324
108,a_17,"[0,7468-0,9588]",0.9624,1.78,0.9324
110,~d_38,"[0,9246-1,0000]",0.9254,1.73,0.9246
110,a_13,"[0,6763-1,0000]",0.9738,1.73,0.9246
110,~a_16,"[0,7950-0,9990]",0.9489,1.75,0.9246
111,~d_62,"[0,8656-1,0000]",0.9627,1.72,0.9592
112,d_30,"[0,8215-1,0000]",0.9610,0.91,0.9528
113,d_34,"[0,9126-1,0000]",0.9377,1.64,0.9312
113,a_16,"[0,0079-0,1331]",0.9440,1.63,0.9312
117,d_47,"[0,9472-1,0000]",0.9494,1.41,0.9484
119,d_22,"[0,8553-1,0000]",0.9418,2.01,0.9264
120,~a_7,"[0,9465-1,0000]",0.9596,1.19,0.9544
121,d_21,"[0,8397-1,0000]",0.9463,1.44,0.9217
122,d_43,"[0,8438-1,0000]",0.9754,0.81,0.9577
123,a_18,"[0,7465-0,9963]",0.9321,1.81,0.9090
124,a_4,"[0,8074-1,0000]",0.9861,1.37,0.9624
124,~a_15,"[0,9592-0,9972]",0.9683,1.71,0.9624
127,d_37,"[0,8903-1,0000]",0.9401,1.86,0.9293
127,a_20,"[0,0438-0,4373]",0.9450,1.84,0.9293
128,d_59,"[0,9015-1,0000]",0.9702,1.16,0.9618
128,~a_16,"[0,0233-0,1354]",0.9689,1.19,0.9618
128,a_15,"[0,7846-0,9919]",0.9715,1.20,0.9618
130,~d_55,"[0,7181-1,0000]",0.9446,1.62,0.9173
133,d_64,"[0,9010-1,0000]",0.9019,1.83,0.9010
133,~a_19,"[0,1193-0,2633]",0.9125,1.95,0.9010
134,~a_7,"[0,9159-1,0000]",0.9566,1.67,0.9484
135,a_8,"[0,9571-1,0000]",0.9572,1.20,0.9571
136,~d_39,"[0,9526-1,0000]",0.9527,1.39,0.9526
136,a_11,"[0,7916-1,0000]",0.9758,1.43,0.9526
136,a_17,"[0,8041-0,8737]",0.9611,1.43,0.9526
137,~d_32,"[0,9439-1,0000]",0.9441,1.22,0.9439
137,a_10,"[0,9331-1,0000]",0.9501,1.23,0.9439
137,~a_15,"[0,1997-0,3688]",0.9519,1.34,0.9439
139,~a_18,"[0,0930-0,2950]",0.9587,1.20,0.9453
140,a_19,"[0,0169-0,3151]",0.9759,1.40,0.9367
143,d_26,"[0,9179-1,0000]",0.9546,1.65,0.9482
143,~a_16,"[0,0516-0,2059]",0.9755,1.66,0.9482
145,~d_62,"[0,9226-1,0000]",0.9497,1.32,0.9436
147,a_0,"[0,8791-1,0000]",0.9650,0.84,0.9626
148,d_33,"[0,8861-1,0000]",0.9492,1.51,0.9406
149,~d_69,"[0,6642-1,0000]",0.9689,1.45,0.9323
149,a_15,"[0,7471-0,9947]",0.9577,2.13,0.9323
149,~a_20,"[0,1772-0,3176]",0.9502,1.70,0.9323
150,d_64,"[0,9525-1,0000]",0.9575,1.11,0.9539
151,~d_47,"[0,9444-1,0000]",0.9455,1.07,0.9444
151,a_14,"[0,7956-1,0000]",0.9628,1.08,0.9444
151,a_17,"[0,7380-0,9978]",0.9637,1.09,0.9444
153,a_16,"[0,7168-0,8837]",0.9561,1.18,0.9389
154,~d_24,"[0,9030-1,0000]",0.9752,1.43,0.9617
154,~a_19,"[0,0991-0,3385]",0.9784,1.87,0.9617
155,~d_29,"[0,9475-1,0000]",0.9504,1.53,0.9475
156,a_19,"[0,0084-0,3322]",0.9608,1.91,0.9411
157,d_47,"[0,9331-1,0000]",0.9424,1.98,0.9390
158,d_45,"[0,8694-1,0000]",0.9487,1.77,0.9384
159,d_45,"[0,9156-1,0000]",0.9427,0.86,0.9357
159,a_15,"[0,0651-0,2763]",0.9650,0.86,0.9357
161,d_74,"[0,9252-1,0000]",0.9299,1.40,0.9280
163,d_29,"[0,8649-1,0000]",0.9417,1.87,0.9350
164,~a_18,"[0,0580-0,3863]",0.9863,1.32,0.9391
166,d_38,"[0,8619-1,0000]",0.9660,1.29,0.9593
167,~a_3,"[0,9439-1,0000]",0.9832,1.01,0.9759
168,d_54,"[0,9107-1,0000]",0.9651,1.43,0.9536
169,~d_43,"[0,8047-1,0000]",0.9645,1.12,0.9312
170,d_54,"[0,9693-1,0000]",0.9701,0.61,0.9693
170,a_11,"[0,9163-1,0000]",0.9802,0.62,0.9693
170,~a_18,"[0,9163-1,0000]",0.9802,0.68,0.9693
171,a_2,"[0,9539-1,0000]",0.9576,1.33,0.9570
172,d_41,"[0,9454-1,0000]",0.9479,1.14,0.9454
172,a_16,"[0,7118-1,0000]",0.9843,1.10,0.9454
172,~a_16,"[0,0000-0,2882]",0.9843,1.13,0.9454
173,d_51,"[0,8081-1,0000]",0.9665,1.58,0.9368
173,a_12,"[0,8476-1,0000]",0.9620,1.57,0.9368
174,~a_12,"[0,8747-1,0000]",0.9561,1.29,0.9473
175,d_24,"[0,7990-1,0000]",0.9413,1.77,0.9209
175,~a_12,"[0,7953-1,0000]",0.9424,1.82,0.9209
175,~a_15,"[0,8508-0,9961]",0.9374,1.89,0.9209
178,~d_30,"[0,8578-1,0000]",0.9639,1.68,0.9514
179,d_29,"[0,8733-1,0000]",0.9602,1.23,0.9551
179,~a_19,"[0,8518-1,0000]",0.9633,1.42,0.9551
179,a_18,"[0,7265-1,0000]",0.9868,1.34,0.9551
182,a_2,"[0,8635-1,0000]",0.9702,1.38,0.9573
183,a_15,"[0,8694-1,0000]",0.9567,1.58,0.9506
183,~a_22,"[0,7424-0,9267]",0.9708,1.68,0.9506
184,d_64,"[0,9590-1,0000]",0.9676,0.96,0.9651
185,d_69,"[0,9442-1,0000]",0.9446,1.40,0.9442
188,~d_39,"[0,9535-1,0000]",0.9535,1.27,0.9535
188,~a_17,"[0,8716-0,9731]",0.9717,1.66,0.9535
189,a_3,"[0,8598-1,0000]",0.9554,1.77,0.9460
191,~a_20,"[0,7960-0,9360]",0.9628,1.71,0.9500
192,a_18,"[0,6839-0,9994]",0.9725,1.41,0.9506
192,a_19,"[0,0204-0,2258]",0.9808,1.38,0.9506
195,d_53,"[0,9615-1,0000]",0.9615,0.90,0.9615
197,~d_80,"[0,9574-1,0000]",0.9651,1.17,0.9579
198,a_14,"[0,9226-1,0000]",0.9440,1.35,0.9345
198,a_17,"[0,6977-0,8919]",0.9489,1.29,0.9345
199,~d_38,"[0,7351-1,0000]",0.9622,1.40,0.9389
200,~d_55,"[0,8178-1,0000]",0.9698,1.29,0.9612
202,d_38,"[0,9149-1,0000]",0.9202,1.76,0.9185
203,a_15,"[0,7002-0,9991]",0.9694,1.71,0.9251
204,~d_60,"[0,9515-1,0000]",0.9529,1.37,0.9515
204,~a_11,"[0,9127-1,0000]",0.9680,1.34,0.9515
205,~d_45,"[0,9478-1,0000]",0.9480,1.08,0.9478
206,a_16,"[0,1616-0,4310]",0.9697,1.35,0.9408
208,d_23,"[0,9685-1,0000]",0.9685,0.97,0.9685
209,d_39,"[0,7293-1,0000]",0.9817,1.42,0.9512
209,~a_15,"[0,8772-0,9891]",0.9647,1.44,0.9512
210,d_30,"[0,9474-1,0000]",0.9510,1.53,0.9492
210,~a_19,"[0,7859-0,9943]",0.9620,1.54,0.9492
212,~a_21,"[0,8516-1,0000]",0.9448,1.57,0.9354
213,d_20,"[0,9182-1,0000]",0.9394,1.26,0.9395
214,~a_3,"[0,8474-1,0000]",0.9736,1.41,0.9553
214,a_17,"[0,0763-0,2992]",0.9692,1.40,0.9553
