Prog,Lit,Intervalo,Metric,Time,Mass
0,~d_19,"[0,9692-1,0000]",0.9692,0.68,0.9692
0,a_7,"[0,9692-1,0000]",0.9692,0.70,0.9692
0,a_8,"[0,9692-1,0000]",0.9692,0.83,0.9692
1,~a_1,"[0,9857-1,0000]",0.9857,0.61,0.9857
1,a_5,"[0,8216-1,0000]",0.9947,0.61,0.9857
1,a_8,"[0,9737-0,9930]",0.9882,0.66,0.9857
2,~a_2,"[0,9750-1,0000]",0.9750,0.47,0.9750
3,~d_13,"[0,9549-1,0000]",0.9549,0.81,0.9549
3,~a_7,"[0,0000-0,0886]",0.9636,0.83,0.9549
4,~d_10,"[0,9709-1,0000]",0.9709,0.79,0.9709
4,a_8,"[0,9709-1,0000]",0.9709,0.83,0.9709
4,~a_7,"[0,8445-0,8772]",0.9721,0.90,0.9709
5,a_1,"[0,9654-1,0000]",0.9654,0.54,0.9654
5,~a_7,"[0,1189-0,1535]",0.9654,0.54,0.9654
5,~a_8,"[0,0661-0,1007]",0.9654,0.61,0.9654
6,d_15,"[0,9594-1,0000]",0.9616,1.03,0.9606
6,~a_8,"[0,1708-0,2109]",0.9623,1.18,0.9606
7,a_7,"[0,1407-0,1959]",0.9448,1.36,0.9448
8,d_18,"[0,9669-1,0000]",0.9669,0.86,0.9669
9,a_4,"[0,9678-1,0000]",0.9678,0.48,0.9678
9,~a_5,"[0,9678-1,0000]",0.9678,0.45,0.9678
9,~a_8,"[0,0000-0,0322]",0.9678,0.50,0.9678
10,a_5,"[0,9715-1,0000]",0.9715,0.64,0.9715
10,a_7,"[0,0905-0,1190]",0.9715,0.68,0.9715
11,d_13,"[0,9814-1,0000]",0.9814,0.45,0.9814
11,a_5,"[0,9814-1,0000]",0.9814,0.45,0.9814
11,a_8,"[0,0050-0,1984]",0.9918,0.47,0.9814
12,d_12,"[0,9623-1,0000]",0.9623,0.65,0.9623
12,a_8,"[0,7953-0,8347]",0.9629,0.75,0.9623
12,~a_8,"[0,1653-0,2047]",0.9629,0.72,0.9623
14,a_2,"[0,9567-1,0000]",0.9567,0.67,0.9567
14,a_8,"[0,7860-0,9991]",0.9691,0.70,0.9567
15,a_10,"[0,9473-1,0000]",0.9473,1.14,0.9473
15,a_6,"[0,9427-1,0000]",0.9516,1.15,0.9473
15,a_9,"[0,9473-1,0000]",0.9473,1.23,0.9473
16,a_0,"[0,9473-1,0000]",0.9473,0.75,0.9473
16,a_6,"[0,9314-1,0000]",0.9590,0.71,0.9473
16,a_7,"[0,9314-1,0000]",0.9590,0.79,0.9473
17,~a_0,"[0,9384-1,0000]",0.9384,0.76,0.9384
17,a_8,"[0,9364-1,0000]",0.9389,0.78,0.9384
17,~a_8,"[0,0000-0,0636]",0.9389,0.80,0.9384
19,~d_10,"[0,9680-1,0000]",0.9680,0.64,0.9680
19,a_5,"[0,9680-1,0000]",0.9680,0.60,0.9680
19,a_8,"[0,9236-0,9556]",0.9680,0.65,0.9680
20,~a_1,"[0,9644-1,0000]",0.9644,0.15,0.9644
20,a_6,"[0,7581-1,0000]",0.9828,0.17,0.9644
21,~d_13,"[0,9730-1,0000]",0.9730,0.72,0.9730
21,a_7,"[0,9730-1,0000]",0.9730,0.69,0.9730
22,d_9,"[0,9590-1,0000]",0.9590,1.31,0.9590
22,~a_5,"[0,7589-1,0000]",0.9758,1.29,0.9590
22,~a_7,"[0,0086-0,0499]",0.9604,1.34,0.9590
23,d_10,"[0,9624-1,0000]",0.9624,0.77,0.9624
23,~a_6,"[0,9624-1,0000]",0.9624,0.75,0.9624
23,a_8,"[0,9624-1,0000]",0.9624,0.81,0.9624
24,~a_5,"[0,9656-1,0000]",0.9656,0.93,0.9656
24,a_7,"[0,0796-0,1140]",0.9656,0.98,0.9656
25,d_17,"[0,9549-1,0000]",0.9549,1.04,0.9549
25,a_6,"[0,9132-1,0000]",0.9671,1.07,0.9549
25,~a_8,"[0,9549-1,0000]",0.9549,1.16,0.9549
26,~a_0,"[0,8824-1,0000]",0.9810,0.76,0.9773
26,a_5,"[0,9773-1,0000]",0.9773,0.77,0.9773
26,~a_8,"[0,9201-0,9917]",0.9817,0.81,0.9773
27,~a_2,"[0,9688-1,0000]",0.9688,0.82,0.9688
27,a_5,"[0,8540-1,0000]",0.9810,0.85,0.9688
27,~a_8,"[0,0000-0,0572]",0.9687,0.90,0.9688
28,d_10,"[0,9689-1,0000]",0.9689,1.00,0.9689
28,a_6,"[0,9689-1,0000]",0.9689,0.96,0.9689
29,d_17,"[0,9710-1,0000]",0.9710,0.33,0.9710
30,a_0,"[0,9556-1,0000]",0.9579,0.58,0.9557
32,~d_12,"[0,9761-1,0000]",0.9761,0.17,0.9761
32,~a_8,"[0,0327-0,0566]",0.9761,0.18,0.9761
32,a_8,"[0,9434-0,9673]",0.9761,0.17,0.9761
33,~a_2,"[0,9700-1,0000]",0.9700,0.77,0.9700
33,a_9,"[0,9012-0,9329]",0.9701,0.81,0.9700
34,d_9,"[0,8771-1,0000]",0.9622,0.59,0.9560
34,~a_8,"[0,9215-0,9656]",0.9560,0.62,0.9560
34,a_8,"[0,0344-0,0785]",0.9560,0.61,0.9560
35,d_10,"[0,9737-1,0000]",0.9737,0.75,0.9737
35,a_8,"[0,2385-0,2647]",0.9737,0.81,0.9737
36,~a_6,"[0,9007-1,0000]",0.9653,0.92,0.9606
36,a_8,"[0,9606-1,0000]",0.9606,0.92,0.9606
37,~d_18,"[0,9753-1,0000]",0.9753,1.05,0.9753
37,~a_6,"[0,9753-1,0000]",0.9753,1.04,0.9753
37,~a_9,"[0,0807-0,1071]",0.9755,1.16,0.9753
38,a_4,"[0,9666-1,0000]",0.9666,0.50,0.9666
38,a_7,"[0,8289-1,0000]",0.9747,0.51,0.9666
39,~d_11,"[0,9432-1,0000]",0.9432,0.58,0.9432
39,a_6,"[0,9390-1,0000]",0.9498,0.55,0.9432
39,a_8,"[0,8645-0,9320]",0.9520,0.58,0.9432
40,a_7,"[0,9442-1,0000]",0.9442,1.08,0.9442
40,a_8,"[0,0104-0,0662]",0.9442,1.09,0.9442
41,~d_10,"[0,9499-1,0000]",0.9499,0.54,0.9499
41,a_8,"[0,0681-0,1191]",0.9524,0.58,0.9499
