Prog,Lit,Intervalo,Metric,Time,Mass
0,d_16,"[1,2687-1,0000]",1.3472,5.22,1.2693
0,a_8,"[1,2662-0,9979]",1.4425,5.06,1.2693
0,a_7,"[1,2641-0,9968]",1.4271,5.04,1.2693
3,~d_16,"[0,0027-1,0000]",0.0029,4.18,0.0052
3,a_7,"[0,0025-0,9992]",0.0034,4.16,0.0052
3,~a_7,"[0,0008-0,9975]",0.0034,4.16,0.0052
6,d_14,"[0,0126-1,0000]",0.0138,2.55,0.0128
6,a_5,"[0,0111-1,0000]",0.0114,2.52,0.0128
6,a_7,"[0,0111-1,0000]",0.0114,2.51,0.0128
7,~a_4,"[0,1265-1,0000]",0.1275,5.52,0.1278
8,a_7,"[0,0022-1,0000]",0.0024,4.43,0.0044
9,d_14,"[0,0053-1,0000]",0.0059,3.28,0.0090
11,~a_3,"[0,0142-1,0000]",0.0150,5.43,0.0192
13,d_17,"[0,0932-1,0000]",0.0996,3.25,0.0932
14,a_0,"[0,1128-1,0000]",0.1139,4.32,0.1129
15,a_6,"[0,0007-1,0000]",0.0009,5.63,0.0475
15,a_9,"[0,0456-1,0000]",0.0539,5.77,0.0475
16,a_1,"[0,0046-1,0000]",0.0048,3.39,0.0047
16,a_7,"[0,0000-0,9999]",0.0002,3.40,0.0047
17,a_1,"[0,0481-1,0000]",0.0500,5.82,0.0521
18,a_4,"[0,0156-1,0000]",0.0156,6.06,0.0157
20,a_10,"[0,0003-1,0000]",0.0004,0.42,0.0010
20,a_7,"[0,0010-1,0000]",0.0011,0.42,0.0010
21,~a_2,"[0,0000-1,0000]",0.0000,5.45,0.0288
21,a_9,"[0,0000-0,9712]",0.0307,5.53,0.0288
22,a_8,"[0,0002-0,9998]",0.0005,3.43,0.0026
23,d_17,"[0,0641-1,0000]",0.0826,4.37,0.1728
25,d_12,"[0,0988-1,0000]",0.1040,5.83,0.0990
25,~a_8,"[0,0000-0,9027]",0.1121,5.87,0.0990
28,a_8,"[0,0000-0,9997]",0.0004,3.12,0.0006
34,a_5,"[0,0010-1,0000]",0.0011,3.82,0.0013
34,~a_8,"[0,0001-0,9991]",0.0011,3.76,0.0013
35,d_17,"[0,0959-1,0000]",0.1020,5.07,0.1725
36,d_14,"[0,0043-1,0000]",0.0043,3.59,0.0043
36,~a_6,"[0,0042-1,0000]",0.0043,3.58,0.0043
36,~a_8,"[0,0032-0,9990]",0.0043,3.64,0.0043
37,~d_18,"[0,0150-1,0000]",0.0163,7.64,0.0255
38,a_7,"[0,0010-0,9995]",0.0018,5.48,0.1266
39,d_13,"[0,0107-1,0000]",0.0112,3.72,0.0649
40,a_6,"[0,0464-1,0000]",0.0509,3.10,0.1398
41,a_5,"[0,0263-1,0000]",0.0263,3.53,0.0263
43,d_11,"[0,0013-1,0000]",0.0017,4.25,0.0101
44,d_13,"[0,1424-1,0000]",0.1538,5.65,0.1425
47,~a_7,"[0,0049-1,0000]",0.0054,2.36,0.0122
47,a_9,"[0,0110-1,0000]",0.0120,2.36,0.0122
48,d_17,"[0,0153-1,0000]",0.0176,4.60,0.0334
48,a_7,"[0,0172-0,9998]",0.0196,4.63,0.0334
50,d_11,"[0,0172-1,0000]",0.0174,4.56,0.0181
50,~a_7,"[0,0002-0,9938]",0.0065,4.55,0.0181
50,a_7,"[0,0062-0,9998]",0.0065,4.62,0.0181
51,~d_18,"[0,0162-1,0000]",0.0162,5.65,0.0164
51,~a_7,"[0,0030-1,0000]",0.0042,5.73,0.0164
52,a_6,"[0,0057-1,0000]",0.0064,3.02,0.0061
52,a_9,"[0,0008-0,9995]",0.0013,2.85,0.0061
53,~a_7,"[0,0960-0,9993]",0.1278,4.72,0.1048
54,~a_0,"[0,0147-1,0000]",0.0167,2.73,0.0158
54,a_6,"[0,0074-1,0000]",0.0085,2.81,0.0158
54,a_8,"[0,0126-1,0000]",0.0152,2.78,0.0158
56,~a_2,"[0,0148-1,0000]",0.0149,4.98,0.0167
58,~d_12,"[0,0605-1,0000]",0.0828,6.49,0.0617
58,a_8,"[0,0608-0,9998]",0.0680,6.49,0.0617
59,d_9,"[0,0652-1,0000]",0.0706,5.88,0.0655
59,~a_6,"[0,0655-1,0000]",0.0655,5.92,0.0655
60,d_10,"[0,0525-1,0000]",0.0525,5.95,0.0525
60,a_7,"[0,0518-0,9996]",0.0525,6.00,0.0525
60,~a_7,"[0,0004-0,9482]",0.0525,6.21,0.0525
61,d_13,"[0,0953-1,0000]",0.1073,6.08,0.0967
61,a_8,"[0,0046-1,0000]",0.0055,6.16,0.0967
61,~a_8,"[0,0000-0,9954]",0.0055,6.27,0.0967
62,d_10,"[0,0569-1,0000]",0.0683,6.01,0.0719
63,~d_13,"[0,1409-1,0000]",0.1458,7.09,0.1412
63,a_8,"[0,0923-0,9516]",0.1499,7.08,0.1412
64,~d_16,"[0,0115-1,0000]",0.0119,4.95,0.0118
65,~d_16,"[0,0031-1,0000]",0.0031,3.56,0.0031
65,a_7,"[0,0027-1,0000]",0.0031,3.59,0.0031
65,a_8,"[0,0000-0,9972]",0.0031,3.56,0.0031
66,~a_2,"[0,0076-1,0000]",0.0076,7.44,0.0076
66,a_8,"[0,0006-0,9930]",0.0078,7.73,0.0076
67,d_12,"[1,3176-1,0000]",1.3176,9.68,1.3176
68,d_16,"[0,0214-1,0000]",0.0215,6.66,0.0215
68,a_8,"[0,0136-1,0000]",0.0154,6.83,0.0215
71,a_7,"[0,0009-0,9056]",0.1114,5.91,0.0974
71,a_8,"[0,0952-0,9999]",0.1119,5.96,0.0974
72,~d_13,"[0,0059-1,0000]",0.0059,9.70,0.0059
73,~a_3,"[0,0131-1,0000]",0.0137,4.10,0.0134
74,a_4,"[0,0310-1,0000]",0.0314,6.47,0.0424
74,~a_5,"[0,0236-1,0000]",0.0265,6.53,0.0424
74,a_8,"[0,0188-0,9764]",0.0425,6.62,0.0424
75,d_10,"[0,0129-1,0000]",0.0130,6.36,0.0131
75,~a_7,"[0,0013-0,9882]",0.0131,6.46,0.0131
75,a_7,"[0,0118-0,9987]",0.0131,6.59,0.0131
76,a_7,"[0,0769-0,9999]",0.0778,7.76,0.0770
78,~d_14,"[0,0036-1,0000]",0.0037,5.75,0.0043
81,d_17,"[0,0129-1,0000]",0.0130,7.71,0.0130
82,a_4,"[0,0147-1,0000]",0.0149,7.09,0.0214
