Prog,Lit,Exact,Time
80,~a_8,"[0,9341-0,9341]",6.53
82,d_11,"[0,9315-1,0000]",6.31
82,~a_9,"[0,0635-0,1785]",6.36
82,a_7,"[0,8979-0,9979]",6.50
83,d_9,"[0,9400-1,0000]",25.01
83,a_8,"[0,8844-0,9650]",25.51
83,~a_7,"[0,0098-0,0904]",25.50
84,d_14,"[0,9379-1,0000]",3.11
84,a_8,"[0,8347-0,9190]",3.17
85,~d_12,"[1,0000-1,0000]",1.56
86,d_15,"[1,0000-1,0000]",12.54
87,d_9,"[0,9221-1,0000]",6.22
87,a_7,"[0,0480-0,0480]",6.43
87,~a_8,"[0,9091-0,9091]",6.55
88,d_16,"[1,0000-1,0000]",6.21
89,~d_17,"[1,0000-1,0000]",3.16
89,a_7,"[0,8114-0,9056]",3.22
90,~a_7,"[0,8888-0,9632]",6.40
92,a_4,"[0,9800-1,0000]",6.17
93,~d_9,"[0,9235-1,0000]",1.54
95,d_15,"[0,9663-1,0000]",3.14
95,a_7,"[0,8562-0,9509]",3.25
96,~a_6,"[0,9532-1,0000]",6.24
96,a_7,"[0,1704-0,2172]",6.34
97,~a_6,"[0,8005-1,0000]",3.16
97,a_8,"[0,8005-0,9275]",3.18
98,~a_1,"[1,0000-1,0000]",6.29
98,a_7,"[0,8319-0,8319]",6.55
98,~a_8,"[0,4071-0,4071]",6.38
99,a_5,"[0,7277-1,0000]",6.30
99,~a_8,"[0,1115-0,1715]",6.41
100,a_8,"[0,0709-0,1577]",6.39
100,~a_8,"[0,8423-0,9291]",6.43
101,a_4,"[0,9600-1,0000]",6.20
101,~a_8,"[0,0071-0,0471]",6.33
102,a_5,"[0,9400-1,0000]",12.34
102,a_7,"[0,0659-0,1259]",12.58
104,a_3,"[0,9676-1,0000]",25.07
104,~a_6,"[1,0000-1,0000]",25.04
104,a_8,"[0,8001-0,9137]",25.51
105,a_7,"[0,7441-0,7941]",12.66
107,d_16,"[0,9232-1,0000]",3.14
108,d_10,"[0,8798-1,0000]",6.29
108,a_5,"[0,9497-1,0000]",6.28
108,a_8,"[0,8766-0,9999]",6.45
109,~a_7,"[0,0323-0,1683]",12.66
109,a_7,"[0,8317-0,9677]",12.83
110,~a_7,"[1,0000-1,0000]",13.14
112,~a_6,"[0,8909-1,0000]",25.07
112,a_8,"[0,0177-0,1269]",25.60
113,a_5,"[0,9713-1,0000]",6.30
113,a_8,"[0,7651-0,7938]",6.39
115,d_9,"[0,8948-1,0000]",12.68
115,a_5,"[0,9400-1,0000]",12.72
116,~a_1,"[0,9900-1,0000]",12.55
116,a_7,"[0,0315-0,0415]",12.74
116,a_8,"[0,0000-0,0100]",12.65
117,~a_4,"[0,8901-1,0000]",12.57
117,~a_7,"[0,9200-1,0000]",12.63
118,a_0,"[0,9500-1,0000]",3.12
118,a_5,"[0,9300-1,0000]",3.08
118,a_8,"[0,0008-0,0708]",3.18
119,~d_16,"[0,9600-1,0000]",1.55
120,a_7,"[0,0770-0,1670]",12.72
122,a_4,"[0,9600-1,0000]",3.10
122,a_5,"[1,0000-1,0000]",3.08
122,~a_8,"[0,1435-0,1435]",3.18
123,a_5,"[0,9640-1,0000]",12.50
123,~a_7,"[0,2629-0,2989]",12.74
124,d_16,"[0,8401-1,0000]",12.59
125,d_9,"[0,9700-1,0000]",50.29
126,d_12,"[0,7754-1,0000]",3.08
126,a_5,"[0,9034-1,0000]",3.10
126,a_7,"[0,8974-0,9853]",3.27
127,a_8,"[0,9434-0,9434]",0.80
128,d_12,"[0,9600-1,0000]",3.16
128,a_8,"[0,9168-0,9967]",3.27
128,a_7,"[0,0015-0,0814]",3.27
129,a_7,"[0,8678-1,0000]",3.16
131,d_11,"[0,9600-1,0000]",3.09
131,a_6,"[0,9600-1,0000]",3.14
133,d_9,"[0,9312-1,0000]",1.56
133,~a_6,"[0,9589-1,0000]",1.59
133,~a_8,"[0,1909-0,2320]",1.59
135,a_5,"[0,8496-1,0000]",12.84
136,d_14,"[0,9993-1,0000]",12.49
136,a_6,"[0,8757-1,0000]",12.66
136,~a_9,"[0,0000-0,1243]",12.88
137,a_3,"[0,9600-1,0000]",12.69
137,~a_5,"[1,0000-1,0000]",12.74
137,a_8,"[0,2025-0,2025]",13.14
138,a_1,"[0,9100-1,0000]",1.58
138,a_7,"[0,2609-0,3509]",1.60
139,d_18,"[0,9700-1,0000]",6.29
139,a_5,"[1,0000-1,0000]",6.31
139,a_9,"[0,9708-0,9708]",6.48
140,d_17,"[1,0000-1,0000]",6.21
141,a_6,"[1,0000-1,0000]",3.11
