Prog,Lit,Intervalo,Metric,Time,Mass
95,~d_24,"[0,9715-1,0000]",0.9806,1.14,0.9799
96,a_17,"[0,0691-0,1534]",0.9797,1.38,0.9674
98,d_77,"[0,9464-1,0000]",0.9568,1.63,0.9550
100,~a_11,"[0,9154-1,0000]",0.9783,1.43,0.9745
100,a_17,"[0,0000-0,3647]",0.9921,1.63,0.9745
101,d_50,"[0,8748-1,0000]",0.9740,1.60,0.9636
101,a_15,"[0,0057-0,0445]",0.9656,1.63,0.9636
102,a_16,"[0,5816-1,0000]",0.9856,2.00,0.9536
102,a_17,"[0,7612-0,9627]",0.9617,2.10,0.9536
103,d_67,"[0,9658-1,0000]",0.9702,1.33,0.9660
103,a_13,"[0,6588-1,0000]",0.9932,1.33,0.9660
103,a_16,"[0,8461-1,0000]",0.9743,1.51,0.9660
104,~d_21,"[0,9556-1,0000]",0.9564,2.11,0.9562
104,~a_19,"[0,0000-0,2965]",0.9824,2.28,0.9562
105,d_28,"[0,8238-1,0000]",0.9705,1.77,0.9603
105,a_10,"[0,6807-1,0000]",0.9842,1.81,0.9603
105,~a_17,"[0,6807-0,9988]",0.9827,1.81,0.9603
107,d_41,"[0,8799-1,0000]",0.9613,1.78,0.9557
107,a_19,"[0,0304-0,2186]",0.9662,1.87,0.9557
108,~d_46,"[0,7164-1,0000]",0.9748,1.68,0.9529
108,a_13,"[0,5351-1,0000]",0.9860,1.67,0.9529
108,a_17,"[0,7490-0,9558]",0.9689,1.75,0.9529
110,~d_38,"[0,9445-1,0000]",0.9454,1.95,0.9445
110,a_13,"[0,6876-1,0000]",0.9900,1.93,0.9445
110,~a_16,"[0,8103-1,0000]",0.9661,1.95,0.9445
111,~d_62,"[0,8743-1,0000]",0.9725,1.60,0.9693
112,d_30,"[0,8357-1,0000]",0.9777,1.09,0.9696
113,d_34,"[0,9367-1,0000]",0.9625,1.87,0.9552
113,a_16,"[0,0058-0,1133]",0.9631,1.87,0.9552
117,d_47,"[0,9617-1,0000]",0.9640,1.32,0.9631
119,d_22,"[0,8738-1,0000]",0.9622,2.13,0.9531
120,~a_7,"[0,9626-1,0000]",0.9759,1.42,0.9716
121,d_21,"[0,8619-1,0000]",0.9713,1.74,0.9566
122,d_43,"[0,8495-1,0000]",0.9819,1.02,0.9745
123,a_18,"[0,7657-0,9973]",0.9547,1.85,0.9370
124,a_4,"[0,8078-1,0000]",0.9865,1.37,0.9670
124,~a_15,"[0,9593-0,9970]",0.9686,1.74,0.9670
127,d_37,"[0,8944-1,0000]",0.9444,1.85,0.9409
127,a_20,"[0,0482-0,4303]",0.9627,1.87,0.9409
128,d_59,"[0,9128-1,0000]",0.9823,1.13,0.9776
128,~a_16,"[0,0284-0,1295]",0.9809,1.16,0.9776
128,a_15,"[0,7964-0,9917]",0.9862,1.19,0.9776
130,~d_55,"[0,7409-1,0000]",0.9746,1.95,0.9550
133,d_64,"[0,9465-1,0000]",0.9474,2.32,0.9465
133,~a_19,"[0,1284-0,2277]",0.9600,2.56,0.9465
134,~a_7,"[0,9140-1,0000]",0.9546,1.58,0.9513
135,a_8,"[0,9676-1,0000]",0.9677,1.33,0.9676
136,~d_39,"[0,9755-1,0000]",0.9755,1.45,0.9755
136,a_11,"[0,8072-1,0000]",0.9951,1.44,0.9755
136,a_17,"[0,8200-0,8674]",0.9841,1.47,0.9755
137,~d_32,"[0,9651-1,0000]",0.9653,1.52,0.9651
137,a_10,"[0,9511-1,0000]",0.9684,1.53,0.9651
137,~a_15,"[0,2102-0,3667]",0.9663,1.66,0.9651
139,~a_18,"[0,0981-0,2933]",0.9669,1.50,0.9567
140,a_19,"[0,0194-0,3130]",0.9823,1.94,0.9641
143,d_26,"[0,9317-1,0000]",0.9689,1.77,0.9628
143,~a_16,"[0,0517-0,1959]",0.9871,1.76,0.9628
145,~d_62,"[0,9419-1,0000]",0.9695,1.69,0.9590
147,a_0,"[0,8896-1,0000]",0.9766,1.03,0.9728
148,d_33,"[0,9072-1,0000]",0.9718,1.81,0.9670
149,~d_69,"[0,6755-1,0000]",0.9854,1.81,0.9583
149,a_15,"[0,7576-0,9940]",0.9719,2.63,0.9583
149,~a_20,"[0,1848-0,3070]",0.9703,2.15,0.9583
150,d_64,"[0,9655-1,0000]",0.9705,1.11,0.9669
151,~d_47,"[0,9672-1,0000]",0.9684,1.46,0.9672
151,a_14,"[0,8069-1,0000]",0.9764,1.47,0.9672
151,a_17,"[0,7435-0,9957]",0.9736,1.49,0.9672
153,a_16,"[0,7229-0,8755]",0.9726,1.48,0.9616
154,~d_24,"[0,9051-1,0000]",0.9774,1.44,0.9708
154,~a_19,"[0,1011-0,3349]",0.9856,1.64,0.9708
155,~d_29,"[0,9603-1,0000]",0.9633,1.74,0.9629
156,a_19,"[0,0124-0,3320]",0.9667,1.84,0.9560
157,d_47,"[0,9501-1,0000]",0.9597,1.92,0.9550
158,d_45,"[0,8813-1,0000]",0.9617,1.92,0.9540
159,d_45,"[0,9423-1,0000]",0.9702,1.35,0.9672
159,a_15,"[0,0758-0,2666]",0.9901,1.39,0.9672
161,d_74,"[0,9688-1,0000]",0.9737,1.91,0.9719
163,d_29,"[0,8793-1,0000]",0.9573,1.98,0.9491
164,~a_18,"[0,0592-0,3827]",0.9934,1.49,0.9724
166,d_38,"[0,8727-1,0000]",0.9782,1.14,0.9727
167,~a_3,"[0,9405-1,0000]",0.9796,0.87,0.9772
168,d_54,"[0,9177-1,0000]",0.9725,1.64,0.9685
169,~d_43,"[0,8207-1,0000]",0.9837,1.51,0.9690
170,d_54,"[0,9748-1,0000]",0.9755,0.83,0.9749
170,a_11,"[0,9245-1,0000]",0.9889,0.85,0.9749
170,~a_18,"[0,9245-1,0000]",0.9890,0.86,0.9749
171,a_2,"[0,9697-1,0000]",0.9734,1.49,0.9699
172,d_41,"[0,9679-1,0000]",0.9705,1.57,0.9690
172,a_16,"[0,7152-0,9960]",0.9946,1.58,0.9690
172,~a_16,"[0,0040-0,2848]",0.9946,1.56,0.9690
173,d_51,"[0,8148-1,0000]",0.9745,1.62,0.9591
173,a_12,"[0,8628-1,0000]",0.9791,1.62,0.9591
174,~a_12,"[0,8940-1,0000]",0.9772,1.80,0.9720
175,d_24,"[0,8174-1,0000]",0.9630,1.94,0.9528
175,~a_12,"[0,8233-1,0000]",0.9756,1.92,0.9528
175,~a_15,"[0,8670-0,9886]",0.9633,2.07,0.9528
178,~d_30,"[0,8570-1,0000]",0.9630,1.56,0.9584
179,d_29,"[0,8932-1,0000]",0.9821,1.30,0.9767
179,~a_19,"[0,8697-1,0000]",0.9836,1.35,0.9767
179,a_18,"[0,7291-1,0000]",0.9903,1.33,0.9767
182,a_2,"[0,8704-1,0000]",0.9781,1.49,0.9697
183,a_15,"[0,8809-1,0000]",0.9693,1.44,0.9603
183,~a_22,"[0,7499-0,9245]",0.9825,1.50,0.9603
184,d_64,"[0,9723-1,0000]",0.9810,1.14,0.9790
185,d_69,"[0,9592-1,0000]",0.9597,1.29,0.9592
188,~d_39,"[0,9703-1,0000]",0.9703,1.27,0.9703
188,~a_17,"[0,8761-0,9685]",0.9815,1.60,0.9703
189,a_3,"[0,8709-1,0000]",0.9678,1.62,0.9587
191,~a_20,"[0,8062-0,9364]",0.9737,1.94,0.9635
192,a_18,"[0,6860-0,9954]",0.9812,1.70,0.9668
192,a_19,"[0,0185-0,2212]",0.9841,1.61,0.9668
195,d_53,"[0,9772-1,0000]",0.9772,1.06,0.9772
197,~d_80,"[0,9697-1,0000]",0.9775,1.17,0.9729
198,a_14,"[0,9445-1,0000]",0.9665,1.53,0.9619
198,a_17,"[0,7170-0,8873]",0.9771,1.57,0.9619
199,~d_38,"[0,7479-1,0000]",0.9789,1.82,0.9687
200,~d_55,"[0,8214-1,0000]",0.9741,1.38,0.9717
202,d_38,"[0,9592-1,0000]",0.9648,2.02,0.9628
203,a_15,"[0,7102-0,9970]",0.9862,1.89,0.9606
204,~d_60,"[0,9615-1,0000]",0.9629,1.61,0.9616
204,~a_11,"[0,9220-1,0000]",0.9779,1.60,0.9616
205,~d_45,"[0,9768-1,0000]",0.9770,1.62,0.9769
206,a_16,"[0,1732-0,4327]",0.9829,1.55,0.9689
208,d_23,"[0,9833-1,0000]",0.9833,0.94,0.9833
209,d_39,"[0,7285-1,0000]",0.9807,1.44,0.9588
209,~a_15,"[0,8776-0,9849]",0.9696,1.47,0.9588
210,d_30,"[0,9574-1,0000]",0.9610,1.46,0.9582
210,~a_19,"[0,7967-0,9876]",0.9832,1.49,0.9582
212,~a_21,"[0,8764-1,0000]",0.9724,1.79,0.9636
213,d_20,"[0,9434-1,0000]",0.9651,1.47,0.9637
214,~a_3,"[0,8551-1,0000]",0.9825,1.41,0.9691
214,a_17,"[0,0782-0,2911]",0.9818,1.42,0.9691
214,~a_18,"[0,8787-1,0000]",0.9833,1.46,0.9691
215,~d_38,"[0,9597-1,0000]",0.9610,1.73,0.9597
216,a_1,"[0,8888-1,0000]",0.9752,1.21,0.9669
216,a_11,"[0,9382-1,0000]",0.9721,1.22,0.9669
217,d_41,"[0,9594-1,0000]",0.9617,1.26,0.9603
217,a_21,"[0,7259-0,7759]",0.9653,1.35,0.9603
218,d_58,"[0,9258-1,0000]",0.9696,1.62,0.9636
219,d_57,"[0,8945-1,0000]",0.9810,1.14,0.9740
220,d_63,"[0,8736-1,0000]",0.9371,2.32,0.9329
221,d_56,"[0,8908-1,0000]",0.9779,1.94,0.9687
222,~d_45,"[0,9509-1,0000]",0.9564,1.45,0.9530
224,a_11,"[0,9411-1,0000]",0.9730,1.30,0.9685
224,~a_16,"[0,0310-0,1276]",0.9742,1.52,0.9685
226,d_58,"[0,9327-1,0000]",0.9714,1.61,0.9673
226,a_19,"[0,0261-0,1345]",0.9739,1.58,0.9673
