Prog,Lit,Intervalo,Metric,Time,Mass
83,a_8,"[0,1672-0,9976]",0.1871,19.58,0.1934
84,a_3,"[0,1218-1,0000]",0.1431,13.44,0.2176
84,a_7,"[0,0008-0,8868]",0.1352,13.34,0.2176
86,d_10,"[1,0781-1,0000]",1.1685,22.52,1.0909
86,a_6,"[1,0616-1,0000]",1.2650,22.39,1.0909
86,a_7,"[0,0019--0,0798]",1.2309,22.48,1.0909
89,a_2,"[0,0580-1,0000]",0.0694,18.04,0.0737
89,~a_8,"[0,0403-1,0000]",0.0511,17.98,0.0737
89,a_8,"[0,0000-0,9597]",0.0511,17.98,0.0737
90,~d_10,"[0,0226-1,0000]",0.0237,14.83,0.0287
91,a_0,"[0,0269-1,0000]",0.0270,22.53,0.0278
92,a_8,"[0,1299-0,9024]",0.2299,6.95,0.2395
93,d_14,"[1,2840-1,0000]",1.4040,13.97,1.3948
93,a_7,"[1,1207-0,9999]",1.6559,13.96,1.3948
94,a_3,"[0,1318-1,0000]",0.1340,23.23,0.1345
95,d_16,"[1,3714-1,0000]",1.4902,10.93,1.3780
95,a_8,"[1,3636-1,0000]",1.6860,10.97,1.3780
97,~d_14,"[0,0393-1,0000]",0.0429,14.49,0.1114
97,~a_8,"[0,0132-0,9248]",0.0965,14.37,0.1114
98,~a_0,"[0,3704-1,0000]",0.3705,13.63,0.3705
98,a_8,"[0,2776-0,9848]",0.3268,13.60,0.3705
100,~d_16,"[0,2052-1,0000]",0.2177,19.81,0.2056
102,a_8,"[0,0203-0,9830]",0.0389,14.89,0.0383
103,~d_14,"[0,0238-1,0000]",0.0255,12.90,0.1201
104,d_15,"[0,1336-1,0000]",0.1349,20.32,0.1356
105,a_8,"[0,4223-0,9407]",0.4843,25.96,0.4816
106,~d_9,"[0,0443-1,0000]",0.0444,15.72,0.0465
106,a_5,"[0,0386-1,0000]",0.0398,15.64,0.0465
106,~a_8,"[0,0000-0,9624]",0.0437,15.52,0.0465
107,~a_0,"[0,0339-1,0000]",0.0409,12.91,0.2736
109,a_1,"[0,1440-1,0000]",0.1557,19.12,0.1471
110,~d_17,"[0,0473-1,0000]",0.0474,23.56,0.0476
110,~a_8,"[0,0022-0,9680]",0.0362,23.81,0.0476
110,a_7,"[0,0003-0,9901]",0.0116,23.23,0.0476
111,a_9,"[0,0080-0,9675]",0.0494,16.43,0.0762
112,~d_12,"[0,0819-1,0000]",0.0851,13.06,0.0870
112,~a_5,"[0,0805-1,0000]",0.0945,12.92,0.0870
112,a_8,"[0,0004-1,0000]",0.0005,12.78,0.0870
113,d_18,"[0,2197-1,0000]",0.2197,17.70,0.2197
115,d_16,"[0,1245-1,0000]",0.1249,11.38,0.1248
115,a_5,"[0,0224-1,0000]",0.0252,11.39,0.1248
116,~d_12,"[0,0719-1,0000]",0.0760,13.01,0.0751
116,a_6,"[0,0624-1,0000]",0.0780,12.99,0.0751
116,~a_8,"[0,0578-1,0000]",0.0728,13.04,0.0751
119,~a_8,"[0,0881-0,8650]",0.2555,16.00,0.3364
120,a_4,"[0,2900-1,0000]",0.2904,19.34,0.2901
121,d_15,"[0,0904-1,0000]",0.1037,11.72,0.1283
121,a_7,"[0,0127-0,8972]",0.1167,12.15,0.1283
121,a_8,"[0,0059-0,8903]",0.1166,11.81,0.1283
123,~a_8,"[0,0236-1,0000]",0.0288,21.00,0.1601
126,~d_13,"[0,1803-1,0000]",0.1818,10.65,0.1807
126,a_5,"[0,1461-1,0000]",0.2123,10.57,0.1807
126,a_7,"[0,1495-0,9753]",0.1903,10.77,0.1807
127,~a_6,"[0,0832-1,0000]",0.0917,21.23,0.1320
127,~a_8,"[0,0453-0,9891]",0.0698,21.33,0.1320
128,~a_7,"[0,0012-0,6961]",0.3688,10.65,0.5129
129,d_10,"[0,1655-1,0000]",0.1664,22.35,0.1666
129,a_5,"[0,0766-1,0000]",0.1037,22.28,0.1666
129,a_7,"[0,0904-0,9311]",0.1605,22.48,0.1666
130,~a_8,"[0,0915-0,9978]",0.0958,21.46,0.0961
131,a_8,"[0,1178-1,0000]",0.1397,6.42,0.3068
132,d_12,"[1,5052-1,0000]",1.5063,21.98,1.5059
133,d_16,"[0,1202-1,0000]",0.1277,11.86,0.1266
135,a_9,"[0,0001-0,7961]",0.2215,23.18,0.2159
136,~a_2,"[0,1592-1,0000]",0.1713,19.80,0.1637
137,~a_4,"[0,1604-1,0000]",0.1615,16.44,0.1652
137,a_6,"[0,1509-1,0000]",0.1709,16.50,0.1652
137,a_7,"[0,0088-0,8688]",0.1736,16.68,0.1652
138,a_2,"[0,0464-1,0000]",0.0482,14.75,0.0562
139,a_8,"[0,1358-1,0000]",0.1358,20.00,0.1358
140,d_17,"[0,0311-1,0000]",0.0339,19.13,0.0883
141,~a_7,"[0,0373-1,0000]",0.0417,9.43,0.0523
142,d_18,"[0,2065-1,0000]",0.2426,20.10,0.2204
142,~a_7,"[0,0046-0,7903]",0.2159,20.54,0.2204
143,d_11,"[0,0589-1,0000]",0.0659,24.76,0.0716
143,a_9,"[0,0052-0,9470]",0.0699,25.21,0.0716
144,a_3,"[0,2857-1,0000]",0.2861,18.21,0.2861
144,a_9,"[0,2653-0,9893]",0.2892,18.49,0.2861
145,a_3,"[0,2400-1,0000]",0.2582,13.45,0.2519
146,~a_0,"[0,2236-1,0000]",0.2352,16.54,0.2876
146,a_5,"[0,1843-1,0000]",0.2146,16.62,0.2876
146,a_8,"[0,1591-0,9463]",0.2622,16.62,0.2876
148,~d_16,"[0,1161-1,0000]",0.1214,23.30,0.1798
149,a_9,"[0,0003-0,9788]",0.0230,7.95,0.0438
150,d_16,"[0,2040-1,0000]",0.2141,14.64,0.2704
153,a_4,"[0,1553-1,0000]",0.1719,23.85,0.1739
153,a_7,"[0,1729-1,0000]",0.1819,24.07,0.1739
153,~a_9,"[0,0722-0,8993]",0.1875,24.31,0.1739
154,a_7,"[0,0075-0,9947]",0.0153,22.07,0.1443
154,~a_7,"[0,0053-0,9925]",0.0153,22.18,0.1443
155,~d_18,"[0,1892-1,0000]",0.2628,15.65,0.3032
156,a_5,"[0,1935-1,0000]",0.2280,15.48,0.2121
156,a_8,"[0,1916-0,9976]",0.2272,15.38,0.2121
159,d_13,"[0,1200-1,0000]",0.1312,20.09,0.1269
160,a_0,"[1,3636-1,0000]",1.3659,22.03,1.3639
161,a_1,"[0,0096-1,0000]",0.0125,15.63,0.1986
161,~a_7,"[0,1846-0,9993]",0.2014,15.51,0.1986
161,~a_8,"[0,0007-0,8146]",0.2105,15.55,0.1986
162,d_9,"[0,1096-1,0000]",0.1455,13.80,0.1252
162,~a_5,"[0,0565-1,0000]",0.0724,13.63,0.1252
162,~a_8,"[0,0004-0,8997]",0.1189,13.72,0.1252
163,~a_4,"[0,1728-1,0000]",0.1763,10.48,0.1759
165,~d_18,"[0,1746-1,0000]",0.1852,17.11,0.1813
165,~a_8,"[0,0108-0,9294]",0.1040,17.02,0.1813
167,d_10,"[0,2420-1,0000]",0.2420,21.27,0.2420
169,d_11,"[1,0698-1,0000]",1.0975,18.39,1.0726
169,~a_6,"[1,0594-1,0000]",1.2843,18.23,1.0726
169,a_8,"[1,0512-0,9907]",1.2232,18.19,1.0726
170,d_12,"[0,0367-1,0000]",0.0368,13.78,0.0395
170,a_7,"[0,0055-0,9806]",0.0272,13.59,0.0395
171,~d_9,"[0,0421-1,0000]",0.0470,22.64,0.0541
171,a_7,"[0,0402-1,0000]",0.0455,22.53,0.0541
172,~a_4,"[0,0357-1,0000]",0.0389,19.33,0.0576
172,~a_8,"[0,0041-1,0000]",0.0057,19.07,0.0576
172,a_7,"[0,0351-0,9996]",0.0387,19.14,0.0576
175,d_18,"[0,0906-1,0000]",0.1066,14.21,0.1117
175,a_5,"[0,1064-1,0000]",0.1230,14.02,0.1117
