Prog,Lit,Intervalo,Metric,Time,Mass
0,~a_4,"[0,1585-1,0000]",0.1720,118.89,0.1611
1,~d_16,"[0,0063-1,0000]",0.0064,73.71,0.0065
2,a_0,"[0,0049-1,0000]",0.0056,78.88,0.0074
2,a_5,"[0,0047-1,0000]",0.0058,78.55,0.0074
2,~a_7,"[0,0036-0,9971]",0.0069,79.46,0.0074
4,d_14,"[0,0105-1,0000]",0.0109,117.89,0.0117
4,~a_5,"[0,0112-1,0000]",0.0117,117.65,0.0117
5,a_3,"[0,0926-1,0000]",0.0947,46.63,0.0929
6,d_13,"[0,0384-1,0000]",0.0439,50.73,0.0434
8,d_14,"[0,0123-1,0000]",0.0142,183.10,0.0143
8,a_6,"[0,0052-1,0000]",0.0064,183.10,0.0143
10,~d_17,"[0,0232-1,0000]",0.0242,109.43,0.0234
10,a_7,"[0,0011-0,9909]",0.0131,110.48,0.0234
10,~a_8,"[0,0168-0,9941]",0.0245,111.05,0.0234
13,~d_9,"[0,0934-1,0000]",0.1018,89.44,0.1021
14,d_15,"[0,0007-1,0000]",0.0009,50.08,0.0082
15,~d_11,"[0,0050-1,0000]",0.0050,116.23,0.0050
15,~a_7,"[0,0017-0,9968]",0.0049,118.77,0.0050
16,d_14,"[0,0026-1,0000]",0.0027,54.96,0.0513
16,~a_8,"[0,0000-0,9952]",0.0052,55.61,0.0513
17,a_1,"[0,0483-1,0000]",0.0483,77.31,0.0483
17,a_8,"[0,0445-0,9997]",0.0469,77.89,0.0483
19,a_1,"[0,1139-1,0000]",0.1427,169.64,0.1388
19,a_8,"[0,1363-0,9990]",0.1468,171.58,0.1388
20,a_7,"[0,0099-1,0000]",0.0117,1.06,0.1188
21,~a_1,"[0,1050-1,0000]",0.1207,109.89,0.1097
21,~a_9,"[0,0004-0,8943]",0.1098,110.78,0.1097
22,d_9,"[0,0142-1,0000]",0.0151,47.51,0.0186
22,a_7,"[0,0179-1,0000]",0.0192,48.51,0.0186
22,~a_8,"[0,0000-0,9947]",0.0066,48.60,0.0186
24,~d_16,"[0,1046-1,0000]",0.1217,53.78,0.1075
25,~a_8,"[0,0028-0,9451]",0.0595,132.03,0.0593
25,a_7,"[0,0404-0,9815]",0.0590,132.58,0.0593
26,a_7,"[0,0022-0,9623]",0.0431,154.38,0.0430
27,a_5,"[0,0801-1,0000]",0.0880,76.70,0.0817
28,~d_16,"[1,0440-1,0000]",1.0676,49.46,1.0466
29,d_17,"[0,0101-1,0000]",0.0112,80.70,0.0181
30,a_0,"[0,0067-1,0000]",0.0069,6.12,0.0070
30,~a_9,"[0,0060-1,0000]",0.0066,6.16,0.0070
30,a_9,"[0,0000-0,9940]",0.0066,6.11,0.0070
31,a_7,"[0,0091-0,9950]",0.0191,65.04,0.0288
33,d_13,"[1,0727-1,0000]",1.1863,27.05,1.0821
33,a_9,"[1,0815-0,9994]",1.0934,27.58,1.0821
33,~a_9,"[0,0006--0,0815]",1.0934,27.46,1.0821
35,d_14,"[0,0135-1,0000]",0.0152,129.22,0.0179
35,a_8,"[0,0097-0,9970]",0.0155,129.83,0.0179
36,a_2,"[0,1518-1,0000]",0.1572,50.39,0.1530
37,a_9,"[0,0011-0,9927]",0.0122,176.62,0.0232
39,~a_1,"[0,0155-1,0000]",0.0157,100.28,0.0157
40,a_3,"[0,0678-1,0000]",0.0690,72.24,0.0684
41,d_16,"[0,9224-1,0000]",0.9516,68.86,0.9236
41,a_8,"[0,9139-0,9999]",1.2065,69.76,0.9236
41,a_7,"[0,9128-0,9923]",1.1799,70.99,0.9236
42,d_10,"[0,0587-1,0000]",0.0587,33.61,0.0587
42,~a_7,"[0,0484-0,9900]",0.0599,34.37,0.0587
43,a_2,"[0,0235-1,0000]",0.0237,63.14,0.0236
