Prog,Lit,Exact,Time
60,a_0,"[1,0000-1,0000]",2.35
60,a_7,"[0,9768-0,9768]",2.49
61,a_3,"[1,0000-1,0000]",7.19
61,a_5,"[1,0000-1,0000]",7.14
61,a_8,"[1,0000-1,0000]",7.32
62,d_18,"[1,0000-1,0000]",1.95
62,a_5,"[0,9976-1,0000]",1.99
62,a_9,"[0,0019-0,2270]",2.22
63,d_15,"[1,0000-1,0000]",3.90
63,~a_5,"[1,0000-1,0000]",3.98
64,d_11,"[1,0000-1,0000]",4.78
64,a_8,"[0,0476-0,1872]",4.93
64,a_7,"[1,0000-1,0000]",4.96
65,d_11,"[1,0000-1,0000]",0.96
65,~a_8,"[0,7856-1,0000]",1.11
66,~a_2,"[0,9903-1,0000]",2.82
66,a_5,"[0,9200-1,0000]",2.81
66,~a_8,"[0,0000-0,0900]",2.92
67,~a_5,"[0,9211-1,0000]",2.05
67,a_8,"[0,8125-0,9552]",2.09
68,d_11,"[1,0000-1,0000]",5.05
68,a_7,"[0,9327-0,9752]",5.33
68,a_8,"[0,9416-0,9981]",5.13
69,a_1,"[1,0000-1,0000]",7.52
69,a_7,"[1,0000-1,0000]",7.58
70,d_12,"[1,0000-1,0000]",1.93
70,a_8,"[0,0967-0,1817]",2.00
71,a_7,"[0,8851-1,0000]",3.50
72,d_10,"[1,0000-1,0000]",4.98
72,a_7,"[0,7956-1,0000]",5.02
73,d_12,"[1,0000-1,0000]",1.58
73,a_7,"[0,0057-0,0057]",1.70
74,d_15,"[1,0000-1,0000]",3.42
74,a_6,"[1,0000-1,0000]",3.44
74,a_7,"[0,9247-0,9247]",3.51
75,~a_7,"[0,1548-0,1548]",1.48
76,d_17,"[0,8513-1,0000]",6.56
76,a_8,"[0,9577-1,0000]",7.04
76,~a_7,"[0,1396-0,1396]",6.81
77,d_14,"[1,0000-1,0000]",4.53
77,a_9,"[1,0000-1,0000]",4.64
78,d_11,"[0,9554-1,0000]",4.85
78,~a_7,"[0,8340-1,0000]",4.78
79,a_3,"[0,9924-1,0000]",4.02
80,~d_15,"[1,0000-1,0000]",3.37
80,a_6,"[1,0000-1,0000]",3.41
80,~a_7,"[0,9344-0,9344]",3.62
81,~d_15,"[1,0000-1,0000]",10.19
82,~d_16,"[0,8817-1,0000]",6.96
82,a_7,"[0,9982-0,9982]",7.45
83,d_16,"[0,9917-1,0000]",3.32
83,a_5,"[1,0000-1,0000]",3.33
83,a_8,"[0,8364-0,9336]",3.35
84,a_4,"[1,0000-1,0000]",1.69
84,a_6,"[0,8643-1,0000]",1.69
84,a_8,"[0,0540-0,1897]",1.78
