Prog,Lit,Exact,Time
128,a_15,"[0,8065-0,9906]",144.81
130,~d_55,"[0,7602-1,0000]",137.51
133,d_64,"[0,9990-1,0000]",136.67
133,~a_19,"[0,1369-0,1988]",143.97
134,~a_7,"[0,9574-1,0000]",135.50
135,a_8,"[0,9999-1,0000]",134.44
136,~d_39,"[0,9999-1,0000]",137.66
136,a_11,"[0,8112-1,0000]",137.75
136,a_17,"[0,8259-0,8579]",141.21
137,~d_32,"[0,9998-1,0000]",137.88
137,a_10,"[0,9822-1,0000]",137.64
137,~a_15,"[0,2287-0,3557]",145.32
139,~a_18,"[0,1136-0,2813]",159.36
140,a_19,"[0,0228-0,3037]",139.85
143,d_26,"[0,9615-1,0000]",135.67
143,~a_16,"[0,0563-0,1893]",136.72
145,~d_62,"[0,9715-1,0000]",134.85
147,a_0,"[0,9110-1,0000]",136.21
148,d_33,"[0,9335-1,0000]",138.70
149,~d_69,"[0,6855-1,0000]",137.32
149,a_15,"[0,7783-0,9926]",154.34
149,~a_20,"[0,1977-0,2930]",149.46
150,d_64,"[0,9948-1,0000]",134.70
151,~d_47,"[0,9988-1,0000]",135.15
151,a_14,"[0,8263-1,0000]",135.33
151,a_17,"[0,7625-0,9944]",138.16
153,a_16,"[0,7258-0,8544]",139.70
154,~d_24,"[0,9260-1,0000]",132.65
154,~a_19,"[0,1073-0,3299]",141.55
155,~d_29,"[0,9969-1,0000]",134.87
156,a_19,"[0,0145-0,3107]",137.23
157,d_47,"[0,9900-1,0000]",137.74
158,d_45,"[0,9164-1,0000]",134.69
159,d_45,"[0,9712-1,0000]",135.55
159,a_15,"[0,0788-0,2615]",138.69
161,d_74,"[0,9949-1,0000]",135.04
163,d_29,"[0,9184-1,0000]",137.03
164,~a_18,"[0,0600-0,3790]",140.54
166,d_38,"[0,8922-1,0000]",138.82
167,~a_3,"[0,9601-1,0000]",136.35
168,d_54,"[0,9436-1,0000]",131.74
169,~d_43,"[0,8343-1,0000]",134.96
170,d_54,"[0,9992-1,0000]",135.53
170,a_11,"[0,9349-1,0000]",135.10
170,~a_18,"[0,9348-1,0000]",137.14
171,a_2,"[0,9962-1,0000]",137.81
172,d_41,"[0,9973-1,0000]",137.41
172,a_16,"[0,7190-0,9959]",140.40
172,~a_16,"[0,0041-0,2810]",141.34
173,d_51,"[0,8362-1,0000]",135.10
173,a_12,"[0,8811-1,0000]",135.40
174,~a_12,"[0,9149-1,0000]",135.46
175,d_24,"[0,8488-1,0000]",134.32
175,~a_12,"[0,8439-1,0000]",134.33
175,~a_15,"[0,8972-0,9854]",137.01
178,~d_30,"[0,8900-1,0000]",137.25
179,d_29,"[0,9095-1,0000]",133.48
179,~a_19,"[0,8841-0,9999]",138.92
179,a_18,"[0,7362-1,0000]",134.76
182,a_2,"[0,8899-1,0000]",135.89
183,a_15,"[0,9088-1,0000]",136.62
183,~a_22,"[0,7592-0,9190]",141.96
184,d_64,"[0,9911-1,0000]",137.64
185,d_69,"[0,9995-1,0000]",135.36
188,~d_39,"[1,0000-1,0000]",136.47
188,~a_17,"[0,8884-0,9637]",150.49
189,a_3,"[0,8999-1,0000]",135.92
191,~a_20,"[0,8235-0,9302]",135.29
192,a_18,"[0,6969-0,9930]",160.05
192,a_19,"[0,0227-0,2126]",135.09
195,d_53,"[1,0000-1,0000]",136.91
197,~d_80,"[0,9920-1,0000]",137.52
198,a_14,"[0,9773-1,0000]",133.43
198,a_17,"[0,7221-0,8729]",135.96
199,~d_38,"[0,7640-1,0000]",136.94
200,~d_55,"[0,8432-1,0000]",137.11
202,d_38,"[0,9942-1,0000]",136.98
203,a_15,"[0,7192-0,9960]",140.16
204,~d_60,"[0,9985-1,0000]",135.64
204,~a_11,"[0,9429-1,0000]",135.63
205,~d_45,"[0,9998-1,0000]",136.79
206,a_16,"[0,1817-0,4283]",141.86
208,d_23,"[1,0000-1,0000]",136.63
209,d_39,"[0,7429-1,0000]",138.19
209,~a_15,"[0,8993-0,9787]",148.04
210,d_30,"[0,9962-1,0000]",138.33
210,~a_19,"[0,8096-0,9867]",139.22
212,~a_21,"[0,9014-1,0000]",135.72
213,d_20,"[0,9775-1,0000]",138.44
214,~a_3,"[0,8704-1,0000]",142.28
214,a_17,"[0,0881-0,2863]",148.24
214,~a_18,"[0,8935-0,9999]",148.50
215,~d_38,"[0,9986-1,0000]",143.77
216,a_1,"[0,9114-1,0000]",144.24
216,a_11,"[0,9651-1,0000]",143.55
217,d_41,"[0,9976-1,0000]",143.60
217,a_21,"[0,7410-0,7568]",148.83
218,d_58,"[0,9549-1,0000]",141.75
219,d_57,"[0,9119-1,0000]",138.41
220,d_63,"[0,9323-1,0000]",141.82
221,d_56,"[0,9109-1,0000]",143.18
222,~d_45,"[0,9942-1,0000]",142.61
224,a_11,"[0,9672-1,0000]",124.72
224,~a_16,"[0,0328-0,1054]",130.64
226,d_58,"[0,9602-1,0000]",122.56
226,a_19,"[0,0345-0,1191]",125.13
227,~a_7,"[0,9360-1,0000]",121.65
228,~a_18,"[0,0798-0,2831]",130.53
228,a_15,"[0,0508-0,0747]",130.74
229,a_10,"[0,8812-1,0000]",119.58
231,a_2,"[0,9800-1,0000]",122.51
232,d_51,"[0,9604-1,0000]",120.83
232,~a_10,"[0,9521-1,0000]",120.13
232,~a_17,"[0,8872-0,9999]",122.02
233,~d_58,"[0,9990-1,0000]",121.27
233,a_17,"[0,1365-0,1657]",126.74
234,d_54,"[0,9456-1,0000]",122.17
235,a_19,"[0,7613-0,9839]",125.32
236,~d_52,"[0,8481-1,0000]",121.83
236,~a_10,"[0,9096-1,0000]",120.86
236,a_16,"[0,8839-0,9821]",124.33
237,a_2,"[0,9373-1,0000]",122.02
239,~a_18,"[0,0021-0,3373]",121.84
240,d_42,"[0,9873-1,0000]",120.90
241,a_5,"[0,7711-1,0000]",121.59
243,a_19,"[0,8496-0,9999]",121.02
244,d_57,"[0,9082-1,0000]",118.83
247,a_3,"[0,8068-1,0000]",117.82
249,a_18,"[0,0954-0,2005]",119.23
251,a_7,"[0,9236-1,0000]",120.04
252,d_28,"[0,9908-1,0000]",120.61
252,~a_15,"[0,0009-0,1889]",120.67
252,~a_18,"[0,7041-0,9175]",120.93
253,~d_52,"[0,9825-1,0000]",121.08
255,d_57,"[0,9828-1,0000]",121.70
257,d_48,"[1,0000-1,0000]",120.81
257,a_19,"[0,8208-0,9924]",125.01
258,~d_72,"[0,8599-1,0000]",121.88
259,d_36,"[0,9998-1,0000]",120.94
259,a_16,"[0,0269-0,1838]",140.89
260,a_7,"[0,9200-1,0000]",121.58
260,~a_12,"[0,7416-1,0000]",120.34
261,d_27,"[0,9345-1,0000]",120.49
264,d_38,"[0,9121-1,0000]",121.35
265,~d_41,"[0,9954-1,0000]",121.30
265,a_15,"[0,8027-0,9222]",124.26
268,d_52,"[0,9955-1,0000]",120.30
268,~a_18,"[0,9597-0,9655]",125.31
269,a_6,"[0,9857-1,0000]",119.88
270,d_30,"[0,9817-1,0000]",121.39
270,a_15,"[0,7746-0,9060]",121.88
271,d_24,"[0,9370-1,0000]",121.35
273,d_58,"[0,7900-1,0000]",117.69
275,d_21,"[0,9299-1,0000]",117.40
276,d_61,"[0,9703-1,0000]",119.02
276,a_12,"[0,8938-1,0000]",118.05
278,~d_23,"[0,8107-1,0000]",119.17
280,a_13,"[0,9600-1,0000]",118.46
281,d_24,"[0,9854-1,0000]",119.17
281,a_11,"[0,8871-1,0000]",118.69
284,d_25,"[0,9446-1,0000]",118.56
284,a_20,"[0,7013-0,9148]",120.27
286,d_22,"[0,9267-1,0000]",119.74
286,~a_16,"[0,8725-0,9855]",120.60
286,a_17,"[0,1297-0,2332]",124.93
288,~d_31,"[0,9976-1,0000]",117.73
290,d_64,"[0,9999-1,0000]",118.56
292,d_48,"[0,9711-1,0000]",118.71
293,d_43,"[0,9992-1,0000]",118.32
293,~a_17,"[0,7383-0,9331]",127.70
294,d_72,"[0,8845-1,0000]",118.73
294,~a_16,"[0,0020-0,1376]",134.76
295,~d_57,"[0,9625-1,0000]",117.10
296,a_5,"[0,9911-1,0000]",117.83
297,~a_4,"[0,9902-1,0000]",118.46
298,a_19,"[0,7927-0,9914]",119.29
298,a_16,"[0,0927-0,2482]",122.30
299,d_42,"[0,9987-1,0000]",122.03
299,a_14,"[0,8498-1,0000]",121.49
299,~a_16,"[0,0000-0,1845]",130.78
