Prog,Lit,Intervalo,Metric,Time,Mass
0,d_13,"[0,0812-1,0000]",0.1605,367.74,0.1713
0,~a_6,"[0,1273-1,0000]",0.1697,344.24,0.1713
0,~a_8,"[0,0043-0,8770]",0.1697,352.58,0.1713
1,~d_16,"[0,1429-1,0000]",0.1742,20.84,0.1772
2,a_3,"[0,1221-1,0000]",0.1837,42.61,0.1818
2,a_5,"[0,1216-1,0000]",0.1802,42.19,0.1818
3,a_0,"[0,1081-1,0000]",0.1846,172.50,0.1806
3,a_7,"[0,1199-0,9950]",0.1784,173.12,0.1806
3,~a_7,"[0,0050-0,8801]",0.1784,172.98,0.1806
4,a_7,"[0,0441-0,9134]",0.1765,21.75,0.1779
5,~d_9,"[0,1706-1,0000]",0.1805,43.27,0.1807
6,a_6,"[0,1014-1,0000]",0.1891,43.93,0.1844
6,a_8,"[0,0369-0,9389]",0.1897,44.65,0.1844
7,a_0,"[0,1073-1,0000]",0.1980,87.56,0.1986
7,~a_5,"[0,1073-1,0000]",0.1980,88.32,0.1986
8,a_4,"[0,1540-1,0000]",0.1801,177.67,0.1799
9,~a_7,"[0,0652-0,9579]",0.1923,44.63,0.1834
10,a_0,"[0,1711-1,0000]",0.1880,43.20,0.1877
10,a_7,"[0,0465-0,9266]",0.1919,43.97,0.1877
10,a_8,"[0,0000-0,8801]",0.1919,44.06,0.1877
11,a_7,"[0,1472-0,9881]",0.1744,180.32,0.1749
11,a_8,"[0,0353-0,8762]",0.1744,181.11,0.1749
12,a_8,"[0,0597-0,9055]",0.1826,11.71,0.1807
13,a_0,"[0,1020-1,0000]",0.1832,44.64,0.1820
14,a_7,"[0,0314-0,9323]",0.1703,88.49,0.1733
15,~a_0,"[0,1215-1,0000]",0.1749,172.96,0.1750
16,a_4,"[0,1293-1,0000]",0.1911,87.88,0.1901
16,a_8,"[0,0293-0,9000]",0.1911,89.16,0.1901
16,~a_8,"[0,1000-0,9707]",0.1911,88.21,0.1901
17,a_1,"[0,1137-1,0000]",0.1777,176.63,0.1844
17,~a_5,"[0,1045-1,0000]",0.1827,176.65,0.1844
17,~a_8,"[0,0161-0,8555]",0.1843,178.44,0.1844
18,a_7,"[0,0858-0,9916]",0.1768,177.95,0.1785
18,~a_8,"[0,0406-0,9465]",0.1768,177.53,0.1785
21,a_5,"[0,1268-1,0000]",0.1823,176.36,0.1816
21,a_9,"[0,0411-0,9143]",0.1823,178.29,0.1816
22,~d_17,"[0,1839-1,0000]",0.1839,43.79,0.1839
23,d_14,"[0,0889-1,0000]",0.1763,43.76,0.1833
23,~a_7,"[0,0028-0,8339]",0.1836,44.52,0.1833
25,~a_7,"[0,0610-0,9709]",0.1751,21.61,0.1798
26,~a_0,"[0,1288-1,0000]",0.1748,175.48,0.1767
27,a_9,"[0,1595-0,9760]",0.1853,174.33,0.1853
27,~a_8,"[0,0255-0,8446]",0.1853,176.11,0.1853
28,a_3,"[0,1079-1,0000]",0.1694,21.70,0.1790
29,a_7,"[0,1039-0,9451]",0.1796,89.70,0.1793
30,a_1,"[0,1550-1,0000]",0.1844,21.46,0.1852
30,~a_9,"[0,1030-0,9480]",0.1844,21.80,0.1852
30,a_9,"[0,0520-0,8970]",0.1844,21.84,0.1852
33,d_15,"[0,0879-1,0000]",0.1758,5.49,0.1801
33,a_9,"[0,0587-0,9387]",0.1770,5.60,0.1801
33,~a_9,"[0,0613-0,9413]",0.1770,5.62,0.1801
34,a_0,"[0,1199-1,0000]",0.1834,87.10,0.1871
35,d_19,"[0,1030-1,0000]",0.1759,175.31,0.1768
35,a_6,"[0,1570-1,0000]",0.1756,175.08,0.1768
35,a_8,"[0,0841-0,9811]",0.1759,176.57,0.1768
37,~a_6,"[0,1397-1,0000]",0.1787,21.32,0.1778
37,a_7,"[0,0036-0,8476]",0.1786,21.95,0.1778
38,d_17,"[0,1525-1,0000]",0.1837,43.10,0.1822
38,a_7,"[0,0881-0,9840]",0.1845,43.50,0.1822
38,~a_8,"[0,0247-0,9207]",0.1845,43.58,0.1822
39,a_6,"[0,1384-1,0000]",0.1943,86.20,0.1916
39,a_8,"[0,1152-0,9768]",0.1943,87.37,0.1916
40,a_3,"[0,1587-1,0000]",0.1889,86.97,0.1882
41,a_5,"[0,1773-1,0000]",0.1809,704.23,0.1810
41,~a_8,"[0,0498-0,9524]",0.1801,711.58,0.1810
42,d_13,"[0,1367-1,0000]",0.1810,43.15,0.1794
42,a_6,"[0,0917-1,0000]",0.1819,43.47,0.1794
42,a_9,"[0,0450-0,9083]",0.1810,43.27,0.1794
43,d_11,"[0,1362-1,0000]",0.1936,42.61,0.1873
43,a_5,"[0,1169-1,0000]",0.1914,42.93,0.1873
43,~a_7,"[0,0386-0,9176]",0.1891,43.33,0.1873
44,d_10,"[0,1093-1,0000]",0.1767,172.70,0.1775
45,d_10,"[0,1502-1,0000]",0.1766,175.65,0.1775
45,a_5,"[0,1686-1,0000]",0.1774,175.64,0.1775
45,a_8,"[0,0155-0,8469]",0.1774,178.59,0.1775
46,a_7,"[0,1274-1,0000]",0.1821,11.09,0.1815
46,~a_7,"[0,0000-0,8726]",0.1821,10.96,0.1815
48,~d_13,"[0,1102-1,0000]",0.1778,86.42,0.1801
49,d_12,"[0,1304-1,0000]",0.1739,78.38,0.1777
50,d_9,"[0,1428-1,0000]",0.1724,145.27,0.1728
51,~a_0,"[0,1447-1,0000]",0.2035,145.90,0.1923
