Prog,Lit,Exact,Time
116,~d_12,"[0,9462-1,0000]",36.53
116,a_6,"[0,7993-1,0000]",36.57
116,~a_8,"[0,7945-0,9998]",36.57
119,~a_8,"[0,1071-0,2340]",45.27
120,a_4,"[0,9987-1,0000]",54.59
121,d_15,"[0,8711-1,0000]",32.34
121,a_7,"[0,0604-0,0699]",32.97
121,a_8,"[0,0593-0,0675]",32.59
123,~a_8,"[0,8189-0,9999]",58.67
126,~d_13,"[0,9913-1,0000]",29.48
126,a_5,"[0,6884-1,0000]",29.56
126,a_7,"[0,8007-0,8856]",29.90
127,~a_6,"[0,9072-1,0000]",58.80
127,~a_8,"[0,0737-0,2684]",58.85
128,~a_7,"[0,0094-0,1820]",29.42
129,d_10,"[0,9947-1,0000]",62.91
129,a_5,"[0,7381-1,0000]",63.08
129,a_7,"[0,2203-0,2271]",63.59
130,~a_8,"[0,7575-0,7789]",60.47
131,a_8,"[0,8434-1,0000]",18.75
132,d_12,"[0,9993-1,0000]",60.80
133,d_16,"[0,9415-1,0000]",33.48
135,a_9,"[0,0007-0,0798]",64.30
136,~a_2,"[0,9293-1,0000]",60.07
137,~a_4,"[0,9933-1,0000]",49.10
137,a_6,"[0,8830-1,0000]",49.24
137,a_7,"[0,0971-0,2906]",49.94
138,a_2,"[0,9626-1,0000]",44.42
139,a_8,"[1,0000-1,0000]",60.86
140,d_17,"[0,9187-1,0000]",56.99
141,~a_7,"[0,8957-1,0000]",27.15
142,d_18,"[0,8515-1,0000]",61.53
142,~a_7,"[0,0099-0,0171]",62.36
143,d_11,"[0,8928-1,0000]",74.19
143,a_9,"[0,0061-0,1748]",74.69
144,a_3,"[0,9987-1,0000]",56.74
144,a_9,"[0,7770-0,8228]",57.21
145,a_3,"[0,9295-1,0000]",39.67
146,~a_0,"[0,9506-1,0000]",50.38
146,a_5,"[0,8586-1,0000]",50.35
146,a_8,"[0,7194-0,9078]",50.55
148,~d_16,"[0,9560-1,0000]",69.10
149,a_9,"[0,0090-0,0739]",23.78
150,d_16,"[0,9530-1,0000]",41.87
153,a_4,"[0,9033-1,0000]",70.77
153,a_7,"[0,9506-1,0000]",70.77
153,~a_9,"[0,0561-0,1339]",71.98
154,a_7,"[0,0928-0,2587]",64.91
154,~a_7,"[0,7413-0,9072]",64.92
155,~d_18,"[0,7198-1,0000]",47.25
156,a_5,"[0,8487-1,0000]",46.95
156,a_8,"[0,8467-0,9927]",47.05
159,d_13,"[0,9145-1,0000]",60.53
160,a_0,"[0,9983-1,0000]",64.66
161,a_1,"[0,7647-1,0000]",47.90
161,~a_7,"[0,8614-0,9413]",48.21
161,~a_8,"[0,0204-0,1358]",48.25
162,d_9,"[0,7533-1,0000]",42.30
162,~a_5,"[0,7809-1,0000]",42.32
162,~a_8,"[0,0045-0,1573]",42.74
163,~a_4,"[0,9800-1,0000]",31.68
165,~d_18,"[0,9429-1,0000]",54.13
165,~a_8,"[0,1094-0,3272]",54.55
167,d_10,"[0,9997-1,0000]",64.73
169,d_11,"[0,9747-1,0000]",57.00
169,~a_6,"[0,8249-1,0000]",57.25
169,a_8,"[0,8409-0,9740]",57.21
170,d_12,"[0,9962-1,0000]",42.99
170,a_7,"[0,0919-0,1765]",43.01
171,~d_9,"[0,8953-1,0000]",70.71
171,a_7,"[0,8838-0,9999]",71.35
172,~a_4,"[0,9188-1,0000]",60.81
172,~a_8,"[0,0044-0,2806]",61.07
172,a_7,"[0,9131-0,9959]",61.19
175,d_18,"[0,8499-1,0000]",43.64
175,a_5,"[0,8650-1,0000]",43.84
175,~a_8,"[0,0004-0,1914]",43.88
176,d_13,"[1,0000-1,0000]",35.92
177,a_4,"[0,8613-1,0000]",49.75
177,~a_6,"[0,9915-1,0000]",49.89
177,a_8,"[0,7541-1,0000]",49.90
179,a_7,"[0,0047-0,1737]",58.16
180,~d_10,"[0,9295-1,0000]",57.83
180,~a_8,"[0,8200-0,9994]",58.49
181,~a_2,"[0,9177-1,0000]",35.13
182,a_1,"[0,9413-1,0000]",52.44
182,a_7,"[0,6253-0,9995]",52.69
183,d_12,"[0,8749-1,0000]",39.99
184,a_8,"[0,9289-1,0000]",8.61
186,a_8,"[0,0689-0,2004]",55.04
186,a_7,"[0,2318-0,2666]",55.78
187,d_14,"[0,9337-1,0000]",36.25
189,d_14,"[0,9997-1,0000]",60.10
191,d_12,"[1,0000-1,0000]",49.35
191,a_5,"[0,8776-1,0000]",49.29
191,~a_7,"[0,9336-0,9414]",49.90
192,a_3,"[0,9405-1,0000]",64.36
193,~a_7,"[0,0683-0,3065]",49.58
194,d_12,"[0,8886-1,0000]",38.79
194,~a_8,"[0,0001-0,3205]",39.14
195,~d_12,"[0,9607-1,0000]",49.64
195,a_7,"[0,0673-0,2080]",50.29
198,~a_5,"[0,7690-1,0000]",48.29
198,a_8,"[0,0212-0,2512]",48.51
199,d_15,"[0,8298-1,0000]",48.74
200,d_17,"[0,8799-1,0000]",67.65
201,d_20,"[0,8619-1,0000]",60.63
202,a_3,"[0,9938-1,0000]",14.22
204,a_4,"[0,9931-1,0000]",68.83
204,a_6,"[0,6211-1,0000]",68.88
205,a_8,"[0,9589-1,0000]",63.09
205,a_9,"[0,8840-0,9643]",64.50
206,a_1,"[0,9980-1,0000]",42.36
206,a_8,"[0,9417-0,9947]",42.86
208,a_7,"[0,9502-0,9618]",41.48
208,~a_8,"[0,9057-0,9728]",41.35
210,d_18,"[0,9947-1,0000]",46.94
211,a_4,"[0,9827-1,0000]",51.01
211,~a_9,"[0,1213-0,2600]",51.48
212,a_2,"[0,9835-1,0000]",38.54
212,a_8,"[0,8654-0,9360]",38.71
213,~d_9,"[0,9201-1,0000]",53.99
