Prog,Lit,Exact,Time
129,~a_13,"[0,9100-1,0000]",138.76
130,a_10,"[0,8944-1,0000]",141.20
130,~a_19,"[0,9758-0,9998]",154.07
131,a_5,"[1,0000-1,0000]",140.16
131,a_11,"[0,6787-1,0000]",140.12
131,a_17,"[0,6436-0,9351]",177.79
133,d_21,"[0,8431-1,0000]",141.20
133,a_19,"[0,8839-0,9339]",159.14
135,~a_10,"[0,8670-1,0000]",139.14
137,~a_6,"[1,0000-1,0000]",140.34
138,~d_31,"[1,0000-1,0000]",144.15
139,~d_51,"[0,9323-1,0000]",144.93
141,d_52,"[0,9500-1,0000]",145.13
141,a_16,"[0,8120-0,9554]",185.90
143,~d_38,"[0,9900-1,0000]",71.01
144,a_12,"[0,9900-1,0000]",141.59
146,a_10,"[0,8298-1,0000]",143.42
146,a_15,"[0,8298-1,0000]",160.97
148,d_31,"[0,9600-1,0000]",141.99
150,a_5,"[0,9459-1,0000]",137.32
150,a_15,"[0,9296-0,9896]",157.84
151,~d_48,"[0,9588-1,0000]",142.23
152,d_46,"[0,9264-1,0000]",142.99
152,a_19,"[0,0000-0,2248]",162.12
154,d_74,"[0,8854-1,0000]",139.01
155,d_27,"[0,9066-1,0000]",140.80
155,~a_14,"[0,9500-1,0000]",140.56
155,~a_15,"[0,8451-0,9340]",147.80
156,d_66,"[0,7707-1,0000]",139.34
158,a_12,"[0,9114-1,0000]",135.80
159,d_69,"[0,9983-1,0000]",138.66
161,d_68,"[0,7832-1,0000]",140.78
162,d_59,"[0,9300-1,0000]",141.16
163,~a_15,"[0,8861-0,9740]",159.31
164,a_14,"[0,9173-1,0000]",140.20
164,a_16,"[0,8884-0,9405]",144.45
166,d_36,"[0,9800-1,0000]",138.20
166,a_15,"[0,9027-0,9990]",153.46
166,a_17,"[0,9902-0,9999]",155.77
167,a_12,"[0,7514-1,0000]",138.35
168,~d_43,"[0,8437-1,0000]",137.53
168,a_16,"[0,8863-0,9999]",160.65
169,a_3,"[0,8324-1,0000]",135.40
171,~d_57,"[0,8800-1,0000]",140.01
173,a_12,"[0,7659-1,0000]",141.62
174,d_47,"[0,9775-1,0000]",138.76
174,~a_17,"[0,0000-0,1267]",139.68
175,~d_43,"[0,9100-1,0000]",140.72
175,a_19,"[0,7430-0,9574]",150.23
176,d_29,"[0,9900-1,0000]",137.70
177,~d_48,"[0,9000-1,0000]",35.09
179,d_76,"[0,9700-1,0000]",137.18
181,d_57,"[0,9005-1,0000]",135.10
181,~a_19,"[0,7982-0,9120]",157.50
182,~d_30,"[0,8179-1,0000]",138.47
182,~a_18,"[0,9409-0,9830]",145.48
182,a_19,"[0,8102-0,9640]",147.34
183,~d_59,"[0,9400-1,0000]",135.42
184,a_18,"[0,8243-0,9919]",180.56
186,a_10,"[0,8682-1,0000]",140.52
186,a_19,"[0,1642-0,2961]",180.15
187,a_18,"[0,0001-0,2074]",156.19
187,~a_16,"[0,0244-0,1236]",151.58
189,~a_11,"[0,8872-1,0000]",137.29
190,~d_24,"[0,9700-1,0000]",136.60
193,a_14,"[0,9968-1,0000]",137.35
194,a_18,"[0,8248-0,8875]",141.13
195,~a_17,"[0,7573-0,9347]",194.13
196,d_36,"[0,9882-1,0000]",139.55
197,d_67,"[0,9200-1,0000]",135.08
198,d_48,"[0,9400-1,0000]",137.01
199,~a_17,"[0,7669-0,9947]",143.21
200,a_13,"[0,7855-1,0000]",140.21
200,~a_17,"[0,0096-0,2507]",146.14
202,d_24,"[0,9757-1,0000]",69.87
203,a_18,"[0,9131-1,0000]",74.17
204,~a_15,"[0,8473-0,9817]",140.29
206,d_26,"[1,0000-1,0000]",140.08
206,a_19,"[0,0218-0,1297]",144.93
206,a_17,"[0,8239-0,8939]",154.45
207,a_17,"[0,0684-0,3205]",150.69
209,~a_15,"[0,8603-0,9268]",146.12
210,~a_10,"[0,9328-1,0000]",139.21
210,~a_17,"[0,1520-0,3174]",154.85
212,d_23,"[0,8840-1,0000]",139.87
212,a_15,"[0,0000-0,1085]",170.82
212,~a_18,"[0,1216-0,1754]",167.07
214,a_18,"[0,8033-0,8940]",39.98
215,d_26,"[1,0000-1,0000]",140.99
219,d_33,"[1,0000-1,0000]",137.70
219,~a_17,"[0,0000-0,1590]",158.16
221,d_52,"[0,8817-1,0000]",138.83
221,a_15,"[0,0261-0,1582]",143.57
222,d_34,"[0,8498-1,0000]",135.20
222,a_10,"[0,8940-1,0000]",135.46
222,~a_19,"[0,7261-0,8321]",144.73
224,a_7,"[0,9900-1,0000]",140.52
224,~a_16,"[0,0645-0,1459]",146.11
225,d_46,"[0,9287-1,0000]",139.85
225,a_15,"[0,1204-0,1767]",165.70
226,d_61,"[0,9788-1,0000]",140.93
226,a_11,"[0,9394-1,0000]",140.79
226,a_20,"[0,9653-1,0000]",151.73
227,d_54,"[0,9700-1,0000]",138.29
228,~d_60,"[0,9900-1,0000]",136.81
228,a_11,"[0,7826-1,0000]",136.69
230,~a_13,"[0,9595-1,0000]",140.88
230,a_19,"[0,0202-0,0202]",169.53
231,d_59,"[0,9040-1,0000]",136.71
232,d_54,"[0,9536-1,0000]",136.52
232,a_15,"[0,7957-1,0000]",136.51
232,a_18,"[0,8230-0,8755]",155.66
233,a_13,"[0,8628-1,0000]",135.85
234,~a_18,"[0,9900-1,0000]",138.23
235,d_62,"[0,9900-1,0000]",139.43
235,a_16,"[0,1122-0,1578]",145.06
235,~a_16,"[0,8422-0,8878]",147.62
236,d_54,"[0,8275-1,0000]",137.89
238,d_35,"[0,9800-1,0000]",137.46
238,~a_13,"[1,0000-1,0000]",137.33
239,a_12,"[0,9104-1,0000]",35.16
239,a_18,"[0,7091-0,7987]",39.05
241,d_29,"[1,0000-1,0000]",141.14
242,~a_15,"[0,0924-0,2500]",158.33
244,d_46,"[0,9800-1,0000]",140.82
244,a_18,"[0,9378-0,9778]",164.04
245,a_15,"[0,8473-1,0000]",138.20
245,a_17,"[0,7747-0,9992]",150.12
247,~d_53,"[0,8680-1,0000]",70.16
248,d_52,"[0,9900-1,0000]",138.47
250,d_21,"[0,9112-1,0000]",140.71
251,~d_42,"[0,9770-1,0000]",138.28
251,a_16,"[0,0363-0,0667]",148.02
252,~d_62,"[0,8704-1,0000]",137.50
254,a_19,"[0,9213-1,0000]",144.56
255,d_65,"[0,9500-1,0000]",140.73
256,d_74,"[0,9698-1,0000]",139.06
256,a_20,"[0,8257-0,9786]",142.14
258,a_19,"[0,9078-1,0000]",140.16
258,~a_19,"[0,0000-0,0922]",143.72
263,a_18,"[0,8063-1,0000]",204.36
264,d_38,"[0,9700-1,0000]",138.85
264,~a_15,"[0,0828-0,1359]",157.75
265,d_37,"[0,9647-1,0000]",137.81
265,~a_14,"[0,8588-1,0000]",138.13
266,~a_15,"[0,7716-0,8561]",143.70
266,a_18,"[0,1297-0,2844]",148.75
267,a_18,"[0,7894-0,8722]",151.95
268,d_32,"[1,0000-1,0000]",134.09
269,~d_21,"[0,9744-1,0000]",134.59
273,~a_9,"[0,8553-1,0000]",137.74
274,d_30,"[0,8469-1,0000]",141.17
274,~a_17,"[0,8469-1,0000]",206.86
275,a_13,"[0,9148-1,0000]",135.92
278,d_54,"[0,8979-1,0000]",141.67
278,a_14,"[0,9225-1,0000]",141.92
278,~a_18,"[0,0001-0,1162]",167.92
280,a_5,"[0,9200-1,0000]",141.94
280,a_11,"[0,6950-1,0000]",141.92
281,d_38,"[0,9900-1,0000]",137.83
281,a_17,"[0,2547-0,3499]",146.52
281,~a_16,"[0,0000-0,0795]",192.61
283,d_63,"[0,9148-1,0000]",140.89
284,a_12,"[0,8495-1,0000]",138.20
285,d_57,"[0,9051-1,0000]",139.72
286,a_6,"[0,8760-1,0000]",140.31
286,~a_15,"[0,8370-0,9687]",162.42
287,a_18,"[0,7229-0,9951]",150.01
288,a_15,"[0,7842-0,8736]",142.86
290,a_18,"[0,8831-1,0000]",140.05
290,~a_15,"[0,0001-0,2179]",146.78
290,a_15,"[0,7821-0,9999]",147.22
291,d_52,"[0,9001-1,0000]",146.71
291,a_16,"[0,8621-0,9630]",151.91
291,a_17,"[0,8233-0,9939]",156.07
292,d_57,"[0,9300-1,0000]",145.45
292,~a_20,"[0,0282-0,1040]",190.80
293,~d_24,"[0,9538-1,0000]",143.59
294,d_25,"[0,9528-1,0000]",145.71
295,~d_69,"[0,8307-1,0000]",140.75
296,~a_3,"[0,9137-1,0000]",70.57
296,a_18,"[0,9466-0,9975]",84.88
298,a_10,"[0,8729-1,0000]",143.79
298,~a_18,"[0,0682-0,2512]",163.30
299,d_63,"[0,9100-1,0000]",145.92
