Prog,Lit,Intervalo,Metric,Time,Mass
0,d_13,"[0,2415-1,0000]",0.4776,72.65,0.4423
0,~a_6,"[0,3512-1,0000]",0.4682,72.32,0.4423
0,~a_8,"[0,0078-0,6697]",0.4506,74.85,0.4423
1,~d_16,"[0,1313-1,0000]",0.1601,4.26,0.2013
2,a_3,"[0,0025-1,0000]",0.0038,9.10,0.1238
2,a_5,"[0,0994-1,0000]",0.1474,9.23,0.1238
3,a_0,"[0,3261-1,0000]",0.5568,36.97,0.3261
3,a_7,"[0,1969-0,9917]",0.2931,37.13,0.3261
3,~a_7,"[0,0083-0,8031]",0.2931,37.15,0.3261
4,a_7,"[0,1447-0,9631]",0.2454,4.51,0.1877
5,~d_9,"[0,0691-1,0000]",0.0731,8.69,0.0722
6,a_6,"[0,1436-1,0000]",0.2678,9.68,0.2726
6,a_8,"[0,0403-0,8991]",0.2733,9.93,0.2726
7,a_0,"[0,0794-1,0000]",0.1466,18.93,0.1285
7,~a_5,"[0,0792-1,0000]",0.1463,18.97,0.1285
8,a_4,"[0,0000-1,0000]",0.0000,35.00,0.0000
9,~a_7,"[0,0620-0,9592]",0.1842,9.27,0.1567
10,a_0,"[0,3166-1,0000]",0.3479,8.80,0.3166
10,a_7,"[0,0373-0,8061]",0.3701,8.97,0.3166
10,a_8,"[0,0052-0,7741]",0.3701,8.99,0.3166
11,a_7,"[0,0206-0,9924]",0.0309,36.16,0.0298
11,a_8,"[0,0051-0,9770]",0.0309,36.09,0.0298
12,a_8,"[0,0479-0,8848]",0.1931,1.96,0.1753
13,a_0,"[0,0765-1,0000]",0.1374,8.87,0.1246
14,a_7,"[0,0527-0,6298]",0.7265,18.08,0.5817
15,~a_0,"[0,2423-1,0000]",0.3486,35.07,0.2423
16,a_4,"[0,0999-1,0000]",0.1476,18.45,0.1302
16,a_8,"[0,0299-0,9300]",0.1476,18.70,0.1302
16,~a_8,"[0,0700-0,9701]",0.1476,18.77,0.1302
17,a_1,"[0,1124-1,0000]",0.1757,34.78,0.2021
17,~a_5,"[0,2021-1,0000]",0.3533,34.96,0.2021
17,~a_8,"[0,0015-0,8230]",0.2049,35.83,0.2021
18,a_7,"[0,0847-0,9944]",0.1695,35.86,0.2243
18,~a_8,"[0,0374-0,9472]",0.1695,36.05,0.2243
21,a_5,"[0,0883-1,0000]",0.1270,36.09,0.1373
21,a_9,"[0,0412-0,9529]",0.1270,36.49,0.1373
22,~d_17,"[0,0000-1,0000]",0.0000,9.75,0.0000
23,d_14,"[0,0296-1,0000]",0.0588,8.77,0.1054
23,~a_7,"[0,0026-0,9085]",0.1023,8.95,0.1054
25,~a_7,"[0,2121-0,9515]",0.5067,4.89,0.2606
26,~a_0,"[0,3193-1,0000]",0.4333,34.38,0.3193
27,a_9,"[0,1762-0,9753]",0.2030,33.73,0.2034
27,~a_8,"[0,0250-0,8277]",0.2022,34.55,0.2034
28,a_3,"[0,1503-1,0000]",0.2359,4.10,0.2439
29,a_7,"[0,1607-0,8605]",0.3394,18.09,0.3002
30,a_1,"[0,2513-1,0000]",0.2988,4.55,0.2760
30,~a_9,"[0,1432-0,8919]",0.2988,4.66,0.2760
30,a_9,"[0,1081-0,8568]",0.2988,4.62,0.2760
33,d_15,"[0,2703-1,0000]",0.5403,1.35,0.3208
33,a_9,"[0,2575-0,9367]",0.4732,1.44,0.3208
33,~a_9,"[0,0633-0,7425]",0.4732,1.41,0.3208
34,a_0,"[0,0675-1,0000]",0.1032,18.72,0.0900
35,d_19,"[0,0353-1,0000]",0.0602,34.71,0.1501
35,a_6,"[0,1384-1,0000]",0.1548,34.46,0.1501
35,a_8,"[0,0124-0,9772]",0.0602,35.16,0.1501
37,~a_6,"[0,4295-1,0000]",0.5494,4.43,0.4295
37,a_7,"[0,0004-0,6066]",0.4508,4.53,0.4295
38,d_17,"[0,0188-1,0000]",0.0227,8.30,0.0493
38,a_7,"[0,0116-0,9821]",0.0524,8.37,0.0493
38,~a_8,"[0,0058-0,9763]",0.0524,8.34,0.0493
39,a_6,"[0,0855-1,0000]",0.1201,16.25,0.1697
39,a_8,"[0,0777-0,9922]",0.1201,16.66,0.1697
40,a_3,"[0,0598-1,0000]",0.0711,16.55,0.0746
41,a_5,"[0,6012-1,0000]",0.6135,164.63,0.6069
41,~a_8,"[0,1870-0,8984]",0.5340,168.56,0.6069
42,d_13,"[0,2308-1,0000]",0.3056,7.50,0.2308
42,a_6,"[0,1610-1,0000]",0.3194,7.66,0.2308
42,a_9,"[0,0697-0,8390]",0.3056,7.62,0.2308
43,d_11,"[0,0118-1,0000]",0.0167,8.16,0.0194
43,a_5,"[0,0098-1,0000]",0.0161,8.19,0.0194
43,~a_7,"[0,0051-0,9943]",0.0169,8.29,0.0194
44,d_10,"[0,1080-1,0000]",0.1744,31.34,0.1718
45,d_10,"[0,1126-1,0000]",0.1324,33.12,0.1715
45,a_5,"[0,1580-1,0000]",0.1663,33.10,0.1715
45,a_8,"[0,0444-0,8880]",0.1646,33.60,0.1715
46,a_7,"[0,1202-1,0000]",0.1717,2.24,0.2310
46,~a_7,"[0,0000-0,8798]",0.1717,2.48,0.2310
48,~d_13,"[0,0242-1,0000]",0.0391,15.38,0.0342
49,d_12,"[0,0825-1,0000]",0.1100,16.18,0.1039
50,d_9,"[0,0469-1,0000]",0.0566,35.62,0.0635
51,~a_0,"[0,0937-1,0000]",0.1319,32.73,0.1840
51,~a_7,"[0,0696-0,9825]",0.1161,33.27,0.1840
51,~a_8,"[0,1699-0,9859]",0.2229,33.63,0.1840
52,~a_9,"[0,0014-0,9991]",0.0031,4.32,0.0035
53,d_16,"[0,0140-1,0000]",0.0223,3.88,0.0185
53,a_9,"[0,0114-0,9988]",0.0182,3.89,0.0185
53,a_7,"[0,0012-0,9862]",0.0166,3.90,0.0185
54,a_1,"[0,1416-1,0000]",0.1506,5.18,0.1780
54,a_7,"[0,1757-1,0000]",0.2778,5.00,0.1780
54,a_8,"[0,1757-1,0000]",0.2778,5.13,0.1780
56,a_5,"[0,2527-1,0000]",0.3175,15.82,0.2527
56,~a_7,"[0,0408-0,7881]",0.3175,16.60,0.2527
57,~d_17,"[0,1247-1,0000]",0.1539,32.87,0.1567
57,a_7,"[0,0631-0,9315]",0.1779,33.46,0.1567
57,~a_7,"[0,0685-0,9369]",0.1779,33.38,0.1567
58,d_15,"[0,0437-1,0000]",0.0572,29.66,0.0483
59,d_12,"[0,1071-1,0000]",0.1137,7.22,0.1105
60,~a_6,"[0,1665-1,0000]",0.2748,33.13,0.2267
60,~a_8,"[0,1196-0,8929]",0.4412,35.15,0.2267
61,a_8,"[0,1133-0,9990]",0.1229,34.59,0.1233
63,d_17,"[0,0898-1,0000]",0.0945,15.62,0.0965
65,~d_16,"[0,4595-1,0000]",0.7154,8.12,0.5287
65,~a_8,"[0,3103-0,9283]",0.7547,8.58,0.5287
67,a_3,"[0,2630-1,0000]",0.4990,16.83,0.3520
67,~a_6,"[0,3520-1,0000]",0.4455,16.79,0.3520
67,~a_8,"[0,0065-0,7322]",0.4354,17.34,0.3520
68,~a_3,"[0,1930-1,0000]",0.3620,16.04,0.3534
69,d_20,"[0,1392-1,0000]",0.2186,61.81,0.2370
69,~a_10,"[0,0689-0,9091]",0.2255,62.23,0.2370
71,~a_6,"[0,4679-1,0000]",0.4849,4.10,0.4679
71,a_7,"[0,3030-0,8351]",0.4849,4.10,0.4679
72,~a_8,"[0,0072-0,9446]",0.0813,35.95,0.0859
73,~d_14,"[0,0394-1,0000]",0.0640,0.94,0.1646
75,a_3,"[0,0492-1,0000]",0.0883,14.63,0.2267
75,a_6,"[0,0492-1,0000]",0.0883,14.76,0.2267
75,~a_7,"[0,0606-0,8441]",0.2304,15.18,0.2267
76,~d_10,"[0,3047-1,0000]",0.3716,63.91,0.4011
77,a_3,"[0,0325-1,0000]",0.0528,26.42,0.0580
77,a_9,"[0,0319-0,9995]",0.0528,27.27,0.0580
78,d_10,"[0,1666-1,0000]",0.2163,6.55,0.2595
78,a_8,"[0,0885-0,8554]",0.3067,6.79,0.2595
79,d_12,"[0,0983-1,0000]",0.1104,64.08,0.1131
79,~a_8,"[0,0423-0,9656]",0.1050,64.83,0.1131
79,a_8,"[0,0344-0,9577]",0.1050,64.65,0.1131
80,~a_2,"[0,1380-1,0000]",0.1944,6.55,0.1745
80,~a_7,"[0,0174-0,9050]",0.1391,6.72,0.1745
80,a_7,"[0,0950-0,9826]",0.1391,6.63,0.1745
81,a_7,"[0,5241-1,0000]",0.5722,26.23,0.5435
81,~a_7,"[0,0000-0,4759]",0.5722,26.38,0.5435
82,~d_18,"[0,0932-1,0000]",0.1672,6.24,0.1500
83,~a_4,"[0,1743-1,0000]",0.1743,3.26,0.1744
