Prog,Lit,Intervalo,Metric,Time,Mass
0,d_13,"[0,4731-1,0000]",0.9355,772.10,0.9297
0,~a_6,"[0,7043-1,0000]",0.9388,772.69,0.9297
0,~a_8,"[0,0187-0,3144]",0.9388,777.36,0.9297
1,~d_16,"[0,7500-1,0000]",0.9146,63.60,0.8964
2,a_3,"[0,5968-1,0000]",0.8975,119.38,0.8716
2,a_5,"[0,6060-1,0000]",0.8985,119.30,0.8716
3,a_0,"[0,5399-1,0000]",0.9217,420.69,0.9193
3,a_7,"[0,6297-0,9790]",0.9295,421.91,0.9193
3,~a_7,"[0,0210-0,3703]",0.9295,423.14,0.9193
4,a_7,"[0,2389-0,5387]",0.9462,60.91,0.9375
5,~d_9,"[0,8761-1,0000]",0.9270,124.88,0.9137
6,a_6,"[0,4878-1,0000]",0.9100,124.09,0.9034
6,a_8,"[0,1702-0,6978]",0.9144,124.74,0.9034
7,a_0,"[0,5085-1,0000]",0.9387,235.84,0.9384
7,~a_5,"[0,5085-1,0000]",0.9387,235.60,0.9384
8,a_4,"[0,8044-1,0000]",0.9407,248.66,0.9287
9,~a_7,"[0,2792-0,7695]",0.9131,121.81,0.9061
10,a_0,"[0,8808-1,0000]",0.9679,65.10,0.9597
10,a_7,"[0,2436-0,6419]",0.9634,65.44,0.9597
10,a_8,"[0,0000-0,3983]",0.9634,65.67,0.9597
11,a_7,"[0,8119-0,9528]",0.9418,460.42,0.9274
11,a_8,"[0,1790-0,3199]",0.9418,461.24,0.9274
12,a_8,"[0,2991-0,5064]",0.9386,32.18,0.9277
13,a_0,"[0,4945-1,0000]",0.8880,127.81,0.8836
14,a_7,"[0,1717-0,6337]",0.9242,201.87,0.9210
15,~a_0,"[0,6390-1,0000]",0.9196,492.40,0.8998
16,a_4,"[0,6294-1,0000]",0.9298,248.40,0.9140
16,a_8,"[0,1418-0,5125]",0.9298,249.94,0.9140
16,~a_8,"[0,4875-0,8582]",0.9298,249.86,0.9140
17,a_1,"[0,6028-1,0000]",0.9419,443.97,0.9275
17,~a_5,"[0,5245-1,0000]",0.9171,445.43,0.9275
17,~a_8,"[0,0811-0,2616]",0.9404,447.88,0.9275
18,a_7,"[0,4408-0,9562]",0.9103,437.93,0.9132
18,~a_8,"[0,1980-0,7134]",0.9103,437.44,0.9132
21,a_5,"[0,6477-1,0000]",0.9312,419.36,0.9218
21,a_9,"[0,2107-0,5630]",0.9312,421.15,0.9218
22,~d_17,"[0,9469-1,0000]",0.9469,55.44,0.9469
23,d_14,"[0,4620-1,0000]",0.9161,125.12,0.9204
23,~a_7,"[0,0122-0,1524]",0.9345,126.19,0.9204
25,~a_7,"[0,3155-0,8570]",0.8913,63.22,0.8993
26,~a_0,"[0,6891-1,0000]",0.9352,388.85,0.9147
27,a_9,"[0,7942-0,8839]",0.9194,370.45,0.9144
27,~a_8,"[0,1165-0,2175]",0.9210,370.88,0.9144
28,a_3,"[0,6052-1,0000]",0.9501,59.72,0.9383
29,a_7,"[0,5357-0,7237]",0.9180,233.95,0.9004
30,a_1,"[0,7751-1,0000]",0.9217,62.34,0.8948
30,~a_9,"[0,5214-0,7464]",0.9217,62.34,0.8948
