Prog,Lit,Exact,Time
110,~a_19,"[0,9422-0,9930]",105.51
111,a_11,"[0,8334-1,0000]",94.07
111,a_17,"[0,8382-0,9918]",98.85
112,~d_35,"[0,8716-1,0000]",89.32
113,~d_60,"[0,8566-1,0000]",45.03
114,d_40,"[0,9392-1,0000]",89.11
114,a_12,"[0,9100-1,0000]",89.32
114,~a_17,"[0,8528-0,9974]",96.22
117,~d_29,"[0,9761-1,0000]",89.03
117,a_18,"[0,9394-1,0000]",90.28
118,a_9,"[0,9300-1,0000]",87.93
121,a_19,"[0,0676-0,1740]",48.33
123,a_1,"[0,8472-1,0000]",90.21
123,a_20,"[0,9765-1,0000]",90.35
125,~d_35,"[0,9700-1,0000]",88.05
125,a_10,"[0,8255-1,0000]",88.30
125,a_17,"[0,0413-0,2896]",97.47
126,~d_49,"[0,8948-1,0000]",88.99
126,a_18,"[0,9007-0,9007]",112.76
127,d_39,"[0,9300-1,0000]",88.65
128,d_21,"[0,8664-1,0000]",90.13
128,~a_16,"[0,8801-0,8902]",97.28
129,d_30,"[1,0000-1,0000]",89.02
129,a_10,"[0,8672-1,0000]",89.10
130,a_4,"[0,8973-1,0000]",44.47
130,a_14,"[0,9061-0,9895]",50.83
130,a_17,"[0,9024-0,9858]",50.62
131,d_54,"[0,8559-1,0000]",88.58
131,a_14,"[0,9240-0,9954]",90.70
131,~a_14,"[0,0046-0,0760]",92.54
132,~d_25,"[0,9800-1,0000]",44.42
132,a_15,"[0,1173-0,3282]",50.39
133,~d_42,"[0,9000-1,0000]",88.93
133,a_14,"[0,8640-0,9727]",116.67
134,d_49,"[0,9116-1,0000]",88.25
135,a_11,"[0,9771-1,0000]",44.36
135,a_16,"[0,8081-0,8681]",50.55
136,d_22,"[0,8549-1,0000]",88.82
136,~a_10,"[0,9572-1,0000]",88.92
136,~a_19,"[0,0315-0,0850]",95.18
137,d_60,"[0,9596-1,0000]",88.33
138,~d_23,"[1,0000-1,0000]",22.36
138,a_11,"[0,9000-1,0000]",22.37
139,d_41,"[0,8791-1,0000]",88.68
139,a_13,"[0,9618-1,0000]",88.72
140,a_14,"[0,9905-1,0000]",94.89
142,d_33,"[0,9596-1,0000]",90.57
142,a_13,"[0,9596-1,0000]",90.69
143,d_36,"[0,8938-1,0000]",90.82
143,~a_14,"[0,7527-0,9426]",96.50
145,a_17,"[0,8951-1,0000]",56.01
146,~d_61,"[0,8660-1,0000]",91.60
147,a_13,"[0,9304-1,0000]",89.17
147,a_17,"[0,0593-0,2467]",96.61
148,~a_10,"[1,0000-1,0000]",89.00
149,d_24,"[1,0000-1,0000]",44.37
150,d_18,"[1,0000-1,0000]",89.18
150,~a_14,"[0,0884-0,2257]",98.10
150,~a_17,"[0,0023-0,1395]",109.41
151,d_20,"[0,7760-1,0000]",89.54
152,~a_7,"[1,0000-1,0000]",89.43
152,~a_16,"[0,8065-0,9000]",93.78
152,a_14,"[0,1047-0,1447]",98.96
154,d_22,"[0,9100-1,0000]",45.35
155,d_50,"[0,9400-1,0000]",90.80
156,~d_59,"[0,9095-1,0000]",89.62
157,~a_13,"[1,0000-1,0000]",89.84
158,~d_31,"[1,0000-1,0000]",89.24
158,~a_15,"[0,9270-0,9970]",93.94
158,~a_14,"[0,7716-0,7716]",137.32
159,~a_16,"[0,9004-0,9004]",136.37
163,a_10,"[0,8646-1,0000]",91.75
163,a_17,"[0,8646-0,9542]",93.60
164,d_45,"[0,9900-1,0000]",89.75
166,a_14,"[0,7329-0,9974]",112.10
168,d_52,"[0,7899-1,0000]",89.09
169,~d_46,"[1,0000-1,0000]",89.67
169,a_17,"[0,8623-0,9955]",103.09
169,a_16,"[0,8648-1,0000]",94.63
170,a_11,"[0,8094-1,0000]",91.05
170,a_16,"[0,1270-0,1870]",114.90
172,d_33,"[0,9313-1,0000]",44.86
173,d_30,"[0,9600-1,0000]",45.41
173,a_15,"[0,8109-0,9661]",48.73
173,~a_16,"[0,0239-0,0239]",57.34
176,d_61,"[0,8451-1,0000]",45.36
178,a_7,"[0,8296-1,0000]",91.25
180,d_35,"[0,9598-1,0000]",89.20
180,a_14,"[0,8608-0,9999]",96.69
181,a_9,"[0,9809-1,0000]",44.12
181,a_12,"[0,8872-1,0000]",44.19
181,a_14,"[0,8680-0,9745]",47.87
182,~d_43,"[0,8644-1,0000]",89.18
183,d_33,"[0,9100-1,0000]",89.42
184,d_25,"[0,9236-1,0000]",89.80
184,a_14,"[0,8836-0,9979]",112.28
186,a_16,"[0,8665-1,0000]",89.08
186,~a_14,"[0,8425-0,9331]",89.66
187,~a_10,"[0,7902-1,0000]",87.90
187,a_18,"[0,8455-1,0000]",89.92
188,d_20,"[0,8978-1,0000]",88.58
188,a_14,"[0,9544-0,9544]",93.01
189,~a_11,"[0,9200-1,0000]",87.86
189,~a_14,"[0,0004-0,0004]",130.39
190,a_17,"[0,8362-0,9990]",115.07
191,a_16,"[0,1955-0,2217]",45.49
192,d_28,"[0,9008-1,0000]",88.54
194,a_7,"[0,9300-1,0000]",89.79
194,a_13,"[0,9444-1,0000]",89.91
195,d_57,"[0,9126-1,0000]",44.22
197,a_12,"[0,9300-1,0000]",44.04
198,~a_14,"[0,9180-0,9999]",92.38
199,~a_9,"[0,9100-1,0000]",88.81
200,a_16,"[0,8515-0,9538]",101.86
201,d_54,"[0,9688-1,0000]",88.84
202,~d_43,"[0,9703-1,0000]",88.57
203,~d_27,"[0,9900-1,0000]",88.95
203,a_10,"[1,0000-1,0000]",89.00
204,d_50,"[1,0000-1,0000]",88.52
205,d_20,"[1,0000-1,0000]",22.57
205,a_15,"[0,8921-0,9321]",26.45
206,~a_18,"[0,6871-0,9231]",97.35
207,d_59,"[1,0000-1,0000]",90.81
207,a_17,"[0,8732-0,9532]",99.19
207,~a_16,"[0,0078-0,0876]",99.88
208,d_30,"[1,0000-1,0000]",45.30
208,~a_17,"[0,9075-0,9950]",49.49
209,d_51,"[0,9100-1,0000]",45.43
210,d_46,"[0,9600-1,0000]",91.32
210,a_13,"[0,8543-1,0000]",91.55
211,d_18,"[0,7806-1,0000]",90.64
211,a_14,"[0,0080-0,2455]",107.12
212,~d_56,"[0,9400-1,0000]",90.63
212,a_13,"[0,9116-1,0000]",90.82
212,a_17,"[0,8569-1,0000]",101.08
213,~d_59,"[0,9109-1,0000]",45.49
213,a_15,"[0,1252-0,1552]",54.09
215,~d_20,"[0,9000-1,0000]",90.72
215,a_14,"[0,9203-1,0000]",132.09
217,d_53,"[0,9751-1,0000]",44.73
218,~a_9,"[0,9573-1,0000]",88.78
218,a_14,"[0,0052-0,0479]",107.90
219,d_64,"[0,9800-1,0000]",87.95
219,a_12,"[0,9800-1,0000]",88.30
219,~a_15,"[0,1749-0,1949]",101.03
220,d_24,"[0,6925-1,0000]",88.20
220,~a_13,"[1,0000-1,0000]",88.42
220,~a_14,"[0,0073-0,0573]",114.18
221,d_61,"[0,9100-1,0000]",44.30
221,a_14,"[0,8459-0,9996]",53.32
224,a_11,"[0,9818-1,0000]",44.51
224,~a_16,"[0,0000-0,0393]",65.41
225,~a_14,"[0,0652-0,0852]",104.96
226,~a_17,"[0,9677-0,9968]",100.35
227,d_26,"[0,9800-1,0000]",44.32
227,a_13,"[0,8863-1,0000]",45.80
227,a_14,"[0,8644-0,9044]",52.40
229,d_25,"[0,9700-1,0000]",88.96
229,a_15,"[0,8400-0,9992]",104.34
231,d_45,"[0,9700-1,0000]",88.49
231,~a_13,"[0,9700-1,0000]",88.83
231,~a_15,"[0,2036-0,2336]",99.56
232,a_8,"[0,9259-1,0000]",88.76
233,a_1,"[0,9288-1,0000]",88.17
233,a_12,"[0,8719-1,0000]",92.20
234,a_16,"[0,7576-0,7776]",46.03
234,a_18,"[0,8064-0,8351]",46.74
236,~d_42,"[0,9500-1,0000]",87.98
237,a_13,"[0,8406-1,0000]",88.46
237,a_17,"[0,8253-0,9991]",97.01
238,~a_11,"[0,8848-1,0000]",88.39
238,~a_14,"[0,1064-0,2534]",95.74
239,~d_59,"[0,9100-1,0000]",88.81
239,~a_12,"[1,0000-1,0000]",89.00
239,a_14,"[0,0814-0,0814]",117.18
242,a_10,"[0,8872-1,0000]",89.15
244,~d_58,"[0,8863-1,0000]",88.75
244,a_10,"[0,9971-1,0000]",94.58
244,a_17,"[0,8894-0,9314]",153.70
245,d_32,"[0,9206-1,0000]",44.50
246,d_54,"[0,9600-1,0000]",89.12
246,~a_15,"[0,0355-0,1115]",106.83
247,~d_54,"[0,9100-1,0000]",88.55
247,~a_15,"[0,0151-0,2933]",100.48
247,a_17,"[0,0492-0,3312]",113.37
248,a_10,"[0,8726-1,0000]",88.63
249,~d_61,"[0,9263-1,0000]",86.73
249,a_14,"[0,9820-0,9920]",95.95
250,a_16,"[0,7742-0,8624]",97.63
250,~a_16,"[0,1376-0,2258]",99.89
251,d_48,"[0,9205-1,0000]",87.07
251,~a_15,"[0,0361-0,1303]",90.87
253,d_36,"[0,9886-1,0000]",88.21
253,a_13,"[0,9886-1,0000]",88.51
253,a_18,"[0,1273-0,2888]",104.46
255,d_40,"[0,7650-1,0000]",89.33
255,a_13,"[0,6890-1,0000]",89.47
255,a_17,"[0,6432-1,0000]",111.63
256,a_0,"[0,9400-1,0000]",88.32
256,a_14,"[0,9395-0,9995]",93.93
256,a_16,"[0,8276-0,9881]",94.25
257,d_53,"[1,0000-1,0000]",89.24
258,a_3,"[0,9100-1,0000]",89.31
259,a_14,"[0,7465-0,9330]",99.39
260,d_25,"[0,8772-1,0000]",89.22
261,a_15,"[0,9502-0,9902]",93.57
