Prog,Lit,Intervalo,Metric,Time,Mass
74,a_16,"[0,0000-0,9958]",0.0049,22.04,0.0044
77,~d_26,"[0,0730-1,0000]",0.0760,18.02,0.0773
77,a_11,"[0,0773-1,0000]",0.0789,17.75,0.0773
77,a_16,"[0,0709-0,9939]",0.0801,20.59,0.0773
79,a_14,"[1,0037-0,9998]",1.0912,20.44,1.0289
79,a_16,"[0,9900-0,9860]",1.0912,21.04,1.0289
82,d_44,"[0,1025-1,0000]",0.1124,23.67,0.1028
82,~a_19,"[0,1013-0,9993]",0.1082,25.00,0.1028
83,d_25,"[0,0065-1,0000]",0.0071,17.81,0.0068
85,a_10,"[1,2768-1,0000]",1.4402,9.27,1.2773
87,a_16,"[0,0130-0,9847]",0.0371,26.85,0.0362
88,a_3,"[0,1334-1,0000]",0.1334,17.99,0.1334
88,a_16,"[0,1323-1,0000]",0.1642,18.24,0.1334
89,d_27,"[0,0052-1,0000]",0.0057,8.82,0.0053
90,~d_31,"[0,2379-1,0000]",0.2379,17.58,0.2379
90,a_15,"[0,2326-0,9947]",0.2601,20.75,0.2379
91,d_29,"[0,0779-1,0000]",0.0810,17.47,0.0779
92,a_12,"[0,1894-1,0000]",0.1952,17.81,0.1899
92,~a_14,"[0,1737-0,9843]",0.1952,22.89,0.1899
93,~a_12,"[0,1241-1,0000]",0.1241,17.88,0.1241
93,~a_16,"[0,0023-0,8782]",0.1241,21.24,0.1241
94,d_39,"[0,0067-1,0000]",0.0073,4.68,0.0162
97,~a_17,"[0,0003-0,9095]",0.1039,19.14,0.0977
98,a_8,"[0,0031-1,0000]",0.0031,18.32,0.0031
98,a_14,"[0,0007-1,0000]",0.0010,18.12,0.0031
98,a_16,"[0,0000-1,0000]",0.0000,18.87,0.0031
100,d_26,"[0,0015-1,0000]",0.0016,8.65,0.0015
100,a_14,"[0,0012-1,0000]",0.0013,10.54,0.0015
101,~a_0,"[0,2264-1,0000]",0.2479,17.59,0.2264
101,a_16,"[0,2154-0,9890]",0.2479,20.52,0.2264
102,a_11,"[0,0166-1,0000]",0.0175,17.31,0.0245
102,a_19,"[0,0079-0,9872]",0.0224,23.59,0.0245
103,d_65,"[1,3795-1,0000]",1.3812,17.42,1.3796
104,d_31,"[0,0149-1,0000]",0.0160,9.38,0.0168
104,~a_17,"[0,0108-0,9995]",0.0128,12.86,0.0168
105,d_29,"[0,0588-1,0000]",0.0588,9.55,0.0588
107,~a_13,"[0,0132-1,0000]",0.0148,17.73,0.0154
109,a_8,"[0,0091-1,0000]",0.0091,17.17,0.0091
109,a_15,"[0,0002-0,9915]",0.0096,21.33,0.0091
109,a_14,"[0,0051-0,9960]",0.0098,31.37,0.0091
110,~d_59,"[0,0006-1,0000]",0.0006,17.24,0.0006
110,~a_19,"[0,0000-0,9998]",0.0002,19.43,0.0006
111,a_11,"[0,0028-1,0000]",0.0034,17.18,0.1239
111,a_17,"[0,0036-0,9999]",0.0044,18.67,0.1239
112,~d_35,"[0,0551-1,0000]",0.0632,17.87,0.0551
113,~d_60,"[0,0224-1,0000]",0.0261,8.69,0.0224
114,d_40,"[0,0281-1,0000]",0.0300,17.60,0.0322
114,a_12,"[0,0233-1,0000]",0.0256,17.90,0.0322
114,~a_17,"[0,0213-1,0000]",0.0249,20.01,0.0322
117,~d_29,"[0,0009-1,0000]",0.0009,17.67,0.0012
117,a_18,"[0,0006-1,0000]",0.0006,18.03,0.0012
118,a_9,"[0,0069-1,0000]",0.0074,17.29,0.0077
121,a_19,"[0,0001-1,0000]",0.0001,10.17,0.0007
123,a_1,"[0,0048-1,0000]",0.0056,17.57,0.1344
123,a_20,"[0,1337-1,0000]",0.1369,17.67,0.1344
125,~d_35,"[0,0844-1,0000]",0.0870,17.14,0.0846
125,a_10,"[0,0000-1,0000]",0.0000,17.42,0.0846
125,a_17,"[0,0000-1,0000]",0.0000,18.73,0.0846
126,~d_49,"[0,0850-1,0000]",0.0950,17.65,0.0873
126,a_18,"[0,0873-1,0000]",0.0873,22.20,0.0873
127,d_39,"[0,0580-1,0000]",0.0623,17.66,0.0580
128,d_21,"[1,1414-1,0000]",1.3173,18.36,1.1442
128,~a_16,"[1,1346-0,9914]",1.1549,19.66,1.1442
129,d_30,"[0,1131-1,0000]",0.1131,18.66,0.1131
129,a_10,"[0,1020-1,0000]",0.1176,18.33,0.1131
130,a_4,"[0,0100-1,0000]",0.0111,8.85,0.0996
130,a_14,"[0,0952-0,9956]",0.1087,10.98,0.0996
130,a_17,"[0,0952-0,9957]",0.1087,10.86,0.0996
131,d_54,"[0,0608-1,0000]",0.0710,18.28,0.0699
131,a_14,"[0,0665-0,9996]",0.0721,19.25,0.0699
131,~a_14,"[0,0004-0,9335]",0.0721,20.15,0.0699
132,~d_25,"[0,0058-1,0000]",0.0059,8.88,0.0070
132,a_15,"[0,0012-1,0000]",0.0016,11.20,0.0070
133,~d_42,"[0,0578-1,0000]",0.0643,17.44,0.1676
133,a_14,"[0,0578-1,0000]",0.0649,25.73,0.1676
134,d_49,"[0,0077-1,0000]",0.0085,17.09,0.0917
135,a_11,"[0,0071-1,0000]",0.0073,8.69,0.0071
