Prog,Lit,Exact,Time
87,~a_8,"[0,1590-0,2490]",23.21
88,~a_4,"[0,9000-1,0000]",12.06
88,a_6,"[0,9629-1,0000]",11.91
88,a_8,"[0,0694-0,1066]",12.37
90,a_1,"[0,8499-1,0000]",22.53
90,~a_6,"[0,8499-1,0000]",23.17
90,~a_7,"[0,0746-0,3390]",23.83
91,d_18,"[0,9800-1,0000]",45.97
91,a_7,"[0,9468-0,9668]",46.49
91,~a_7,"[0,0332-0,0532]",46.01
92,a_9,"[1,0000-1,0000]",11.18
94,d_19,"[0,9200-1,0000]",46.43
94,a_6,"[1,0000-1,0000]",45.93
95,a_1,"[0,9192-1,0000]",11.47
97,a_5,"[0,9700-1,0000]",46.81
97,a_7,"[0,1200-0,1500]",46.65
98,a_5,"[0,9200-1,0000]",22.84
99,d_11,"[0,8500-1,0000]",11.93
99,~a_7,"[0,6958-0,8458]",12.23
101,a_8,"[0,9624-0,9884]",11.90
101,~a_8,"[0,0116-0,0376]",11.79
102,a_5,"[0,9020-1,0000]",46.01
102,a_7,"[0,8210-0,9190]",46.36
103,~d_12,"[0,9894-1,0000]",22.77
103,a_5,"[0,9095-1,0000]",23.42
103,~a_7,"[0,0002-0,0202]",23.84
104,~a_1,"[0,9700-1,0000]",45.79
104,a_5,"[0,8680-1,0000]",46.89
104,a_7,"[0,8680-1,0000]",47.08
105,a_9,"[0,8460-1,0000]",46.57
105,~a_5,"[0,9054-1,0000]",47.32
105,a_7,"[0,8674-0,9620]",48.99
107,d_13,"[0,7246-1,0000]",91.37
108,d_16,"[1,0000-1,0000]",3.08
108,a_5,"[0,8772-1,0000]",2.88
108,~a_7,"[0,0000-0,1228]",2.98
109,a_7,"[0,0428-0,1128]",47.87
110,d_18,"[0,8628-1,0000]",45.50
111,a_9,"[0,0489-0,0689]",95.96
112,a_2,"[0,9100-1,0000]",23.19
112,~a_5,"[0,8857-1,0000]",23.20
112,~a_8,"[0,0756-0,1899]",23.62
114,~a_1,"[0,9611-1,0000]",11.95
114,a_8,"[0,9172-0,9472]",12.87
114,~a_7,"[0,9698-0,9998]",12.19
115,a_4,"[0,9337-1,0000]",46.90
116,a_6,"[0,9450-1,0000]",91.93
116,~a_7,"[0,1913-0,2463]",92.38
118,a_7,"[0,7723-0,8423]",11.55
118,~a_8,"[0,1134-0,1834]",11.18
119,~d_12,"[0,9793-1,0000]",92.31
120,d_18,"[1,0000-1,0000]",92.42
120,a_7,"[0,9104-1,0000]",93.84
120,~a_7,"[0,0000-0,0896]",93.36
122,d_13,"[1,0000-1,0000]",11.33
123,~d_12,"[0,8460-1,0000]",93.36
124,d_17,"[0,8782-1,0000]",182.06
124,a_8,"[0,9267-0,9852]",188.06
124,~a_7,"[0,8334-0,8919]",186.39
125,a_3,"[0,9100-1,0000]",89.95
125,~a_6,"[0,9081-1,0000]",91.70
125,a_8,"[0,0462-0,1380]",92.97
126,a_2,"[0,8556-1,0000]",22.75
131,a_3,"[0,9700-1,0000]",5.64
131,a_9,"[0,0970-0,1270]",5.59
132,d_10,"[0,7845-1,0000]",91.76
134,~a_3,"[0,8742-1,0000]",363.40
134,a_6,"[0,9805-1,0000]",374.35
134,a_8,"[0,9815-1,0000]",379.59
135,~a_0,"[1,0000-1,0000]",23.21
135,a_9,"[0,8731-0,9227]",23.64
135,~a_7,"[0,0920-0,0920]",24.29
136,a_6,"[0,9934-1,0000]",186.94
136,~a_9,"[0,0000-0,0066]",192.90
137,a_6,"[0,8978-1,0000]",45.25
137,~a_7,"[0,8930-0,9952]",46.24
138,~a_7,"[0,0984-0,0984]",11.92
140,a_2,"[0,8177-1,0000]",182.59
140,a_7,"[0,0920-0,1875]",186.80
140,~a_7,"[0,8125-0,9080]",185.32
141,d_12,"[1,0000-1,0000]",23.28
141,a_5,"[0,9132-1,0000]",23.64
141,a_8,"[0,9132-0,9232]",23.46
142,d_14,"[0,9100-1,0000]",47.73
142,a_7,"[0,9517-0,9914]",48.40
143,d_11,"[0,9827-1,0000]",46.43
143,a_5,"[0,9151-1,0000]",46.66
143,~a_9,"[0,9139-0,9988]",47.54
144,d_13,"[0,9768-1,0000]",91.42
144,a_6,"[0,9800-1,0000]",91.82
144,a_9,"[0,1367-0,1567]",93.15
145,a_6,"[1,0000-1,0000]",23.77
145,~a_8,"[0,0734-0,0734]",24.82
146,d_14,"[0,9912-1,0000]",23.15
149,~a_9,"[0,6723-0,9123]",23.87
150,a_0,"[0,9385-1,0000]",11.41
150,~a_7,"[0,9490-1,0000]",11.59
151,a_6,"[0,9062-1,0000]",92.41
151,a_8,"[0,9062-0,9262]",93.57
152,a_7,"[0,2573-0,2573]",48.60
152,a_8,"[0,9305-0,9305]",48.89
153,d_15,"[0,9200-1,0000]",46.97
154,~d_11,"[0,9792-1,0000]",23.14
154,a_6,"[0,9312-1,0000]",23.47
154,a_7,"[0,9253-0,9940]",23.94
155,~d_18,"[0,9500-1,0000]",7.15
155,a_5,"[0,9103-1,0000]",7.30
155,~a_7,"[0,0000-0,1018]",7.43
156,a_2,"[0,9684-1,0000]",14.46
156,~a_6,"[1,0000-1,0000]",14.45
156,a_7,"[0,1045-0,1045]",14.98
157,d_13,"[0,9994-1,0000]",31.03
158,a_2,"[0,8340-1,0000]",75.83
158,~a_7,"[0,8334-0,9994]",77.88
158,a_7,"[0,0006-0,1666]",77.61
159,d_16,"[0,8704-1,0000]",359.67
159,a_5,"[0,9700-1,0000]",362.89
159,a_8,"[0,9700-1,0000]",366.09
160,d_15,"[0,9700-1,0000]",44.86
161,d_11,"[0,9309-1,0000]",45.01
161,a_6,"[0,9100-1,0000]",45.09
