Prog,Lit,Intervalo,Metric,Time,Mass
0,~d_19,"[0,8871-1,0000]",0.9862,2.46,0.9829
0,a_7,"[0,9829-1,0000]",0.9829,2.48,0.9829
0,~a_7,"[0,0000-0,0171]",0.9829,2.42,0.9829
1,a_4,"[0,9793-1,0000]",0.9793,7.99,0.9793
1,a_7,"[0,0160-0,2201]",0.9832,8.20,0.9793
2,~d_10,"[0,9842-1,0000]",0.9842,3.26,0.9842
2,~a_8,"[0,0072-0,0280]",0.9848,3.42,0.9842
3,~d_9,"[0,9820-1,0000]",0.9820,1.66,0.9820
3,a_7,"[0,0000-0,0180]",0.9820,1.71,0.9820
4,~d_10,"[0,9841-1,0000]",0.9841,4.51,0.9841
5,a_3,"[0,9899-1,0000]",0.9899,1.03,0.9899
5,a_8,"[0,0091-0,1232]",0.9912,1.15,0.9899
6,~a_3,"[0,7740-1,0000]",0.9889,3.55,0.9860
6,a_7,"[0,6964-0,9828]",0.9928,3.54,0.9860
6,~a_8,"[0,0009-0,2889]",0.9935,3.56,0.9860
7,d_18,"[0,7746-1,0000]",0.9932,4.80,0.9867
7,a_9,"[0,8170-0,8303]",0.9867,4.89,0.9867
8,~d_11,"[0,9366-1,0000]",0.9862,5.59,0.9847
8,a_6,"[0,9760-1,0000]",0.9861,5.62,0.9847
8,~a_7,"[0,0000-0,0244]",0.9864,5.86,0.9847
9,~a_0,"[0,9847-1,0000]",0.9847,2.98,0.9847
9,a_6,"[0,8375-1,0000]",0.9931,2.98,0.9847
9,a_7,"[0,0580-0,2205]",0.9931,3.01,0.9847
10,~d_17,"[0,9786-1,0000]",0.9786,4.43,0.9786
10,a_5,"[0,9786-1,0000]",0.9786,4.37,0.9786
10,a_7,"[0,9566-0,9780]",0.9786,4.53,0.9786
11,~d_19,"[0,8210-1,0000]",0.9883,4.32,0.9780
12,a_8,"[0,0525-0,0652]",0.9872,3.39,0.9872
13,d_15,"[0,9883-1,0000]",0.9883,1.82,0.9883
13,a_7,"[0,7762-0,7880]",0.9883,1.83,0.9883
14,~d_9,"[0,9401-1,0000]",0.9856,2.03,0.9841
15,~d_18,"[0,9851-1,0000]",0.9851,3.34,0.9851
15,a_6,"[0,9851-1,0000]",0.9851,3.29,0.9851
15,a_9,"[0,9851-1,0000]",0.9851,3.39,0.9851
16,d_10,"[0,9767-1,0000]",0.9767,2.32,0.9767
16,a_6,"[0,9767-1,0000]",0.9767,2.31,0.9767
17,d_12,"[0,9027-1,0000]",0.9887,1.61,0.9867
17,a_7,"[0,9694-1,0000]",0.9885,1.59,0.9867
17,~a_8,"[0,0010-0,0922]",0.9883,1.77,0.9867
18,~a_2,"[0,9857-1,0000]",0.9925,1.01,0.9919
18,~a_5,"[0,9919-1,0000]",0.9919,1.02,0.9919
18,a_7,"[0,9919-1,0000]",0.9919,1.06,0.9919
19,a_4,"[0,7212-1,0000]",0.9935,5.30,0.9845
19,~a_9,"[0,8816-0,9992]",0.9894,5.66,0.9845
20,~a_1,"[0,9818-1,0000]",0.9818,0.32,0.9818
20,a_5,"[0,9818-1,0000]",0.9818,0.31,0.9818
20,a_7,"[0,7346-1,0000]",0.9925,0.34,0.9818
21,d_10,"[0,8603-1,0000]",0.9930,4.43,0.9871
21,a_7,"[0,8323-1,0000]",0.9936,4.38,0.9871
21,~a_7,"[0,0000-0,1677]",0.9936,4.36,0.9871
22,d_14,"[0,9869-1,0000]",0.9869,6.10,0.9869
22,a_7,"[0,9367-0,9996]",0.9894,6.51,0.9869
22,~a_8,"[0,8633-0,8765]",0.9869,6.20,0.9869
23,d_12,"[0,9819-1,0000]",0.9819,1.88,0.9819
24,d_13,"[0,9890-1,0000]",0.9890,2.52,0.9890
25,~d_15,"[0,9865-1,0000]",0.9865,2.78,0.9865
26,a_6,"[0,9690-1,0000]",0.9690,6.98,0.9690
26,a_8,"[0,0000-0,0471]",0.9718,7.30,0.9690
27,a_5,"[0,9379-1,0000]",0.9821,5.91,0.9797
27,a_8,"[0,7984-0,9997]",0.9878,5.99,0.9797
28,~d_16,"[0,9791-1,0000]",0.9791,2.25,0.9791
28,a_8,"[0,1688-0,1897]",0.9791,2.26,0.9791
28,~a_8,"[0,8103-0,8312]",0.9791,2.37,0.9791
29,a_6,"[0,9851-1,0000]",0.9851,2.81,0.9851
29,a_7,"[0,9832-0,9999]",0.9856,2.85,0.9851
30,d_12,"[0,9822-1,0000]",0.9822,1.32,0.9822
30,a_7,"[0,9822-1,0000]",0.9822,1.36,0.9822
30,~a_9,"[0,9822-1,0000]",0.9822,1.33,0.9822
31,a_3,"[0,9359-1,0000]",0.9929,1.48,0.9913
31,~a_6,"[0,9913-1,0000]",0.9913,1.47,0.9913
31,~a_8,"[0,9906-0,9992]",0.9913,1.70,0.9913
32,d_10,"[0,9798-1,0000]",0.9846,1.49,0.9838
32,a_8,"[0,7163-0,8483]",0.9907,1.53,0.9838
33,a_9,"[0,0436-0,0616]",0.9820,2.15,0.9820
34,d_9,"[0,9863-1,0000]",0.9863,2.62,0.9863
34,~a_8,"[0,7947-0,8084]",0.9863,2.65,0.9863
34,~a_7,"[0,3360-0,3497]",0.9863,2.77,0.9863
36,a_2,"[0,9579-1,0000]",0.9850,3.42,0.9832
36,~a_6,"[0,9832-1,0000]",0.9832,3.41,0.9832
36,a_7,"[0,2291-0,2600]",0.9841,3.57,0.9832
37,~a_5,"[0,9645-1,0000]",0.9824,10.04,0.9805
37,~a_7,"[0,8439-0,8634]",0.9805,10.19,0.9805
38,a_1,"[0,9906-1,0000]",0.9906,0.99,0.9906
39,a_4,"[0,9009-1,0000]",0.9878,1.54,0.9855
39,~a_8,"[0,1320-0,1508]",0.9859,1.68,0.9855
39,~a_7,"[0,8454-0,8599]",0.9855,1.76,0.9855
41,a_0,"[0,9900-1,0000]",0.9900,2.20,0.9900
41,a_8,"[0,8403-1,0000]",0.9936,2.42,0.9900
41,~a_8,"[0,0000-0,1597]",0.9936,2.50,0.9900
43,a_6,"[0,9878-1,0000]",0.9878,2.40,0.9878
44,~d_14,"[0,9894-1,0000]",0.9894,2.46,0.9894
44,~a_8,"[0,1440-0,1574]",0.9901,2.44,0.9894
45,d_13,"[0,9892-1,0000]",0.9892,0.82,0.9892
45,~a_7,"[0,1266-0,1374]",0.9892,0.91,0.9892
45,a_8,"[0,1723-0,1831]",0.9892,0.91,0.9892
46,a_6,"[0,9922-1,0000]",0.9922,2.23,0.9922
46,a_7,"[0,9922-1,0000]",0.9922,2.32,0.9922
47,~a_3,"[0,9369-1,0000]",0.9883,1.63,0.9870
47,~a_9,"[0,0000-0,0366]",0.9878,1.75,0.9870
48,d_9,"[0,9857-1,0000]",0.9857,5.50,0.9857
48,~a_5,"[0,9857-1,0000]",0.9857,5.51,0.9857
48,~a_7,"[0,0127-0,0270]",0.9857,5.93,0.9857
49,d_14,"[0,9799-1,0000]",0.9815,2.76,0.9811
50,~d_14,"[0,9808-1,0000]",0.9808,1.08,0.9808
50,a_6,"[0,9808-1,0000]",0.9808,1.09,0.9808
50,a_8,"[0,0346-0,1027]",0.9868,1.15,0.9808
51,~a_2,"[0,9856-1,0000]",0.9856,4.57,0.9856
51,a_6,"[0,8735-1,0000]",0.9904,4.56,0.9856
51,~a_8,"[0,0545-0,1811]",0.9904,4.77,0.9856
52,d_14,"[0,9861-1,0000]",0.9861,1.34,0.9861
53,d_10,"[0,9691-1,0000]",0.9881,3.60,0.9864
53,~a_7,"[0,8965-0,9101]",0.9864,3.64,0.9864
53,a_7,"[0,0899-0,1035]",0.9864,3.62,0.9864
54,a_2,"[0,9853-1,0000]",0.9853,0.93,0.9853
