Prog,Lit,Intervalo,Metric,Time,Mass
0,~d_19,"[0,8785-1,0000]",0.9766,2.04,0.9717
0,a_7,"[0,9717-1,0000]",0.9717,2.04,0.9717
0,~a_7,"[0,0000-0,0283]",0.9717,2.04,0.9717
1,a_4,"[0,9701-1,0000]",0.9701,5.50,0.9701
1,a_7,"[0,0148-0,2244]",0.9763,5.57,0.9701
2,~d_10,"[0,9771-1,0000]",0.9771,2.54,0.9771
2,~a_8,"[0,0066-0,0341]",0.9780,2.63,0.9771
3,~d_9,"[0,9719-1,0000]",0.9719,1.32,0.9719
3,a_7,"[0,0000-0,0281]",0.9719,1.38,0.9719
4,~d_10,"[0,9760-1,0000]",0.9760,3.20,0.9760
5,a_3,"[0,9834-1,0000]",0.9834,0.76,0.9834
5,a_8,"[0,0089-0,1282]",0.9853,0.89,0.9834
6,~a_3,"[0,7692-1,0000]",0.9827,2.71,0.9772
6,a_7,"[0,6943-0,9839]",0.9884,2.70,0.9772
6,~a_8,"[0,0007-0,2914]",0.9896,2.72,0.9772
7,d_18,"[0,7717-1,0000]",0.9896,3.39,0.9798
7,a_9,"[0,8130-0,8332]",0.9798,3.49,0.9798
8,~d_11,"[0,9289-1,0000]",0.9780,3.70,0.9757
8,a_6,"[0,9673-1,0000]",0.9774,3.74,0.9757
8,~a_7,"[0,0000-0,0331]",0.9776,3.85,0.9757
9,~a_0,"[0,9765-1,0000]",0.9765,2.13,0.9765
9,a_6,"[0,8340-1,0000]",0.9890,2.13,0.9765
9,a_7,"[0,0565-0,2225]",0.9890,2.17,0.9765
10,~d_17,"[0,9684-1,0000]",0.9684,3.20,0.9684
10,a_5,"[0,9684-1,0000]",0.9684,3.18,0.9684
10,a_7,"[0,9477-0,9793]",0.9684,3.29,0.9684
11,~d_19,"[0,8164-1,0000]",0.9827,3.49,0.9689
12,a_8,"[0,0519-0,0709]",0.9811,2.26,0.9811
13,d_15,"[0,9812-1,0000]",0.9812,1.64,0.9812
13,a_7,"[0,7739-0,7927]",0.9812,1.63,0.9812
14,~d_9,"[0,9324-1,0000]",0.9775,1.58,0.9749
15,~d_18,"[0,9768-1,0000]",0.9768,2.39,0.9768
15,a_6,"[0,9768-1,0000]",0.9768,2.39,0.9768
15,a_9,"[0,9768-1,0000]",0.9768,2.39,0.9768
16,d_10,"[0,9677-1,0000]",0.9677,1.76,0.9677
16,a_6,"[0,9677-1,0000]",0.9677,1.76,0.9677
17,d_12,"[0,8969-1,0000]",0.9824,1.25,0.9794
17,a_7,"[0,9632-1,0000]",0.9822,1.28,0.9794
17,~a_8,"[0,0010-0,0978]",0.9822,1.34,0.9794
18,~a_2,"[0,9800-1,0000]",0.9867,0.86,0.9860
