Prog,Lit,Intervalo,Metric,Time,Mass
66,~a_8,"[0,0000-0,9956]",0.0048,1.72,0.0046
67,~a_5,"[0,5497-1,0000]",0.5968,1.44,0.5515
67,a_8,"[0,5158-0,9661]",0.6413,1.47,0.5515
68,d_11,"[0,0189-1,0000]",0.0189,2.35,0.0189
68,a_7,"[0,0039-0,9850]",0.0198,2.45,0.0189
68,a_8,"[0,0187-1,0000]",0.0198,2.40,0.0189
69,a_1,"[0,0116-1,0000]",0.0116,2.61,0.0116
69,a_7,"[0,0116-1,0000]",0.0116,2.62,0.0116
70,d_12,"[0,0041-1,0000]",0.0041,1.36,0.0041
70,a_8,"[0,0001-0,9969]",0.0035,1.40,0.0041
71,a_7,"[0,0016-1,0000]",0.0018,1.99,0.0029
72,d_10,"[0,0456-1,0000]",0.0456,1.67,0.0456
72,a_7,"[0,0423-1,0000]",0.0532,1.68,0.0456
73,d_12,"[0,0018-1,0000]",0.0018,1.23,0.0018
73,a_7,"[0,0000-0,9982]",0.0018,1.33,0.0018
74,d_15,"[0,0010-1,0000]",0.0010,1.81,0.0010
74,a_6,"[0,0010-1,0000]",0.0010,1.82,0.0010
74,a_7,"[0,0004-0,9993]",0.0010,1.84,0.0010
75,~a_7,"[0,0078-0,9698]",0.0380,1.13,0.0380
76,d_17,"[0,0020-1,0000]",0.0023,2.06,0.0023
76,a_8,"[0,0023-1,0000]",0.0024,2.21,0.0023
76,~a_7,"[0,0003-0,9980]",0.0023,2.18,0.0023
77,d_14,"[0,0206-1,0000]",0.0206,2.29,0.0206
77,a_9,"[0,0206-1,0000]",0.0206,2.34,0.0206
78,d_11,"[0,5173-1,0000]",0.5414,2.15,0.5176
78,~a_7,"[0,4786-1,0000]",0.5739,2.17,0.5176
79,a_3,"[0,0335-1,0000]",0.0337,2.07,0.0338
80,~d_15,"[0,0139-1,0000]",0.0139,1.59,0.0139
80,a_6,"[0,0139-1,0000]",0.0139,1.60,0.0139
80,~a_7,"[0,0139-0,9999]",0.0139,1.71,0.0139
81,~d_15,"[0,0041-1,0000]",0.0041,2.79,0.0041
82,~d_16,"[0,0552-1,0000]",0.0626,2.62,0.0577
82,a_7,"[0,0573-0,9996]",0.0577,2.77,0.0577
83,d_16,"[0,0855-1,0000]",0.0862,1.72,0.0858
83,a_5,"[0,0858-1,0000]",0.0858,1.72,0.0858
83,a_8,"[0,0280-0,9430]",0.0941,1.74,0.0858
84,a_4,"[0,0010-1,0000]",0.0010,1.27,0.0010
84,a_6,"[0,0007-1,0000]",0.0008,1.27,0.0010
84,a_8,"[0,0004-0,9997]",0.0008,1.31,0.0010
85,d_19,"[0,0039-1,0000]",0.0039,1.88,0.0039
86,~a_2,"[0,0512-1,0000]",0.0512,3.23,0.0512
86,a_9,"[0,0165-0,9652]",0.0512,3.37,0.0512
87,~a_4,"[0,0078-1,0000]",0.0078,0.52,0.0078
87,a_5,"[0,0076-1,0000]",0.0076,0.52,0.0078
87,a_8,"[0,0006-0,9928]",0.0078,0.55,0.0078
88,~a_1,"[0,0394-1,0000]",0.0397,2.44,0.0394
89,~a_5,"[0,0072-1,0000]",0.0072,1.99,0.0072
90,d_15,"[0,0144-1,0000]",0.0144,2.35,0.0144
90,~a_8,"[0,0140-0,9997]",0.0144,2.42,0.0144
90,a_7,"[0,0117-0,9975]",0.0155,2.61,0.0144
91,a_4,"[0,0010-1,0000]",0.0010,2.93,0.0010
91,a_7,"[0,0007-0,9999]",0.0010,3.18,0.0010
91,a_9,"[0,0003-0,9994]",0.0009,3.12,0.0010
92,a_2,"[0,0025-1,0000]",0.0025,1.31,0.0025
93,a_3,"[0,0079-1,0000]",0.0079,1.38,0.0079
93,a_6,"[0,0079-1,0000]",0.0079,1.39,0.0079
93,a_8,"[0,0046-0,9967]",0.0079,1.43,0.0079
94,d_18,"[0,0153-1,0000]",0.0153,2.72,0.0153
94,a_6,"[0,0153-1,0000]",0.0153,2.74,0.0153
94,~a_7,"[0,0153-1,0000]",0.0153,2.75,0.0153
95,~a_8,"[0,0032-1,0000]",0.0032,1.57,0.0032
95,a_8,"[0,0000-0,9968]",0.0032,1.59,0.0032
97,a_8,"[0,0005-0,9999]",0.0006,1.48,0.0006
99,~d_14,"[0,0312-1,0000]",0.0312,2.04,0.0312
99,~a_8,"[0,0065-0,9753]",0.0312,2.09,0.0312
99,a_7,"[0,0000-0,9930]",0.0073,2.10,0.0312
100,~d_12,"[0,0079-1,0000]",0.0079,1.48,0.0079
100,~a_6,"[0,0078-1,0000]",0.0081,1.48,0.0079
100,a_7,"[0,0000-0,9922]",0.0081,1.52,0.0079
101,d_14,"[0,0301-1,0000]",0.0301,1.17,0.0301
101,a_8,"[0,0294-1,0000]",0.0344,1.22,0.0301
101,~a_8,"[0,0000-0,9706]",0.0344,1.24,0.0301
102,d_16,"[0,0080-1,0000]",0.0080,2.82,0.0080
102,a_5,"[0,0079-1,0000]",0.0079,2.86,0.0080
102,a_8,"[0,0075-0,9998]",0.0090,2.93,0.0080
103,d_15,"[0,0043-1,0000]",0.0048,1.94,0.0586
103,~a_8,"[0,0040-0,9454]",0.0586,2.00,0.0586
103,a_7,"[0,0586-1,0000]",0.0586,1.97,0.0586
104,d_16,"[0,5907-1,0000]",0.5907,1.69,0.5907
105,~a_6,"[0,0027-1,0000]",0.0030,1.05,0.0041
105,a_7,"[0,0027-1,0000]",0.0030,1.11,0.0041
106,d_11,"[0,0058-1,0000]",0.0061,0.66,0.0062
106,a_6,"[0,0062-1,0000]",0.0062,0.67,0.0062
106,~a_8,"[0,0006-1,0000]",0.0007,0.68,0.0062
107,~a_2,"[0,0080-1,0000]",0.0080,1.37,0.0080
108,a_8,"[0,0055-1,0000]",0.0055,2.77,0.0055
109,d_15,"[0,0042-1,0000]",0.0042,1.58,0.0042
110,d_10,"[0,0114-1,0000]",0.0114,2.31,0.0114
110,~a_7,"[0,0103-1,0000]",0.0123,2.33,0.0114
110,~a_8,"[0,0103-1,0000]",0.0123,2.36,0.0114
111,~d_14,"[0,0276-1,0000]",0.0276,1.69,0.0276
113,d_12,"[0,0063-1,0000]",0.0063,1.93,0.0063
113,a_7,"[0,0006-0,9952]",0.0061,2.00,0.0063
114,a_5,"[0,0099-1,0000]",0.0099,1.69,0.0099
114,a_7,"[0,0006-0,9908]",0.0099,1.78,0.0099
115,~a_2,"[0,0482-1,0000]",0.0497,1.86,0.0483
115,a_5,"[0,0483-1,0000]",0.0483,1.88,0.0483
115,~a_8,"[0,0065-0,9582]",0.0486,2.03,0.0483
116,~d_11,"[0,0034-1,0000]",0.0034,1.55,0.0034
118,~a_3,"[0,0060-1,0000]",0.0060,1.81,0.0060
118,a_7,"[0,0006-0,9958]",0.0052,1.86,0.0060
118,a_8,"[0,0000-0,9952]",0.0052,1.91,0.0060
119,~a_9,"[0,0455-1,0000]",0.0455,1.74,0.0455
119,a_6,"[0,0455-1,0000]",0.0455,1.73,0.0455
119,a_8,"[0,0455-1,0000]",0.0455,1.80,0.0455
120,a_2,"[0,0180-1,0000]",0.0180,1.96,0.0180
120,~a_6,"[0,0180-1,0000]",0.0180,1.97,0.0180
120,~a_7,"[0,0000-0,9823]",0.0207,2.09,0.0180
121,a_1,"[0,0048-1,0000]",0.0048,0.77,0.0048
121,a_5,"[0,0048-1,0000]",0.0048,0.79,0.0048
121,~a_8,"[0,0010-0,9962]",0.0048,0.79,0.0048
123,~a_8,"[0,0003-0,9997]",0.0006,3.41,0.0006
123,a_8,"[0,0003-0,9997]",0.0006,3.40,0.0006
124,~a_7,"[0,0114-1,0000]",0.0114,2.20,0.0114
124,~a_8,"[0,0106-0,9992]",0.0114,2.27,0.0114
125,d_19,"[0,0375-1,0000]",0.0375,2.67,0.0375
125,~a_8,"[0,0361-0,9999]",0.0376,2.89,0.0375
127,a_3,"[0,0034-1,0000]",0.0034,1.87,0.0034
127,a_8,"[0,0034-1,0000]",0.0034,1.91,0.0034
128,d_10,"[0,0540-1,0000]",0.0540,1.40,0.0540
128,a_8,"[0,0483-0,9951]",0.0555,1.58,0.0540
129,d_14,"[0,0052-1,0000]",0.0052,1.87,0.0052
129,a_7,"[0,0009-0,9958]",0.0052,2.05,0.0052
130,~d_14,"[0,0033-1,0000]",0.0033,2.85,0.0033
131,d_12,"[0,0683-1,0000]",0.0683,0.85,0.0683
132,a_1,"[0,0536-1,0000]",0.0536,2.58,0.0536
132,~a_8,"[0,0524-0,9989]",0.0536,2.71,0.0536
132,a_8,"[0,0011-0,9476]",0.0536,2.69,0.0536
133,d_11,"[0,0331-1,0000]",0.0331,1.85,0.0331
134,d_9,"[0,0366-1,0000]",0.0366,2.39,0.0366
134,a_5,"[0,0315-1,0000]",0.0384,2.40,0.0366
134,~a_7,"[0,0313-0,9993]",0.0362,2.52,0.0366
135,d_16,"[0,0048-1,0000]",0.0048,2.25,0.0048
136,d_16,"[0,0038-1,0000]",0.0038,2.17,0.0038
137,a_3,"[0,0435-1,0000]",0.0435,2.30,0.0435
138,d_12,"[0,0042-1,0000]",0.0042,0.82,0.0042
138,a_8,"[0,0000-0,9958]",0.0042,0.89,0.0042
139,~d_15,"[0,0761-1,0000]",0.0761,1.55,0.0761
139,~a_6,"[0,0761-1,0000]",0.0761,1.56,0.0761
139,~a_7,"[0,0000-0,9240]",0.0761,1.63,0.0761
140,~a_4,"[0,0253-1,0000]",0.0253,2.15,0.0253
140,a_6,"[0,0253-1,0000]",0.0253,2.14,0.0253
140,~a_7,"[0,0000-0,9748]",0.0254,2.23,0.0253
141,d_10,"[0,0452-1,0000]",0.0452,2.02,0.0452
142,a_2,"[0,0427-1,0000]",0.0427,2.79,0.0427
