Prog,Lit,Intervalo,Metric,Time,Mass
0,a_8,"[0,8906-1,0000]",0.9955,20.52,0.9929
0,~a_13,"[0,8876-1,0000]",0.9959,20.59,0.9929
1,d_64,"[0,9900-1,0000]",0.9900,40.22,0.9900
3,~d_51,"[0,9904-1,0000]",0.9904,34.89,0.9904
3,a_19,"[0,9308-0,9406]",0.9905,43.17,0.9904
3,a_16,"[0,0000-0,0927]",0.9918,40.33,0.9904
4,d_42,"[0,9882-1,0000]",0.9882,37.21,0.9882
4,a_16,"[0,8002-0,9750]",0.9914,38.81,0.9882
5,d_58,"[0,9243-1,0000]",0.9923,32.76,0.9909
6,~d_36,"[0,9891-1,0000]",0.9891,37.65,0.9891
6,a_11,"[0,9891-1,0000]",0.9891,37.77,0.9891
6,~a_17,"[0,0000-0,1731]",0.9964,61.92,0.9891
7,d_42,"[0,9841-1,0000]",0.9841,55.99,0.9841
8,a_6,"[0,9920-1,0000]",0.9920,31.20,0.9920
9,~d_60,"[0,9897-1,0000]",0.9897,29.34,0.9897
9,a_16,"[0,0069-0,0789]",0.9907,38.17,0.9897
11,d_64,"[0,9889-1,0000]",0.9889,34.74,0.9889
11,a_11,"[0,9014-1,0000]",0.9915,34.81,0.9889
11,a_19,"[0,7673-0,9951]",0.9918,38.82,0.9889
12,a_4,"[0,9916-1,0000]",0.9916,23.24,0.9916
12,a_15,"[0,0137-0,2380]",0.9948,34.60,0.9916
12,a_16,"[0,1050-0,1492]",0.9924,27.51,0.9916
13,~d_84,"[0,9859-1,0000]",0.9859,42.48,0.9859
13,a_16,"[0,9258-0,9950]",0.9879,50.01,0.9859
15,d_37,"[0,9914-1,0000]",0.9914,27.44,0.9914
15,a_17,"[0,9261-0,9999]",0.9933,31.52,0.9914
