Prog,Lit,Intervalo,Metric,Time,Mass
134,a_6,"[0,0171-1,0000]",0.0185,8.14,0.0178
134,~a_7,"[0,0171-1,0000]",0.0185,8.21,0.0178
136,a_0,"[0,0068-1,0000]",0.0068,1.38,0.0068
136,~a_7,"[0,0068-1,0000]",0.0068,1.39,0.0068
136,a_7,"[0,0000-0,9932]",0.0068,1.40,0.0068
137,d_17,"[0,0005-1,0000]",0.0005,2.29,0.0006
138,d_15,"[0,0014-1,0000]",0.0014,0.44,0.0014
138,a_8,"[0,0014-1,0000]",0.0014,0.47,0.0014
139,~a_6,"[0,0273-1,0000]",0.0298,1.67,0.0273
140,d_17,"[0,0048-1,0000]",0.0056,1.88,0.0048
141,d_10,"[0,0014-1,0000]",0.0014,0.22,0.0014
141,~a_7,"[0,0014-0,9999]",0.0017,0.24,0.0014
142,d_19,"[0,0306-1,0000]",0.0306,0.79,0.0306
143,d_17,"[0,0100-1,0000]",0.0100,2.62,0.0100
143,~a_9,"[0,0023-0,9923]",0.0100,2.67,0.0100
144,d_15,"[0,0700-1,0000]",0.0700,1.29,0.0700
145,d_14,"[0,0075-1,0000]",0.0075,1.15,0.0075
145,a_7,"[0,0005-0,9936]",0.0081,1.24,0.0075
146,d_10,"[0,9915-1,0000]",0.9915,2.00,0.9915
146,a_8,"[0,0033-0,0118]",0.9915,2.03,0.9915
147,d_18,"[0,0052-1,0000]",0.0055,0.48,0.0052
148,a_7,"[0,9058-1,0000]",0.9058,2.50,0.9058
149,~d_12,"[0,1188-1,0000]",0.1188,0.79,0.2332
149,~a_9,"[0,0000-0,7668]",0.2340,0.83,0.2332
150,a_1,"[0,0147-1,0000]",0.0147,0.96,0.0147
150,a_5,"[0,0145-1,0000]",0.0146,0.93,0.0147
150,~a_8,"[0,0000-1,0000]",0.0000,1.01,0.0147
151,~d_16,"[0,0195-1,0000]",0.0203,1.37,0.0270
151,~a_9,"[0,0108-0,9987]",0.0136,1.34,0.0270
152,~d_11,"[0,0053-1,0000]",0.0053,0.85,0.0053
152,a_5,"[0,0053-1,0000]",0.0053,0.88,0.0053
152,~a_8,"[0,0000-0,9947]",0.0053,0.95,0.0053
153,a_4,"[0,0806-1,0000]",0.0806,3.45,0.0806
153,~a_5,"[0,0806-1,0000]",0.0806,3.42,0.0806
153,~a_9,"[0,0000-0,9194]",0.0806,3.70,0.0806
154,a_8,"[0,0123-0,9996]",0.0127,0.97,0.0127
155,a_4,"[0,0301-1,0000]",0.0301,2.83,0.0593
156,a_3,"[0,0000-1,0000]",0.0000,1.13,0.0000
156,a_5,"[0,0000-1,0000]",0.0000,1.14,0.0000
156,a_8,"[0,0000-1,0000]",0.0000,1.29,0.0000
157,a_6,"[0,0047-1,0000]",0.0055,0.83,0.0047
157,a_8,"[0,0000-0,9953]",0.0055,0.82,0.0047
159,d_16,"[0,0161-1,0000]",0.0161,1.23,0.0162
160,d_9,"[0,0000-1,0000]",0.0000,0.90,0.0000
161,d_15,"[0,0003-1,0000]",0.0003,2.72,0.0003
161,a_7,"[0,0001-0,9998]",0.0003,2.63,0.0003
163,d_11,"[0,1554-1,0000]",0.1554,4.02,0.1554
163,a_8,"[0,1520-0,9996]",0.1673,4.17,0.1554
163,~a_8,"[0,0004-0,8480]",0.1673,4.40,0.1554
164,~a_0,"[0,0517-1,0000]",0.0517,0.36,0.0517
165,d_10,"[0,0030-1,0000]",0.0030,1.85,0.0030
165,a_8,"[0,0030-1,0000]",0.0030,1.90,0.0030
165,a_7,"[0,0030-1,0000]",0.0030,1.93,0.0030
167,d_15,"[0,0001-1,0000]",0.0002,1.96,0.0315
167,~a_8,"[0,0315-1,0000]",0.0316,1.89,0.0315
168,d_11,"[0,0008-1,0000]",0.0008,0.32,0.0008
168,a_8,"[0,0007-0,9999]",0.0008,0.41,0.0008
168,~a_7,"[0,0008-1,0000]",0.0008,0.42,0.0008
169,~a_0,"[0,0037-1,0000]",0.0037,0.31,0.0037
169,a_8,"[0,0000-0,9963]",0.0037,0.32,0.0037
169,~a_8,"[0,0037-1,0000]",0.0037,0.33,0.0037
170,d_15,"[0,0249-1,0000]",0.0249,0.50,0.0249
170,~a_5,"[0,0232-1,0000]",0.0253,0.52,0.0249
171,~d_11,"[0,0011-1,0000]",0.0011,0.69,0.0011
172,~a_3,"[0,0065-1,0000]",0.0065,0.38,0.0065
173,d_9,"[0,0213-1,0000]",0.0217,1.34,0.0234
174,d_12,"[0,0000-1,0000]",0.0000,1.56,0.0000
174,a_8,"[0,0000-1,0000]",0.0000,1.60,0.0000
175,a_4,"[0,0925-1,0000]",0.0925,1.45,0.0925
176,~a_2,"[0,0077-1,0000]",0.0077,1.13,0.0077
177,~d_16,"[0,0051-1,0000]",0.0054,1.26,0.0052
177,a_5,"[0,0052-1,0000]",0.0062,1.36,0.0052
177,~a_7,"[0,0000-0,9948]",0.0062,1.41,0.0052
178,~a_2,"[0,0414-1,0000]",0.0414,0.79,0.0414
179,a_3,"[0,0000-1,0000]",0.0000,1.53,0.0000
179,a_5,"[0,0000-1,0000]",0.0000,1.54,0.0000
179,a_8,"[0,0000-1,0000]",0.0000,1.51,0.0000
180,~a_3,"[0,0136-1,0000]",0.0136,0.73,0.0136
180,a_6,"[0,0136-1,0000]",0.0136,0.71,0.0136
180,a_8,"[0,0000-0,9864]",0.0136,0.72,0.0136
181,d_16,"[0,0000-1,0000]",0.0000,0.36,0.0000
181,a_5,"[0,0000-1,0000]",0.0000,0.35,0.0000
181,~a_8,"[0,0000-1,0000]",0.0000,0.39,0.0000
182,~a_6,"[0,0646-1,0000]",0.0760,0.78,0.0769
183,d_15,"[0,0049-1,0000]",0.0049,1.17,0.0049
183,a_7,"[0,0049-1,0000]",0.0050,1.16,0.0049
184,a_3,"[0,0084-1,0000]",0.0084,0.25,0.0084
184,a_6,"[0,0000-1,0000]",0.0000,0.28,0.0084
184,~a_8,"[0,0000-0,9916]",0.0087,0.28,0.0084
185,~d_14,"[0,1060-1,0000]",0.1060,0.70,0.1060
185,a_5,"[0,1059-1,0000]",0.1337,0.68,0.1060
185,a_8,"[0,1059-0,9999]",0.1337,0.78,0.1060
186,a_1,"[0,0022-1,0000]",0.0022,0.47,0.0047
186,a_8,"[0,0037-0,9989]",0.0047,0.43,0.0047
186,~a_8,"[0,0011-0,9963]",0.0047,0.44,0.0047
187,d_13,"[0,0000-1,0000]",0.0000,2.71,0.0000
187,a_8,"[0,0000-1,0000]",0.0000,2.79,0.0000
188,a_6,"[0,0041-1,0000]",0.0041,1.61,0.0041
189,d_16,"[0,0001-1,0000]",0.0001,0.87,0.0011
189,a_5,"[0,0011-1,0000]",0.0011,0.82,0.0011
189,a_7,"[0,0001-0,9990]",0.0011,0.88,0.0011
190,~a_1,"[0,1071-1,0000]",0.1071,1.47,0.1071
190,~a_6,"[0,0070-1,0000]",0.0075,1.36,0.1071
190,a_7,"[0,0000-0,8930]",0.1078,1.42,0.1071
191,~d_15,"[0,0018-1,0000]",0.0018,1.14,0.0018
191,~a_8,"[0,0000-0,9982]",0.0018,1.05,0.0018
192,a_6,"[0,0073-1,0000]",0.0073,1.27,0.0073
