Prog,Lit,Intervalo,Metric,Time,Mass
170,d_15,"[0,9859-1,0000]",0.9859,3.59,0.9859
170,~a_5,"[0,9031-1,0000]",0.9876,3.61,0.9859
171,~d_11,"[0,9842-1,0000]",0.9842,3.22,0.9842
172,~a_3,"[0,9891-1,0000]",0.9891,1.54,0.9891
173,d_9,"[0,9738-1,0000]",0.9930,3.53,0.9917
174,d_12,"[0,9903-1,0000]",0.9903,2.42,0.9903
174,a_8,"[0,1030-0,1127]",0.9903,2.43,0.9903
175,a_4,"[0,9873-1,0000]",0.9873,4.52,0.9873
176,~a_2,"[0,9888-1,0000]",0.9888,4.49,0.9888
177,~d_16,"[0,9497-1,0000]",0.9949,3.59,0.9939
177,a_5,"[0,8327-1,0000]",0.9964,3.57,0.9939
177,~a_7,"[0,7835-0,9507]",0.9964,3.65,0.9939
178,~a_2,"[0,9864-1,0000]",0.9864,3.27,0.9864
179,a_3,"[0,9925-1,0000]",0.9925,2.19,0.9925
179,a_5,"[0,9925-1,0000]",0.9925,2.19,0.9925
179,a_8,"[0,9210-1,0000]",0.9943,2.23,0.9925
180,~a_3,"[0,9887-1,0000]",0.9887,3.62,0.9887
180,a_6,"[0,9887-1,0000]",0.9887,3.62,0.9887
180,a_8,"[0,0007-0,0120]",0.9887,3.63,0.9887
181,d_16,"[0,9893-1,0000]",0.9893,1.00,0.9893
181,a_5,"[0,9893-1,0000]",0.9893,1.02,0.9893
181,~a_8,"[0,9023-0,9130]",0.9893,1.01,0.9893
182,~a_6,"[0,8465-1,0000]",0.9948,3.04,0.9931
183,d_15,"[0,9942-1,0000]",0.9942,1.84,0.9942
183,a_7,"[0,9854-0,9999]",0.9949,1.86,0.9942
184,a_3,"[0,9904-1,0000]",0.9904,1.16,0.9904
184,a_6,"[0,9739-1,0000]",0.9912,1.18,0.9904
184,~a_8,"[0,0142-0,0584]",0.9914,1.17,0.9904
185,~d_14,"[0,9947-1,0000]",0.9947,2.35,0.9947
185,a_5,"[0,7891-1,0000]",0.9958,2.34,0.9947
