Prog,Lit,Intervalo,Metric,Time,Mass
0,a_5,"[0,0003-1,0000]",0.0004,12.72,0.0008
1,a_18,"[0,0014-0,9932]",0.0084,14.32,0.0212
9,~d_38,"[0,0151-1,0000]",0.0167,16.85,0.0210
9,a_18,"[0,0015-0,9927]",0.0102,19.29,0.0210
11,a_19,"[0,0015-0,9993]",0.0026,18.64,0.0695
11,a_20,"[0,0012-0,9436]",0.0613,17.24,0.0695
12,d_59,"[0,0252-1,0000]",0.0277,15.80,0.0255
12,~a_11,"[0,0255-1,0000]",0.0281,15.81,0.0255
12,a_19,"[0,0001-0,9756]",0.0272,18.00,0.0255
13,~a_15,"[0,0000-0,9915]",0.0085,17.65,0.0085
15,a_3,"[0,1197-1,0000]",0.1283,16.67,0.1197
17,d_68,"[0,0019-1,0000]",0.0021,17.12,0.0020
21,d_68,"[0,0147-1,0000]",0.0154,16.51,0.0147
22,d_74,"[0,0000-1,0000]",0.0000,16.40,0.0000
22,a_17,"[0,0000-1,0000]",0.0000,18.44,0.0000
24,d_52,"[0,0108-1,0000]",0.0133,17.12,0.0136
24,~a_21,"[0,0109-0,9999]",0.0130,21.44,0.0136
25,~a_15,"[0,0001-1,0000]",0.0001,24.62,0.0070
28,~d_31,"[0,0095-1,0000]",0.0098,16.42,0.0100
29,d_76,"[0,0264-1,0000]",0.0264,17.01,0.0264
30,d_32,"[0,0009-1,0000]",0.0009,16.91,0.0009
30,~a_19,"[0,0005-1,0000]",0.0006,20.08,0.0009
31,~d_48,"[0,0021-1,0000]",0.0023,16.82,0.0024
33,~d_59,"[0,0068-1,0000]",0.0075,16.78,0.0069
33,a_15,"[0,0003-0,9934]",0.0069,20.66,0.0069
33,a_19,"[0,0035-0,9997]",0.0042,18.28,0.0069
34,d_42,"[0,0963-1,0000]",0.0996,16.37,0.0982
34,a_12,"[0,0944-1,0000]",0.1103,16.22,0.0982
35,d_69,"[0,0148-1,0000]",0.0148,16.63,0.0148
35,a_13,"[0,0060-1,0000]",0.0071,16.64,0.0148
38,d_31,"[0,0000-1,0000]",0.0000,16.61,0.0135
39,d_46,"[0,0019-1,0000]",0.0020,16.69,0.0022
40,~d_63,"[0,1961-1,0000]",0.1981,17.12,0.1962
40,a_17,"[0,1858-0,9994]",0.2076,18.74,0.1962
41,d_24,"[0,0821-1,0000]",0.0873,17.50,0.0822
42,a_21,"[0,0002-0,9988]",0.0014,17.16,0.0014
42,a_19,"[0,0008-0,9999]",0.0010,18.18,0.0014
43,a_12,"[0,0486-1,0000]",0.0506,16.94,0.0486
43,~a_18,"[0,0012-0,9546]",0.0551,17.95,0.0486
44,~a_18,"[0,1160-0,9992]",0.1348,18.00,0.1242
46,~a_9,"[0,0608-1,0000]",0.0665,16.46,0.0627
46,a_18,"[0,0594-0,9986]",0.0730,16.65,0.0627
48,d_29,"[0,0743-1,0000]",0.0758,22.06,0.0763
50,a_13,"[1,2715-1,0000]",1.5282,16.04,1.2847
50,a_18,"[1,2712-0,9997]",1.5282,21.27,1.2847
52,~d_24,"[0,0008-1,0000]",0.0010,7.98,0.0011
53,~a_3,"[0,0491-1,0000]",0.0506,16.50,0.0524
53,~a_11,"[0,0491-1,0000]",0.0506,16.46,0.0524
53,a_17,"[0,0429-0,9908]",0.0560,18.99,0.0524
55,d_65,"[0,0019-1,0000]",0.0021,16.87,0.0020
55,a_10,"[0,0014-1,0000]",0.0014,16.70,0.0020
55,~a_18,"[0,0000-0,9990]",0.0011,18.69,0.0020
56,~d_72,"[0,0980-1,0000]",0.1010,17.43,0.1038
59,a_20,"[0,0000-0,9583]",0.0459,17.40,0.1289
63,a_17,"[0,0010-0,9145]",0.1046,38.90,0.0901
63,~a_17,"[0,0855-0,9990]",0.1046,41.87,0.0901
65,d_26,"[0,2631-1,0000]",0.2860,16.45,0.2631
65,~a_12,"[0,2519-1,0000]",0.2544,16.51,0.2631
66,a_3,"[0,0030-1,0000]",0.0031,16.60,0.0031
68,d_37,"[0,0128-1,0000]",0.0142,16.77,0.0145
68,a_19,"[0,0108-1,0000]",0.0123,19.63,0.0145
69,d_45,"[0,0003-1,0000]",0.0004,17.37,0.0011
69,~a_18,"[0,0004-0,9997]",0.0008,18.54,0.0011
70,d_33,"[0,0295-1,0000]",0.0307,16.52,0.0326
70,a_20,"[0,0194-0,9904]",0.0308,21.49,0.0326
71,d_66,"[0,0100-1,0000]",0.0109,17.38,0.0103
72,d_47,"[0,0001-1,0000]",0.0001,16.62,0.0062
72,~a_17,"[0,0058-1,0000]",0.0068,22.60,0.0062
74,~a_8,"[0,0156-1,0000]",0.0171,17.25,0.0244
74,a_10,"[0,0156-1,0000]",0.0171,17.01,0.0244
74,a_19,"[0,0156-1,0000]",0.0179,18.07,0.0244
75,d_62,"[0,0430-1,0000]",0.0439,16.53,0.0431
75,a_18,"[0,0346-0,9999]",0.0388,18.06,0.0431
76,d_46,"[0,0021-1,0000]",0.0022,8.56,0.0025
76,a_17,"[0,0024-0,9999]",0.0025,9.85,0.0025
77,~d_61,"[0,0121-1,0000]",0.0121,17.03,0.0121
78,d_54,"[1,0943-1,0000]",1.1894,15.92,1.0948
79,d_30,"[0,2378-1,0000]",0.2460,17.20,0.2378
81,~d_67,"[0,0024-1,0000]",0.0024,16.52,0.0024
81,a_13,"[0,0021-1,0000]",0.0023,16.41,0.0024
82,d_59,"[0,0167-1,0000]",0.0186,8.21,0.0171
83,d_34,"[0,0193-1,0000]",0.0217,16.70,0.0193
