Prog,Lit,Intervalo,Metric,Time,Mass
0,a_5,"[0,0006-1,0000]",0.0007,6.65,0.1007
1,a_18,"[0,0003-0,9765]",0.0240,7.59,0.0239
9,~d_38,"[0,0173-1,0000]",0.0192,6.58,0.0193
9,a_18,"[0,0075-0,9884]",0.0221,7.44,0.0193
11,a_19,"[0,0001-1,0000]",0.0001,7.22,0.0006
11,a_20,"[0,0001-0,9995]",0.0006,6.94,0.0006
12,d_59,"[0,0129-1,0000]",0.0142,6.22,0.0130
12,~a_11,"[0,0130-1,0000]",0.0143,6.23,0.0130
12,a_19,"[0,0128-0,9999]",0.0143,7.25,0.0130
13,~a_15,"[0,0000-0,9972]",0.0028,6.84,0.0028
15,a_3,"[0,0103-1,0000]",0.0110,8.50,0.0103
17,d_68,"[0,0001-1,0000]",0.0001,8.81,0.0003
21,d_68,"[0,0047-1,0000]",0.0049,8.30,0.0047
22,d_74,"[0,0000-1,0000]",0.0000,8.92,0.0000
22,a_17,"[0,0000-1,0000]",0.0000,9.57,0.0000
24,d_52,"[0,0012-1,0000]",0.0014,8.52,0.0014
24,~a_21,"[0,0007-1,0000]",0.0008,10.82,0.0014
25,~a_15,"[0,0004-0,9999]",0.0006,12.31,0.0010
28,~d_31,"[0,1013-1,0000]",0.1044,8.50,0.1013
29,d_76,"[0,0056-1,0000]",0.0056,8.59,0.0056
30,d_32,"[0,0855-1,0000]",0.0908,8.81,0.0855
30,~a_19,"[0,0855-1,0000]",0.0970,10.55,0.0855
31,~d_48,"[0,0001-1,0000]",0.0001,8.52,0.0001
33,~d_59,"[0,0088-1,0000]",0.0097,8.86,0.0089
33,a_15,"[0,0001-0,9912]",0.0089,10.65,0.0089
33,a_19,"[0,0088-1,0000]",0.0097,9.95,0.0089
34,d_42,"[0,0663-1,0000]",0.0686,8.80,0.0665
34,a_12,"[0,0657-1,0000]",0.0768,8.77,0.0665
35,d_69,"[0,0029-1,0000]",0.0029,8.17,0.0029
35,a_13,"[0,0005-1,0000]",0.0006,8.07,0.0029
38,d_31,"[0,0000-1,0000]",0.0000,8.27,0.0026
39,d_46,"[0,0019-1,0000]",0.0020,8.73,0.0056
40,~d_63,"[0,0853-1,0000]",0.0862,8.43,0.0867
40,a_17,"[0,0088-0,9222]",0.0964,9.71,0.0867
41,d_24,"[0,0075-1,0000]",0.0079,8.87,0.0075
42,a_21,"[0,0011-0,9998]",0.0013,8.59,0.0015
42,a_19,"[0,0010-1,0000]",0.0010,9.23,0.0015
43,a_12,"[0,0122-1,0000]",0.0127,8.29,0.0122
43,~a_18,"[0,0103-0,9986]",0.0138,8.63,0.0122
44,~a_18,"[0,0001-0,9614]",0.0446,8.97,0.0406
46,~a_9,"[0,0016-1,0000]",0.0017,9.01,0.0017
46,a_18,"[0,0006-0,9991]",0.0019,9.33,0.0017
48,d_29,"[0,0332-1,0000]",0.0339,11.52,0.0350
50,a_13,"[0,0039-1,0000]",0.0047,8.22,0.0066
50,a_18,"[0,0039-1,0000]",0.0047,10.72,0.0066
52,~d_24,"[0,0015-1,0000]",0.0017,4.54,0.0028
53,~a_3,"[0,0065-1,0000]",0.0067,8.34,0.0097
53,~a_11,"[0,0065-1,0000]",0.0067,8.18,0.0097
53,a_17,"[0,0055-0,9968]",0.0094,9.29,0.0097
55,d_65,"[0,0015-1,0000]",0.0017,8.71,0.0016
55,a_10,"[0,0014-1,0000]",0.0014,8.65,0.0016
55,~a_18,"[0,0000-0,9987]",0.0013,9.94,0.0016
56,~d_72,"[0,0085-1,0000]",0.0087,8.80,0.0095
59,a_20,"[0,0005-0,9481]",0.0576,8.87,0.0525
63,a_17,"[0,0002--0,0892]",1.3184,15.86,1.0898
63,~a_17,"[1,0892-0,9998]",1.3184,17.58,1.0898
65,d_26,"[0,0180-1,0000]",0.0196,8.68,0.0180
65,~a_12,"[0,0179-1,0000]",0.0181,8.66,0.0180
66,a_3,"[0,0079-1,0000]",0.0082,9.05,0.0079
68,d_37,"[0,0035-1,0000]",0.0039,8.77,0.0039
68,a_19,"[0,0030-1,0000]",0.0034,10.36,0.0039
69,d_45,"[0,0004-1,0000]",0.0005,8.43,0.0027
69,~a_18,"[0,0005-0,9997]",0.0009,8.86,0.0027
70,d_33,"[0,0033-1,0000]",0.0035,8.85,0.0053
70,a_20,"[0,0001-0,9949]",0.0055,12.08,0.0053
71,d_66,"[0,0007-1,0000]",0.0008,8.51,0.0008
72,d_47,"[0,0000-1,0000]",0.0000,8.34,0.0006
72,~a_17,"[0,0001-1,0000]",0.0001,10.07,0.0006
74,~a_8,"[0,0025-1,0000]",0.0027,8.69,0.0034
74,a_10,"[0,0025-1,0000]",0.0027,8.87,0.0034
74,a_19,"[0,0025-1,0000]",0.0029,9.56,0.0034
75,d_62,"[0,0062-1,0000]",0.0063,8.71,0.0062
75,a_18,"[0,0060-1,0000]",0.0067,9.69,0.0062
76,d_46,"[0,0073-1,0000]",0.0076,4.28,0.0074
76,a_17,"[0,0071-0,9998]",0.0074,5.21,0.0074
77,~d_61,"[0,0053-1,0000]",0.0053,8.48,0.0053
78,d_54,"[0,0038-1,0000]",0.0042,8.62,0.0126
79,d_30,"[0,9550-1,0000]",0.9878,8.93,0.9550
81,~d_67,"[0,0004-1,0000]",0.0004,8.86,0.0004
81,a_13,"[0,0004-1,0000]",0.0004,8.87,0.0004
82,d_59,"[0,1027-1,0000]",0.1144,4.20,0.1039
83,d_34,"[0,0006-1,0000]",0.0007,8.56,0.0006
84,d_63,"[0,0039-1,0000]",0.0042,8.34,0.0042
87,d_54,"[0,0748-1,0000]",0.0779,8.55,0.0748
87,a_21,"[0,0004-0,9336]",0.0727,8.48,0.0748
88,d_48,"[0,0130-1,0000]",0.0130,8.42,0.0130
89,d_47,"[1,1497-1,0000]",1.1897,8.37,1.1505
89,~a_12,"[1,1505-1,0000]",1.1740,8.55,1.1505
89,~a_18,"[0,0005--0,1495]",1.3442,10.13,1.1505
90,a_17,"[0,0592-0,9993]",0.0660,8.93,0.0693
91,d_29,"[0,1437-1,0000]",0.1437,8.98,0.1437
91,a_15,"[0,0080-0,9688]",0.0433,13.82,0.1437
92,a_17,"[0,0001-1,0000]",0.0001,8.15,0.0067
93,a_16,"[0,0000-0,9925]",0.0082,9.89,0.0076
94,~d_55,"[0,0061-1,0000]",0.0064,8.56,0.0109
95,d_49,"[0,0029-1,0000]",0.0029,8.44,0.0029
96,~a_18,"[0,0011-0,9969]",0.0046,10.11,0.0043
98,a_15,"[1,0687-1,0000]",1.4053,9.06,1.1031
100,d_21,"[0,0022-1,0000]",0.0023,8.47,0.0026
101,d_67,"[0,0103-1,0000]",0.0107,8.81,0.0103
101,a_17,"[0,0023-0,9920]",0.0103,10.48,0.0103
102,a_5,"[0,0017-1,0000]",0.0017,8.44,0.0018
102,a_16,"[0,0006-0,9988]",0.0019,8.91,0.0018
103,d_28,"[0,0008-1,0000]",0.0009,11.80,0.0013
103,~a_14,"[0,0011-1,0000]",0.0013,12.33,0.0013
104,d_34,"[0,0759-1,0000]",0.0899,9.08,0.1361
107,d_24,"[0,0101-1,0000]",0.0101,8.78,0.0101
107,~a_17,"[0,0073-0,9972]",0.0101,11.39,0.0101
107,a_19,"[0,0099-0,9998]",0.0101,11.53,0.0101
108,d_56,"[0,0097-1,0000]",0.0105,8.98,0.0153
110,~d_77,"[0,0668-1,0000]",0.0788,8.19,0.0728
111,~d_30,"[0,0051-1,0000]",0.0051,8.42,0.0051
111,~a_12,"[0,0047-1,0000]",0.0054,8.30,0.0051
112,d_53,"[0,0005-1,0000]",0.0005,8.51,0.0008
112,~a_16,"[0,0002-0,9994]",0.0008,12.77,0.0008
113,d_50,"[0,0001-1,0000]",0.0001,4.40,0.0007
113,a_13,"[0,0007-1,0000]",0.0008,4.43,0.0007
115,d_36,"[0,0016-1,0000]",0.0018,8.31,0.0016
115,a_19,"[0,0000-0,9987]",0.0015,9.93,0.0016
116,d_50,"[0,0066-1,0000]",0.0072,8.39,0.0066
116,a_19,"[0,0066-1,0000]",0.0074,8.94,0.0066
117,~d_29,"[0,0617-1,0000]",0.0630,8.87,0.0623
117,a_13,"[0,0623-1,0000]",0.0663,8.82,0.0623
117,~a_18,"[0,0617-1,0000]",0.0706,13.44,0.0623
120,d_21,"[0,0048-1,0000]",0.0050,8.08,0.0115
120,a_18,"[0,0074-0,9959]",0.0117,9.59,0.0115
120,~a_17,"[0,0000-0,9885]",0.0117,11.67,0.0115
122,~a_17,"[0,0001-1,0000]",0.0001,10.55,0.0010
122,a_18,"[0,0001-1,0000]",0.0001,10.27,0.0010
125,~d_30,"[0,0000-1,0000]",0.0000,8.21,0.0003
126,d_50,"[0,0026-1,0000]",0.0028,8.61,0.0027
126,~a_18,"[0,0004-1,0000]",0.0005,10.17,0.0027
127,~a_8,"[0,1052-1,0000]",0.1074,8.52,0.1054
127,a_15,"[0,1053-0,9999]",0.1054,10.60,0.1054
128,a_10,"[0,0003-1,0000]",0.0004,8.37,0.0030
128,a_15,"[0,0003-1,0000]",0.0004,8.83,0.0030
129,~a_13,"[0,0022-1,0000]",0.0024,8.68,0.0023
130,a_10,"[0,1130-1,0000]",0.1264,8.39,0.1195
130,~a_19,"[0,1195-1,0000]",0.1224,9.67,0.1195
131,a_5,"[0,1404-1,0000]",0.1404,8.60,0.1404
131,a_11,"[0,0746-1,0000]",0.1100,8.76,0.1404
131,a_17,"[0,0000-0,9254]",0.1053,11.41,0.1404
133,d_21,"[0,1767-1,0000]",0.2096,8.32,0.1890
133,a_19,"[0,1890-1,0000]",0.1989,10.43,0.1890
135,~a_10,"[0,0019-1,0000]",0.0022,8.27,0.0019
137,~a_6,"[1,1627-1,0000]",1.1627,8.32,1.1627
138,~d_31,"[0,0101-1,0000]",0.0101,8.79,0.0101
139,~d_51,"[0,0296-1,0000]",0.0318,8.52,0.0301
141,d_52,"[0,0101-1,0000]",0.0106,8.51,0.0101
141,a_16,"[0,0067-0,9996]",0.0083,10.64,0.0101
143,~d_38,"[0,0052-1,0000]",0.0052,4.17,0.0052
144,a_12,"[0,0042-1,0000]",0.0042,11.46,0.0058
146,a_10,"[0,0049-1,0000]",0.0059,8.22,0.0143
146,a_15,"[0,0049-1,0000]",0.0059,9.19,0.0143
148,d_31,"[0,0143-1,0000]",0.0148,7.91,0.0143
150,a_5,"[0,0010-1,0000]",0.0011,8.72,0.0056
150,a_15,"[0,0048-0,9992]",0.0060,10.61,0.0056
151,~d_48,"[0,0002-1,0000]",0.0002,8.72,0.0002
152,d_46,"[0,0003-1,0000]",0.0004,8.63,0.0003
152,a_19,"[0,0000-1,0000]",0.0000,10.93,0.0003
154,d_74,"[0,0067-1,0000]",0.0076,8.39,0.0067
155,d_27,"[0,0120-1,0000]",0.0133,8.64,0.0189
155,~a_14,"[0,0189-1,0000]",0.0199,8.63,0.0189
155,~a_15,"[0,0161-0,9999]",0.0177,9.18,0.0189
156,d_66,"[0,0008-1,0000]",0.0011,8.57,0.0037
