Prog,Lit,Intervalo,Metric,Time,Mass
0,~a_4,"[0,1503-1,0000]",0.1630,467.65,0.1608
1,~d_16,"[0,3002-1,0000]",0.3047,243.67,0.3080
2,a_0,"[0,2351-1,0000]",0.2684,233.20,0.2615
2,a_5,"[0,2234-1,0000]",0.2778,233.63,0.2615
2,~a_7,"[0,1385-0,9050]",0.2472,238.65,0.2615
4,d_14,"[0,2396-1,0000]",0.2495,508.34,0.2448
4,~a_5,"[0,2136-1,0000]",0.2215,511.69,0.2448
5,a_3,"[0,2823-1,0000]",0.2888,208.10,0.2876
6,d_13,"[0,2676-1,0000]",0.3059,218.78,0.4304
8,d_14,"[0,1916-1,0000]",0.2216,940.80,0.3142
8,a_6,"[0,2182-1,0000]",0.2693,940.55,0.3142
10,~d_17,"[0,2204-1,0000]",0.2296,516.53,0.2352
10,a_7,"[0,0189-0,8727]",0.1874,520.41,0.2352
10,~a_8,"[0,1832-0,9535]",0.2477,523.53,0.2352
13,~d_9,"[0,0643-1,0000]",0.0701,325.21,0.0826
14,d_15,"[0,0354-1,0000]",0.0452,160.40,0.0716
15,~d_11,"[1,0505-1,0000]",1.0506,377.74,1.0505
15,~a_7,"[0,0232--0,0270]",1.0526,384.79,1.0505
16,d_14,"[0,0510-1,0000]",0.0532,172.77,0.0544
16,~a_8,"[0,0000-0,9521]",0.0514,176.21,0.0544
17,a_1,"[0,2529-1,0000]",0.2530,237.52,0.2530
17,a_8,"[0,2365-0,9988]",0.2488,242.73,0.2530
19,a_1,"[0,1435-1,0000]",0.1798,521.38,0.1762
19,a_8,"[0,1648-0,9978]",0.1786,527.63,0.1762
20,a_7,"[0,8838-1,0000]",1.0488,3.20,0.9250
21,~a_1,"[0,2061-1,0000]",0.2369,339.76,0.2286
21,~a_9,"[0,0192-0,8274]",0.1985,344.17,0.2286
22,d_9,"[0,2618-1,0000]",0.2779,148.71,0.3336
22,a_7,"[0,2605-1,0000]",0.2796,151.21,0.3336
22,~a_8,"[0,0489-0,8464]",0.2505,151.62,0.3336
24,~d_16,"[0,0465-1,0000]",0.0541,164.69,0.0754
25,~a_8,"[0,0196-0,0860]",0.9622,396.32,0.9436
25,a_7,"[0,8873-0,9449]",0.9442,396.54,0.9436
