Prog,Lit,Intervalo,Metric,Time,Mass
0,a_5,"[0,8584-1,0000]",0.9614,1.47,0.9460
1,a_18,"[0,0228-0,0764]",0.9562,1.07,0.9532
9,~d_38,"[0,8551-1,0000]",0.9460,1.89,0.9325
9,a_18,"[0,0594-0,2426]",0.9473,1.95,0.9325
11,a_19,"[0,8029-0,9984]",0.9750,0.94,0.9568
11,a_20,"[0,0130-0,1081]",0.9626,0.96,0.9568
12,d_59,"[0,8855-1,0000]",0.9715,1.20,0.9616
12,~a_11,"[0,8790-1,0000]",0.9700,1.20,0.9616
12,a_19,"[0,8275-0,9557]",0.9687,1.39,0.9616
13,~a_15,"[0,0000-0,0406]",0.9594,1.72,0.9594
15,a_3,"[0,8941-1,0000]",0.9589,1.47,0.9532
17,d_68,"[0,8815-1,0000]",0.9581,2.47,0.9501
21,d_68,"[0,9265-1,0000]",0.9652,1.16,0.9573
22,d_74,"[0,9420-1,0000]",0.9794,1.28,0.9711
22,a_17,"[0,0396-0,2093]",0.9851,1.66,0.9711
24,d_52,"[0,7787-1,0000]",0.9588,1.64,0.9276
24,~a_21,"[0,6875-0,8857]",0.9485,1.83,0.9276
25,~a_15,"[0,0033-0,2190]",0.9690,1.71,0.9224
28,~d_31,"[0,9131-1,0000]",0.9413,2.16,0.9331
29,d_76,"[0,9536-1,0000]",0.9536,1.93,0.9536
30,d_32,"[0,9125-1,0000]",0.9688,1.39,0.9556
30,~a_19,"[0,0701-0,2168]",0.9683,1.44,0.9556
31,~d_48,"[0,8996-1,0000]",0.9673,1.07,0.9595
33,~d_59,"[0,8669-1,0000]",0.9592,1.34,0.9542
33,a_15,"[0,0041-0,0498]",0.9542,1.45,0.9542
33,a_19,"[0,8690-0,9902]",0.9671,1.39,0.9542
34,d_42,"[0,9164-1,0000]",0.9471,1.52,0.9386
34,a_12,"[0,8212-1,0000]",0.9600,1.57,0.9386
35,d_69,"[0,9426-1,0000]",0.9426,1.37,0.9426
35,a_13,"[0,8136-1,0000]",0.9689,1.36,0.9426
38,d_31,"[0,8701-1,0000]",0.9641,1.34,0.9471
39,d_46,"[0,9211-1,0000]",0.9600,1.17,0.9480
40,~d_63,"[0,9318-1,0000]",0.9412,1.20,0.9381
40,a_17,"[0,8143-0,9614]",0.9501,1.25,0.9381
41,d_24,"[0,8758-1,0000]",0.9317,1.97,0.9202
42,a_21,"[0,0621-0,1624]",0.9362,1.49,0.9255
42,a_19,"[0,7784-0,8805]",0.9358,1.46,0.9255
43,a_12,"[0,8953-1,0000]",0.9326,1.60,0.9241
43,~a_18,"[0,0007-0,1965]",0.9512,1.70,0.9241
44,~a_18,"[0,8169-0,9707]",0.9767,1.08,0.9618
46,~a_9,"[0,8638-1,0000]",0.9440,1.89,0.9250
46,a_18,"[0,7894-0,9880]",0.9624,1.95,0.9250
48,d_29,"[0,9340-1,0000]",0.9531,1.45,0.9464
