Prog,Lit,Intervalo,Metric,Time,Mass
0,d_13,"[0,0235-1,0000]",0.0464,331.52,0.0510
0,~a_6,"[0,0387-1,0000]",0.0515,296.15,0.0510
0,~a_8,"[0,0018-0,9631]",0.0515,303.95,0.0510
1,~d_16,"[0,0421-1,0000]",0.0513,19.89,0.0503
2,a_3,"[0,0321-1,0000]",0.0482,40.30,0.0483
2,a_5,"[0,0325-1,0000]",0.0483,40.07,0.0483
3,a_0,"[0,0276-1,0000]",0.0471,161.44,0.0528
3,a_7,"[0,0359-0,9984]",0.0535,161.64,0.0528
3,~a_7,"[0,0016-0,9641]",0.0535,162.14,0.0528
4,a_7,"[0,0110-0,9736]",0.0506,20.78,0.0484
5,~d_9,"[0,0434-1,0000]",0.0460,39.58,0.0462
6,a_6,"[0,0232-1,0000]",0.0433,39.18,0.0449
6,a_8,"[0,0082-0,9859]",0.0430,39.72,0.0449
7,a_0,"[0,0253-1,0000]",0.0467,80.39,0.0494
7,~a_5,"[0,0253-1,0000]",0.0467,80.44,0.0494
8,a_4,"[0,0433-1,0000]",0.0506,161.94,0.0500
9,~a_7,"[0,0157-0,9886]",0.0485,40.93,0.0508
10,a_0,"[0,0378-1,0000]",0.0415,39.93,0.0431
10,a_7,"[0,0106-0,9852]",0.0407,40.50,0.0431
10,a_8,"[0,0000-0,9746]",0.0407,40.74,0.0431
11,a_7,"[0,0443-0,9973]",0.0516,163.26,0.0513
11,a_8,"[0,0091-0,9620]",0.0516,163.53,0.0513
12,a_8,"[0,0148-0,9758]",0.0462,10.43,0.0466
13,a_0,"[0,0262-1,0000]",0.0470,40.03,0.0490
14,a_7,"[0,0086-0,9846]",0.0411,80.40,0.0435
15,~a_0,"[0,0317-1,0000]",0.0456,160.64,0.0478
16,a_4,"[0,0337-1,0000]",0.0498,81.28,0.0499
16,a_8,"[0,0082-0,9745]",0.0498,82.23,0.0499
16,~a_8,"[0,0255-0,9918]",0.0498,81.58,0.0499
17,a_1,"[0,0319-1,0000]",0.0498,161.93,0.0492
17,~a_5,"[0,0311-1,0000]",0.0544,162.24,0.0492
17,~a_8,"[0,0031-0,9597]",0.0497,163.06,0.0492
18,a_7,"[0,0227-0,9979]",0.0466,166.28,0.0506
18,~a_8,"[0,0112-0,9864]",0.0466,165.09,0.0506
21,a_5,"[0,0378-1,0000]",0.0543,162.00,0.0519
21,a_9,"[0,0126-0,9748]",0.0543,163.94,0.0519
22,~d_17,"[0,0498-1,0000]",0.0498,40.56,0.0498
23,d_14,"[0,0250-1,0000]",0.0496,40.75,0.0473
23,~a_7,"[0,0007-0,9569]",0.0475,41.28,0.0473
25,~a_7,"[0,0175-0,9923]",0.0490,20.53,0.0489
26,~a_0,"[0,0364-1,0000]",0.0494,162.95,0.0484
27,a_9,"[0,0397-0,9934]",0.0467,164.60,0.0468
27,~a_8,"[0,0060-0,9604]",0.0467,165.72,0.0468
28,a_3,"[0,0295-1,0000]",0.0463,20.90,0.0458
29,a_7,"[0,0294-0,9869]",0.0480,81.95,0.0480
